"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","county","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:37:09-03","E","E","40787","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Ratter, J.A.; Filho, Fonsêca J.; Gomes, Sueli M. & de Lima Jacques, Elaine","1996","11","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:48954","<a href=http://data.rbge.org.uk/herb/E00040787 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:09-03","E","E","35989","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Ratter, J.A.; Pott, A.; Bridgewater, S.; Filho, Fonsêca J.; Cardoso, C.F.R. & Dos Santos, G.B.","1996","09","26","E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:46549","<a href=http://data.rbge.org.uk/herb/E00035989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00035989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:09-03","E","E","55575","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Lima, J.C.M.","1997","10","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62310","<a href=http://data.rbge.org.uk/herb/E00055575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:09-03","E","E","161291","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Ibáñez García, A. & Bridgewater, S.","1996","10","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168669","<a href=http://data.rbge.org.uk/herb/E00161291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:09-03","E","E","56455","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1997","11","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:63458","<a href=http://data.rbge.org.uk/herb/E00056455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:09-03","E","E","53463","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Bridgewater, S.","1997","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:58803","<a href=http://data.rbge.org.uk/herb/E00053463 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00053463","State of Maranhao","Between Floriano and Sao Joao dos Patos","-44.2","-6.533333","-44.200000","-6.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:37:09-03","E","E","55815","PreservedSpecimen","Plantae","Celastraceae","Salacia","elliptica","Salacia elliptica","Ratter, J.A.; Bridgewater, S.; Fonsêca Filho, J. & Lima, J.C.M.","1997","10","31","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62997","<a href=http://data.rbge.org.uk/herb/E00055815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","777970","PreservedSpecimen","Plantae","Celastraceae","Salacia","amygdalina","Salacia amygdalina","O. Handro","1933","06","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777970","São Paulo","Sao Paulo, nativa no Parque Estado e Jardim Botânico","-46.621883","-23.654505",NA,NA,"Magnoliophyta","Celastrales","Peyr.","J. P. Hedin","s.n.","Sao Paulo","NY00777970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","622018","PreservedSpecimen","Plantae","Celastraceae","Salacia","amygdalina","Salacia amygdalina","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622018","Rio de Janeiro","Mandiocca","-43.0406","-22.6531",NA,NA,"Magnoliophyta","Celastrales","Peyr.","J. A. Lombardi","s.n.","Magé","NY00622018_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","622017","PreservedSpecimen","Plantae","Celastraceae","Salacia","amygdalina","Salacia amygdalina","L. Riedel","1831",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622017","Rio de Janeiro","Mandiocca","-43.0406","-22.6531",NA,NA,"Magnoliophyta","Celastrales","Peyr.","J. A. Lombardi","s.n.","Magé","NY00622017_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
