"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","dayIdentified","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00571934","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R.Parra & Giul.","L. Echternacht","W. Ganev","2725","1993","12","30","South America","Brazil","Bahia","Abaíra","Campos do Virasaia","-41.83","-13.35","1530","1530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571934","NY00571934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00572016","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R.Parra & Giul.","L. Echternacht","W. Ganev","2316","1993","10","25","South America","Brazil","Bahia","Abaíra","Cabaceira. Riacho Fundo, atrás da Serra do Bicota","-41.85","-13.38","1480","1480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572016","NY00572016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00572015","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R.Parra & Giul.","L. Echternacht","P. T. Sano","H52319","1992","02","25","South America","Brazil","Bahia","Abaíra","Campo do Cigano","-41.92","-13.25","1700","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572015","NY00572015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00538310","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R.Parra & Giul.","L. Echternacht","R. M. Harley","21043","1980","03","27","South America","Brazil","Bahia","Mucugê","Serra do Sincorá. 3 km SW of Mucugé on the Cascavel road. F6","-41.4","-13.02","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538310","NY00538310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00571930","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R.Parra & Giul.","L. Echternacht","W. Ganev","827","1992","08","12","South America","Brazil","Bahia","Mucugê","Estrada Mucugê-abaíra, ca. 4 km antes de Mucugê, antes da ponte","-41.38","-13.23","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571930","NY00571930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:11-03","UFBA","ALCB","61497","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R. Parra & Giul.","Watanabe, MTC","Oliveira, RP de; Alunos de Botânica III","s/n","2002","06",NA,"Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para Jacobina","-41.15","-11.55",NA,NA,NA,"Planta caulescente. Folhas lineares. Escapo da inflorescência longo, capítulo com brácteas e flores cremes.","ALCB018320","ALCB018320","2012","07","-41.15","-11.55",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:11-03","UFBA","ALCB","64765","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R. Parra & Giul.",NA,"Roque, N; Watanabe, MTC; Mota, AC da; Passos Júnior, LA; Botelho, RB; Santos, TM; Anjos,","s/n","2003","12","11","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Platô da Serra do Gobira","-41.3708000183105","-13.0052995681763","1400","1400",NA,"Brácteas involucrais castanhas e flores alva-paleáceas.",NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"8","2019-10-09 11:28:11-03","UFBA","ALCB","64765","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R. Parra & Giul.",NA,"Roque, N; Alunos de Botânica III","s/n","2003","12","11","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Platô da Serra do Gobira","-41.3708000183105","-13.0052995681763","1400","1400",NA,"Brácteas involucrais castanhas e flores alva-paleáceas.",NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"9","2019-10-09 11:28:11-03","UFBA","ALCB","64765","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R. Parra & Giul.",NA,"Roque, N; Watanabe, MTC; Mota, AC da; Passos Júnior, LA; Botelho, RB; Santos, TM; Anjos,","s/n","2003","12","11","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Platô da Serra do Gobira","-41.3708000183105","-13.0052995681763","1400","1400",NA,"Brácteas involucrais castanhas e flores alva-paleáceas.",NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"10","2019-10-09 11:28:11-03","UFBA","ALCB","97428","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R. Parra & Giul.","Guedes, ML","Roque, N; Alves, M; Moura, L; Alunos de Botânica III","2940","2010","10","23","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para Cachoeira do Cardoso","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Erva em solo arenoso. Brácteas involucrais castanhas e as mais internas alvas. Flores alvas.","ALCB018313","ALCB018313","2012","03",NA,NA,"52493","auto",NA,NA,NA,NA,NA
"11","2019-10-09 11:28:11-03","UFBA","ALCB","038080","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","mucugensis","Comanthera mucugensis","(Giul.) L.R. Parra & Giul.","Guedes, ML","Guedes, ML; Guaré, F; Roque, NF; Martins, DV; Muniz, CV","6123","1998","09","20","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Posto 2","-41.416667","-13.166667",NA,NA,NA,"20cm. Capítulos cremes.","ALCB018315","ALCB018315","2012","03","-41.416667","-13.166667",NA,NA,NA,NA,NA,NA,NA
