"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus"
"1","2021-04-05 14:33:42-03","UNESC","CRI","11628","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","A. A. de Oliveira","2010","05","05","J.L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","1713","2010","03","16","Brasil","Santa Catarina","Presidente Nereu","Braço do Solão.","-49.231389","-27.181389","49º13'53''W","27º10'53''S","533","533","Floresta Ombrófila Densa Habito: arvoreta","CRI008267","CRI008267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:42-03","UNESC","CRI","137","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","M. L. D. R. Souza",NA,NA,NA,"Vanilde Citadini Zanette; A. Bortot","575","1982","03","10","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.431667","-28.595833","49º25'54''W","28º35'45''S","111","111",NA,"CRI004554","CRI004554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:42-03","UNESC","CRI","3790","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Daniel B. Falkenberg","1997","09","12","Zenaide P. Topanotti","19","1995","05","28","Brasil","Santa Catarina","Siderópolis","Área ecológica.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI004549","CRI004549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:42-03","UNESC","CRI","9204","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Vanilde C. Zanette",NA,NA,NA,"Birgit Harter Marques",NA,"2007","04","05","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI004548","CRI004548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 15:16:32-03","UNESC","CRI","14948","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Meyer, FS","2010","03","17","Korte, A.; Kniess, A.","695","2009","11","05","Brasil","Santa Catarina","Leoberto Leal","Rio Feijão. Rio Feijão.","-49.230556","-27.450278","49º13'50''W","27º27'1''S","850","850","Florística IFFSC 384 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea;","CRI014338","CRI014338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:33-03","UNESC","CRI","1135","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1385","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004562","CRI004562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:33-03","UNESC","CRI","13367","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Aline Votri Guislon & Renato Colares","2018","04","24","Renato Colares & Aline Votri Guislon",NA,"2018","04","24","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada","-49.389722","-28.191389","49º23'23''W","28º11'29''S","514","514","Habitat: Terrestre Habito: Arbustivo","CRI011974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:42-03","UNESC","CRI","279","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; Silva Caznok",NA,"1982","01","14","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: arbórea","CRI004551","CRI004551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:33-03","UNESC","CRI","702","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1052","1991","08","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004556","CRI004556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:33-03","UNESC","CRI","11329","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","M. Sobral","2009","07","17","M. Verdi; R.P. Hasckel & G. Klemz","2076","2009","04","27","Brasil","Santa Catarina","Bom Retiro","Fazenda Reunidos Canto Novo LTDA.","-49.4975","-27.901389","49º29'51''W","27º54'5''S","1118","1118","Floresta Ombrófila Mista Habitat: entorno da mata Habito: arbustiva","CRI004561","CRI004561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:33-03","UNESC","CRI","359","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.",NA,NA,NA,NA,"Vanilde Citadini Zanette; V. P. Boff","725","1983","05","27","Brasil","Santa Catarina","Siderópolis","Praça Pública.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI004552","CRI004552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:42-03","UNESC","CRI","7660","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","sellowiana","Tibouchina sellowiana","Cogn.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2008","03","26","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI004557","CRI004557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
