"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:45-03","UNESC","CRI","4046","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","M. Sobral","J. A. Jarenkow","1504","1989","12","03","Brasil","Rio Grande do Sul","Piratini","Margem esquerda do rio Piratini, próx. a ponte da BR 293.","-53.104444","-31.448611","53º6'16''W","31º26'55''S","318","318","Habito: arvoreta","CRI005164","CRI005164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:45-03","UNESC","CRI","8138","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","Marcos Sobral","G. Klemz; M. Verdi e R. P. Hasckel",NA,"2009","01","24","Brasil","Santa Catarina","Cerro Negro",NA,"-50.873611","-27.797222","50º52'25''W","27º47'50''S",NA,NA,NA,"CRI005161","CRI005161","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:38-03","UNESC","CRI","3975","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","Ribeiro, C.L.","J. A. Jarenkow","1267","1989","03","02","Brasil","Rio Grande do Sul","Marcelino Ramos","mata na barranca do rio Uruguai.","-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"Habito: arvoreta","CRI005168","CRI005168","2019","08","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:38-03","UNESC","CRI","8134","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","M. Sobral","A. Stival-Santos; H. F. Uller & Simone Silveira","230","2008","12","11","Brasil","Santa Catarina","Anita Garibaldi","Coral.","-51.130278","-27.689722","51º7'49''W","27º41'23''S",NA,NA,NA,"CRI005163","CRI005163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557798","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","C. M. D. E. Legrand","R. Reitz","14497","1962","12","22","Brazil","Santa Catarina","Lajes","Capao Alto, Lajes","-50.3258","-27.8161",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557798","NY00557798_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557993","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","C. M. D. E. Legrand","G. G. Hatschbach","13517","1966","01","13","Brazil","Paraná","Palmeira","Fazenda Boiada","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557993","NY00557993_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907425","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","C. E. B. Proença","E. P. Heringer","14810","1975","08","02","Brazil","Distrito Federal","Brasília","Catetinho","-47.988069","-15.948311",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907425","NY00907425_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557801","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis opaca","(O.Berg) D.Legrand","C. M. D. E. Legrand","R. Reitz","17533","1965","12","13","Brazil","Paraná","Ponta Grossa","Lagoa Dourada, Vila Velha, Ponta Grossa","-50.048917","-25.240899",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557801","NY00557801_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet","opaca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557795","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","M. Sobral","J. M. Silva","2012","1997","09","27","Brazil","Paraná","Sao José dos Pinhais","Roseira, próximo a Artex","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557795","NY00557795_01",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557851","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","uruguayensis","Eugenia uruguayensis","Cambess.","M. Sobral","G. G. Hatschbach","13476","1966","01","12","Brazil","Paraná","Palmeira","Serra das Almas","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557851",NA,NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
