"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","phylum","monthIdentified","dayIdentified","continentOcean","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","imagecode","fieldNumber","individualCount","typeStatus"
"1","2020-06-29 11:31:36-03","UFRJ","RFA","8836","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral","M. Sobral","2001","P. Occhioni","3730","1968","11","21","Brasil","Santa Catarina","Santa Catarina","Localidade de Saco Grande","Arvoreta, fruto maduro roxo escuro Habitat: Capoeira","RFA27759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:21:13-03","UFBA","ALCB","94790","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral","Giaretta, A","2019","Roque, N; Oliveira, RB; Teixeira, SR; Alves, M","2488","2009","10","25","Brasil","Bahia","Entre Rios","Litoral Norte, Fazenda Experimental. Escola de Medicina Veterinária(UFBA). Reserva Florestal do Povoado de Aguazinha","Folhas discolores. Brácteas e sépalas verdes. Frutos imaturos marrons.","ALCB057952","Dicotyledon","05","17","Southern America","-38.084400177002","-11.9419002532959","52418","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:56:24-03","ESALQ","ESA","136568","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral","Valdemarin, K.S.","2020","A. Margutti","6.0","2003","09","07","Brasil","Bahia","Palmeiras",NA,NA,"ESA136568",NA,"03","16",NA,"-41.5588989257812","-12.5289001464844","20767","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:31:22-03","IAP","PACA-AGP","71600","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","silvestris","Eugenia silvestris","O. Berg","C. D. Legrand","1976","Klein & Bresolin","8400","1969","10","15","Brasil","SC","Florianópolis","Saco Grande","5m de altura. Flor branca. Habitat: capoeira Hábito: arvoreta","PACA071600","Magnoliophyta",NA,NA,NA,"-48.5491981506348","-27.596700668335","27000","auto","Magnoliatae","Myrtales","150","200",NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:31:22-03","IAP","PACA-AGP","67471","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","silvestris","Eugenia silvestris","O. Berg","C. D. Legrand","1974","Klein & Bresolin","8375","1969","10","15","Brasil","SC","Florianópolis","Santo Antônio","5m de altura. Herb. FLOR 3521. Habitat: capão no pasto Hábito: arvoreta","PACA067471","Magnoliophyta",NA,NA,NA,"-48.5491981506348","-27.596700668335","27000","auto","Magnoliatae","Myrtales","10","10",NA,NA,NA,NA,NA,NA
"6","2021-03-24 17:09:31-03","UFES","SAMES","10002","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral","Ribeiro, M.",NA,"Ribeiro, M.; Almeida, L.; Freitas, J.","1146","2014","11","11","Brasil","Espírito Santo","Conceição da Barra","Floresta Alta, Km 13 ao 14 da estrada interna, Lagoa do Pequi, área mais arenosa; coletada a beira da estrada. Reserva Biológica de Córrego Grande","muito ramificada, pubescência transparente no ápice dos ramos, folhas e pedúnculos e frutos. Frutos vinosos quando maduro, 4 sementes; pedicelo verde claro, facilmente livre dos exocarpo. Habitat: Floresta de Tabuleiro Habito: Arvoret","SAMES10002",NA,NA,NA,NA,"-39.7322006225586","-18.5932998657227","41644","auto",NA,NA,NA,NA,"-398050000.0","-182841666.0",NA,NA,NA,NA
"7","2021-03-24 17:09:33-03","UFES","SAMES","7607","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral",NA,NA,"Saporetti,A.M.J.","47","2016","09","21","Brasil","Espírito Santo","Jaguaré",NA,"Flores brancas. Habito: Árvore","SAMES07607",NA,NA,NA,NA,"-40.076099395752","-18.9055995941162","43085","auto",NA,NA,NA,NA,"-400469444.0","-188272223.0",NA,NA,NA,NA
"8","2021-03-24 17:09:31-03","UFES","SAMES","3745","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral",NA,NA,"Menezes,L.F.T.","2230","2015","08","19","Brasil","Espírito Santo","São Mateus",NA,NA,"SAMES03745",NA,NA,NA,NA,"-39.8588981628418","-18.716100692749","56510","auto",NA,NA,NA,NA,"-398813889.0","-187963889.0",NA,NA,NA,NA
"9","2021-03-24 17:09:33-03","UFES","SAMES","3881","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral","Giaretta,A.","2011","Menezes,L.F.T.","1569","2006","09","21","Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de Restinga próximo ao hospital Roberto Silvares.","Arbusto com 1.5 metros de altura com flores brancas.","SAMES03881",NA,"11","22",NA,"-39.8588981628418","-18.716100692749","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:09:31-03","UFES","SAMES","3876","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neosilvestris","Eugenia neosilvestris","Sobral","Giaretta,A.",NA,"Giaretta,A.O.","1056","2011","10","15","Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Estrada de terra adjacente a uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri, floresta seca de restinga.","Arbusto de 3m de altura, frutos verdes com cálice vinosos.","SAMES03876",NA,NA,NA,NA,"-39.8588981628418","-18.716100692749","56510","auto",NA,NA,NA,NA,"-398100000.0","-187333334.0",NA,NA,NA,NA
