"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00863098","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","J. N. Nakajima","T. B. Cavalcanti","CFCR10241","1986","09","09","South America","Brazil","Minas Gerais","Rio Vermelho","Rio Vermelho. Pedra Menina. Platô Pedra Menina","-43.0092","-18.2936","1460","1460","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863098","NY00863098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00863073","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","R. L. Esteves","A. M. Giulietti","CFCR1777","1981","08","30","South America","Brazil","Minas Gerais","Diamantina","Diamantina, Estrada Diamantina-Conselheiro Mata, a 5 km de Diamantina","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863073","NY00863073_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:21-03","UFBA","ALCB","131981","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","Nakajima, JN","Martinelli, G; Lima, T; Maurenza, D","19611","2016","11","02","Southern America","Brasil","Minas Gerais","Diamantina","Parque nacional Sempre Vivas","-43.903889","-17.926111","1112","1112",NA,"ca 1,7m de altura, heliófila, folhas verdes, concolores, flores passadas, com capítulos, paleáceos.; Campo rupestre","ALCB048660","ALCB048660","2018","08","-43.903889","-17.926111",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:21-03","UFBA","ALCB","106062","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.",NA,"Roque, N; Quaresma, AS","3712","2012","09","22","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barão do Guaicuí","-43.702778","-18.376944","1434","1434",NA,"ca. 70cm alt., folhas discolores. Brácteas involucrais verde-vináceas, corola lilás, estigma alvo.; próximo a leitos d'água.",NA,NA,NA,NA,"-43.702778","-18.376944",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:21-03","UFBA","ALCB","106643","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.",NA,"Romero, R; Versiane, AFA; Bacci, LF; Castro, NM","8383","2010","09","23","Southern America","Brasil","Minas Gerais","Diamantina","Estrada Diamantina-Gouvéia, ca. de 7 km de Diamantina","-43.691667","-18.360833","1379","1379",NA,"cepitoso, ca. 1 m de alt. Brácteas verdes, corola e ramos do estilete róseos.",NA,NA,NA,NA,"-43.691667","-18.360833",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:21-03","UFBA","ALCB","107945","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","Quaresma, AS","Franco, IM; Andrino, CO; Marques, D; Araújo, MI; Silva, KR; Costa, LCB","1089","2012","09","19","Southern America","Brasil","Minas Gerais","Diamantina","Parque Estadual do Biribiri. Região do Varjão","-43.608889","-18.210833","1231","1231",NA,"ca. 1,5m em solo arenoso pedregoso. Caule acinzentado. Flores jovens róseas, flores maduras alvas. folhas somente na extremidade dos ramos.",NA,NA,"2012","10","-43.608889","-18.210833",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:21-03","UFBA","ALCB","108370","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.",NA,"Quaresma, AS; Roque, N","425","2012","09","22","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barao de Guaycui","-43.703056","-18.376944","1434","1434",NA,"Ca. 70 cm. Bracteas involucrais vinaceas, corola lilas, estilete alvos.",NA,NA,NA,NA,"-43.703056","-18.376944",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:21-03","UFBA","ALCB","120892","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","Roque, N","Roque, N; Alves, M; Campos, L; Barres, L","4718","2015","10","01","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barão de Guacuí.","-43.704444","-18.376667","1416","1416",NA,"0,5-1 m alt., folhas concolores. Brácteas involucrais verdes, corola e estilete alvos.","ALCB007990","ALCB007990","2019","06","-43.704444","-18.376667","05",NA,NA,NA,NA,NA,NA
"9","2019-11-25 16:50:13-03","UFBA","ALCB","138392","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","Roque, N","Roque, N; Menezes, K; Lopes, VEMM","5224","2019","09","28","Southern America","Brasil","Minas Gerais","Diamantina","Estrada para São João da Chapada.","-43.705","-18.2","1264","1264",NA,"ca. 1,2 m alt. Folhas viscosas. Brácteas involucrais verdes-vináceas, corola rósea.","ALCB069613",NA,"2019","09","-43.705","-18.2",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:21-03","UFBA","ALCB","106638","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Disynaphia","praeficta","Disynaphia praeficta","(B.L.Rob.) R.M.King & H.Rob.","Esteves, RL","Duarte, AP","10544","1967","10","17","Southern America","Brasil","Minas Gerais","Diamantina","para medanha","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,"2006","05",NA,NA,NA,"101169","auto",NA,NA,NA,NA
