"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:02-03","E","E","202937","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","37","1999","01","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217698","<a href=http://data.rbge.org.uk/herb/E00202937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:03-03","E","E","283480","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","Harley, Raymond M.","21114","1980","04","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293648","<a href=http://data.rbge.org.uk/herb/E00283480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:02-03","E","E","134682","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","Dubs, Balthasar","2051","1996","01","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143094","<a href=http://data.rbge.org.uk/herb/E00134682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","22573","PreservedSpecimen","Plantae","Annonaceae","Annona","furfuracea","Annona furfuracea","A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022573","Magnoliophyta","Magnoliales","A.St.-Hil.","isotype","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","NY00022573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00836400","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","A. E. Ramos","166","1988","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836400","Magnoliophyta","Magnoliales","(A.St.-Hil.) Saff.",NA,"Mato Grosso","Fazenda da Sobra, prox. Corrego da Sobra","NY00836400_01","R. de Mello-Silva","Ponte Branca","-52.8331","-16.7644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836319","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","H. S. Irwin","23699","1969","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836319","Magnoliophyta","Magnoliales","(A.St.-Hil.) Saff.",NA,"Minas Gerais","Serra do Espinhaço, Serra dos Três Irmãos, ca. 25 km west of Montes Claros, road to Agua Boa.","NY00836319_01","P. He; P. J. M. Maas",NA,"-43.64425","-16.78765","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836314","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","H. S. Irwin","16028","1966","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836314","Magnoliophyta","Magnoliales","(A.St.-Hil.) Saff.",NA,"Mato Grosso","Ca. 60 km. N. of Xavantina. Serra do Roncador.","NY00836314_01","P. He; P. J. M. Maas",NA,"-52.15","-14.13","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00836360","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","J. R. Pirani","2318","1988","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836360","Magnoliophyta","Magnoliales","(A.St.-Hil.) Saff.",NA,"Minas Gerais","Itacambira, a 20 km E da cidade, na estrada para BR 367","NY00836360_01",NA,NA,"-43.07","-17.12","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378811","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","G. G. Hatschbach","14251","1966","04","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378811","Magnoliophyta","Magnoliales","(A.St.-Hil.) Saff.",NA,"Paraná","Fda. Lagoa","NY00378811_01","P. X. He; P. J. M. Maas","Cianorte","-52.6047","-23.6633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00836392","PreservedSpecimen","Plantae","Annonaceae","Duguetia","furfuracea","Duguetia furfuracea","P. I. Oliveira","9","1979","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836392","Magnoliophyta","Magnoliales","(A.St.-Hil.) Saff.",NA,"Mato Grosso do Sul","Posto Zuzu","NY00836392_01","P. He; P. J. M. Maas","Rio Brilhante","-54.5464","-21.8019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
