"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber","eventTime","infraspecificEpithet"
"1","2021-04-05 14:25:24-03","UNESC","CRI","4003","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. A. Jarenkow","J. A. Jarenkow","1349","1989","10","08","Brasil","Rio Grande do Sul","Marcelino Ramos","Morro das Águas Termais.","-51.906667","-27.462222","51º54'24''W","27º27'44''S","Habitat: borda de mata pluvial Habito: árvore","CRI003547","CRI003547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","8500","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","M. Verdi","M. Verdi; G. Klemz e R. P. Hasckel","964","2008","11","18","Brasil","Santa Catarina","Lacerdópolis",NA,"-51.556944","-27.261389","51º33'25''W","27º15'41''S",NA,"CRI003560","CRI003560","2008","11","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:24-03","UNESC","CRI","9464","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","M. Verdi","M. Verdi; G. Klemz & J.F. Torres","2584","2009","08","14","Brasil","Santa Catarina","Anitápolis","Seção Carneiro.","-49.044167","-27.867778","49º2'39''W","27º52'4''S","Floresta Ombrófila Densa","CRI003559","CRI003559","2009","08","14","699","699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:24-03","UNESC","CRI","9261","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez",NA,"Mainara F. Cascaes; Birgit Harter Marques",NA,"2007","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S",NA,"CRI003551","CRI003551",NA,NA,NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:24-03","UNESC","CRI","6267","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Vanilde Citadini- Zanette","Átila Portal",NA,"1997","02","15","Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S","Habitat: beira do rio Habito: árvore","CRI003545","CRI003545",NA,NA,NA,"45","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 15:16:31-03","UNESC","CRI","15418","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Rafael Cubas","Rafael Cubas",NA,"2020","10","26","Brasil","Santa Catarina","Canoinhas","Bairro Industrial","-50.3625","-26.185278","50º21'45''W","26º11'7''S","Habito: Arbóreo","CRI014835",NA,"2020","10","26","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:24-03","UNESC","CRI","13977","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Renato Colares","Valdemar Boff & Vanilde Citadini",NA,"1998","09","14","Brasil","Santa Catarina","Içara","Lombas pedreiras","-49.300556","-28.713889","49º18'2''W","28º42'50''S","Habitat: Terrestre Habito: Arbóreo","CRI012620",NA,"2018","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:35-03","UNESC","CRI","3829","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. A. Jarenkow","J. A. Jarenkow; A. B. Pereira & A. Pilz",NA,"1987","11","01","Brasil","Rio Grande do Sul","Santa Cruz do Sul","Sinimbu.","-52.426111","-29.718056","52º25'34''W","29º43'5''S","Habito: arbórea","CRI003478","CRI003478",NA,NA,NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:24-03","UNESC","CRI","9621","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","A. Stival-Santos","A. Stival-Santos; S. Silveira","590","2009","04","14","Brasil","Santa Catarina","Abelardo Luz","Comunidade da Grama - Assentamento José Maria.","-52.108889","-26.550278","52º6'32''W","26º33'1''S","Floresta Ombrófila Mista Habito: arbórea","CRI003553","CRI003553","2009","04","14","1102","1102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:24-03","UNESC","CRI","9433","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","M. Verdi","M. Verdi; A.L. Tomazi & G. Klemz","2716","2009","09","26","Brasil","Santa Catarina","Jacinto Machado","Cará.","-49.859167","-28.979444","49º51'33''W","28º58'46''S","Floresta Ombrófila Densa Habito: arbórea","CRI003555","CRI003555","2009","09","26","311","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
