"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","626247","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","G. G. Hatschbach","G. G. Hatschbach","61253","1994","11","23","South America","Brazil","Santa Catarina","Praia Grande","Serra do Faxinal. Rod. SC-450.","-49.9503","-29.1969","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016809","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","G. G. Hatschbach","E. Barbosa","809","2003","12","04","South America","Brazil","Paraná","Tijucas do Sul","Serra Papanduva.","-49.1989","-25.9283",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016809","NY01016809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626250","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","V. Plana","A. Sehnem","5650","1951","02","23","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Serra do Faxinal.","-50.5833","-29.4483","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626250","NY00626250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626248","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","O. dos S. Ribas","O. dos S. Ribas","2257","1998","01","14","South America","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri, Rio dos Alemaes.","-49.2656","-26.1925","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626249","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","V. Plana","R. Reitz","6.039","1958","01","09","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim.","-49.2656","-26.1925","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626249","NY00626249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:23:13-03","UFBA","ALCB","68951","PreservedSpecimen","Plantae","Dicotyledon",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","Prance, G","Silva, JM; Cordeiro, J; Ribas, OS; Barbosa, E","2749","1998","12","19","Southern America","Brasil","Santa Catarina","Campo Alegre","Serra do Quiriri","-49.25","-26.183333",NA,NA,NA,"1m. Flor creme.; orla","ALCB021210","ALCB021210","2005","-49.25","-26.183333",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:23:13-03","UFBA","ALCB","114939","PreservedSpecimen","Plantae","Dicotyledon",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","Ribas, OS","Ribas, OS; Cordeiro, J; Vaz, J","8369","2010","01","19","Southern America","Brasil","Paraná","Tijucas do Sul","Serra Papanduva","-49.1988983154297","-25.9281005859375",NA,NA,NA,"Arvoreta. 4 m. Frutos em fase de maturação.; Encosta do morro próximo ao cume.","ALCB021541","ALCB021541 ALCB021541_1","2010",NA,NA,"01","25228","auto",NA,NA,NA,NA,NA
"8","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L 0039451","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","Sleumer HO","Rambo B",NA,"1950","12","18","Southern America","Brazil","Rio Grande do Sul",NA,"BrasiliaeRGS, Serra do Faxinal prope S. Francisco de Paula",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200039451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0039451","NL-L0039451",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","holotype","4105",NA,NA
"9","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1638886","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer",NA,"Rambo B",NA,"1951","02","21","Southern America","Brazil",NA,NA,"Florae Brasiliae australis, Colégio Anchieta Pôrto Alegre. RGS, Serra do Faxinal prope S.Francisco de Paula. In silvula nebulari.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1638886 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1638886","NL-L1638886",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-11-04 11:17:50-03","ESALQ","ESA","92018","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis",NA,NA,"Silva, J.M. et al.","2749.0","1998","12","19",NA,"Brasil","Santa Catarina","Campo Alegre",NA,"-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"ESA092018","ESA092018",NA,NA,NA,NA,"37493","auto",NA,NA,NA,NA,NA
"11","2020-11-04 11:17:50-03","ESALQ","ESA","66285","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis",NA,NA,"Hatschbach, G. et al.","61253.0","1994","11","23",NA,"Brasil","Santa Catarina","Praia Grande",NA,"-49.9502983093262","-29.1966991424561",NA,NA,NA,NA,"ESA066285","ESA066285",NA,NA,NA,NA,"21549","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:17:50-03","ESALQ","ESA","88930","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis",NA,NA,"Cordeiro, J. et al.","1687.0","1999","12","28",NA,"Brasil","Santa Catarina","Campo Alegre",NA,"-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"ESA088930","ESA088930",NA,NA,NA,NA,"37493","auto",NA,NA,NA,NA,NA
"13","2016-02-02 14:39:06-02","BGBM","B","B 10 0250359","S","Plantae",NA,NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer",NA,"B. Rambo","49392","1950","12","18","Middle and South America","Brazil",NA,NA,"RGS; Serra do Fachinal p. S. Fr. de Paula; in silvula nebulari.",NA,NA,NA,NA,NA,"Herbarium Anchieta, Florae Brasiliae australis, B. Rambo S.J. - Colégio Anchieta, Pôrto Alegre <a href=http://herbarium.bgbm.org/object/B100250359 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250359","B100250359",NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"14","2016-02-02 14:39:06-02","BGBM","B","B 10 0250358","S","Plantae",NA,NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer",NA,"B. Rambo","49392","1950","12","18","Middle and South America","Brazil",NA,NA,"RGS; Serra do Fachinal p. S. Fr. de Paula; in silvula nebulari.",NA,NA,NA,NA,NA,"Herbarium Anchieta, Florae Brasiliae australis, B. Rambo S.J. - Colégio Anchieta, Pôrto Alegre <a href=http://herbarium.bgbm.org/object/B100250358 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250358","B100250358",NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"15","2019-08-27 13:31:57-03","IAP","PACA-AGP","98515","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer",NA,"Sehnem, A. et allii",NA,"1977","12","27",NA,"Brasil","RS","Cambará do Sul","Canyon Fortaleza","-50.1446990966797","-29.0478000640869","1200","1200",NA,"Habitat: in dumetis campestribus Hábito: arbustum","PACA098515",NA,NA,NA,NA,NA,"30776","auto","Magnoliatae",NA,NA,NA,NA
"16","2019-08-27 13:31:57-03","IAP","PACA-AGP","32140","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","Emrich-Rambo","Rambo, B.",NA,"1946","02","14",NA,"Brasil","RS","São Francisco de Paula","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Habitat: In silvula nebulari Fenofase: fruto submaturo","PACA032140",NA,"1954",NA,NA,"09","76715","auto","Magnoliatae",NA,NA,"11",NA
"17","2019-08-27 13:31:57-03","IAP","PACA-AGP","84894","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","B. Rambo","Sehnem, A.","5181","1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Serra do Faxinal","-50.5835990905762","-29.4480991363525","1000","1000",NA,"Altit. 1000-1200 Habitat: Arbor in silva nebulosa","PACA084894",NA,NA,NA,NA,NA,"76715","auto","Magnoliatae",NA,NA,NA,NA
"18","2019-08-27 13:31:57-03","IAP","PACA-AGP","54102","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","Emrich-Rambo","Rambo, B.",NA,"1953","02","20",NA,"Brasil","RS","São Francisco de Paula","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Habitat: In silvula nebulari Fenofase: fruto semievoluto","PACA054102",NA,"1954",NA,NA,"09","76715","auto","Magnoliatae",NA,NA,"11",NA
"19","2019-08-27 13:31:57-03","IAP","PACA-AGP","50153","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","H. Sleumer","Rambo, B.",NA,"1951","02","21",NA,"Brasil","RS","São Francisco de Paula","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,"PARATYPUS. Habitat: in silvula nebulari Fenofase: fruto semievoluto","PACA050153","PACA050153","1954",NA,NA,"09","76715","auto","Magnoliatae","Paratipo",NA,"11",NA
"20","2019-08-27 13:31:57-03","IAP","PACA-AGP","49392","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","H. Sleumer","Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,"ISOTYPUS. Habitat: in silvula nebulari Fenofase: flor","PACA049392","PACA049392","1954",NA,NA,"09","76715","auto","Magnoliatae","Isotipo",NA,"11",NA
"21","2019-08-27 13:31:57-03","IAP","PACA-AGP","71051","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","A. Sehnem SJ","Sehnem, A.","5650","1951","02","23",NA,"Brasil","RS","São Francisco de Paula","Serra do Faxinal","-50.5835990905762","-29.4480991363525","900","900",NA,"Habitat: Arbor in silva nebulari","PACA071051",NA,NA,NA,NA,NA,"76715","auto","Magnoliatae",NA,NA,NA,NA
"22","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0031700","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","G. Hatschbach","G. Hatschbach; O. S. Ribas","61253","1994","11","23",NA,"Brazil","Santa Catarina",NA,"Rod. SC-450, Serra do faxinai (Mun. Praia Grande).","-49.95035","-29.198506","900",NA,NA,"Arvoreta, 4m, flor creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0031701","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer",NA,"L. R. Landrum","2983","1977","12","27",NA,"Brazil","Rio Grande do Sul",NA,"Fortaleza near Cambará on the eastern edge of the Plan Alto.","-50","-29","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0031698","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","G. Prance","O. S. Ribas; J. Cordeiro & E. Barbosa","3065","2000","2","3",NA,"Brazil","Parana",NA,"Serra Ibitiraquire, Morro Camapuã (Mun. Campina Grande do Sul).","-49.0833","-25.3",NA,NA,NA,"Arbusto, 1,70m, fruto imaturo verde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0031699","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","G. Prance","E. Barbosa; J. M. Silva & L. A. Ferreira","214","1998","12","8",NA,"Brazil","Parana",NA,"Paraná, Brazil Serra da Prata, próximo á Torre de Prata (Mun. Morretes).","-48.8167","-25.4667",NA,NA,NA,"Árvore, 3m, flor crème.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:44:02-03","UFJF","CESJ","43700","PreservedSpecimen","Plantae","Angiosperma",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","B.Rambo & Sleumer","G. Hatschbach","E. Barbosa; J.M. Silva","809","2003","12","04","América do Sul","Brasil","Paraná","Tijucas do Sul","Serra Papanduva","-49.1988983154297","-25.9281005859375",NA,NA,NA,"Arbusto, 2m, flor creme, Mata nebular, alto do morro","CESJ043700",NA,"2004",NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA
"27","2019-11-21 14:44:02-03","UFJF","CESJ","47733","PreservedSpecimen","Plantae","Angiosperma",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","B.Rambo & Sleumer","G. Prance","J. Cordeiro; J.M. Silva; O.S. Ribas","1687","1999","12","28","América do Sul","Brasil","Santa Catarina","Campo Alegre","Serra do Quiriri, próximo a torre do rádio","-49.2655982971191","-26.1924991607666",NA,NA,NA,"Arbusto, 2m, flor creme. Matinha nebular. Alt 1500m","CESJ047733",NA,"2005",NA,NA,NA,"37493","auto",NA,NA,NA,NA,NA
"28","2019-11-21 14:44:02-03","UFJF","CESJ","51456","PreservedSpecimen","Plantae","Angiosperma",NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","B.Rambo & Sleumer","G. Hatschbach","J.M. Silva; C.A.Andrade","5458","2006","12","20","América do Sul","Brasil","Santa Catarina","Garuva","Serra do Quiriri, alto","-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,"CESJ051456",NA,"2007",NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA
"29","2021-04-07 11:48:00-03","UFMS","CGMS","63916","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","nebularis","Euplassa nebularis","Rambo & Sleumer","G. Prance","O.S. Ribas; J. Cordeiro; E. Barbosa","3065","2000","02","03",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Morro Camacuã.","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Fruto imaturo verde. Habitat: Matinha nebular. Habito: Arbusto. 1,7 m de altura.","CGMS1096884",NA,"2005",NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA
