"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","stateProvince","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","typeStatus","class","order","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","6871","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","S. F. Smith","Reitz; Klein","1960","12","22","Brasil","Brasil","Três Barras, Garuva.","-48.638333","-26.243889","48º38'18''W","26º14'38''S","20","20","CRI002700","CRI002700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","2187","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","S. F. Smith","Reitz; Klein","1960","12","22","Brasil","Garuva","Três Barras.","-48.855278","-26.027222","48º51'19''W","26º1'38''S","20","20","CRI002696","CRI002696","10517","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","6942","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","S. F. Smith","R. Reitz","1960","12","22","Brasil","Garuva",NA,"-48.855278","-26.027222","48º51'19''W","26º1'38''S","150","150","CRI002693","CRI002693","10517","Santa Catarina","1992","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:33-03","E","E","268262","PreservedSpecimen","Plantae","Leguminosae","Centrolobium","microchaete","Centrolobium microchaete",NA,NA,"Pirie, M.D.","2001","10","11","BO",NA,NA,NA,NA,NA,NA,NA,NA,"E00268262",NA,"1","Departamento Santa Cruz",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:278523","<a href=http://data.rbge.org.uk/herb/E00268262 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:33-03","E","E","268263","PreservedSpecimen","Plantae","Leguminosae","Centrolobium","microchaete","Centrolobium microchaete",NA,NA,"Pirie, M.D.","2001","10","11","BO",NA,NA,NA,NA,NA,NA,NA,NA,"E00268263",NA,"1","Departamento Santa Cruz",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:278524","<a href=http://data.rbge.org.uk/herb/E00268263 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG4193","S","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete",NA,NA,"Maielo-Silva, L.; Vieira, B., de C.; Lima R. de P.",NA,NA,NA,"Brasil","Itaperuna",NA,"-41.8877983093262","-21.2049999237061",NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"N° IBAMA (CTF): 4477412.","32377","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:19-03","EAO","IAN","106090","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","França, VC","1958","05",NA,"Brasil",NA,"Serra da Ibiapaba.",NA,NA,NA,NA,NA,NA,"IAN106090",NA,"15a","Ceará","1985",NA,NA,"Southern America",NA,NA,NA,NA,NA,"Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:41:19-03","EAO","IAN","120330","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","Belém, RP; Pinheiro, RS","1966","05","16","Brasil",NA,"Rodovia Itacaé - Ubaitaba. Plantação de cacau.",NA,NA,NA,NA,NA,NA,"IAN120330",NA,"2219","Bahia","1985",NA,NA,"Southern America",NA,NA,"Árvore de 4m x 7cm diâm.; flores amarelas, estames esverdeados, anteras marrons, cálice roxo.",NA,NA,"Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:41:19-03","EAO","IAN","15226","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","Oliveira, JE de","1941","05","06","Brasil",NA,"Capoeira, fazenda das Antilhas.",NA,NA,NA,NA,NA,NA,"IAN015226","IAN015226 IAN015226_e IAN015226_e1","s.n.","Minas Gerais","1985",NA,NA,"Southern America",NA,NA,"Árvore de 10 metros de altura.",NA,NA,"Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:19-03","EAO","IAN","15388","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","Fróes, RL","1942","11",NA,"Brasil",NA,"De Areia Branca a Itabuna.",NA,NA,NA,NA,NA,NA,"IAN015388","IAN015388 IAN015388_e IAN015388_e1","19962","Bahia","1985",NA,NA,"Southern America",NA,NA,"Árvore.",NA,NA,"Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
