"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","448520","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","J. A. Kallunki","J. A. Ratter","4865","1983","11","15","South America","Brazil","São Paulo","Floresta de Angatuba, Instituto Florestal de SP","-48.42","-23.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448520","NY00448520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","448523","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","Y. B. Harvey","R. M. Harley","25332","1988","10","23","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Fazenda Silvina. 19 km ao N-O da cidade","-41.97","-13.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448523","NY00448523_01","Rio de Contas","1420","1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","448524","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.",NA,"J. A. Ratter","4893","1983","11","17","South America","Brazil","São Paulo","Floresta de Angatuba, Instituto Florestal de SP","-48.42","-23.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448524","NY00448524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00858095","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","J. A. Kallunki","W. R. Anderson","9048","1973","04","18","South America","Brazil","Minas Gerais","7.5 km by road W of Rio Pandeiros on road from Januária to Serra das Araras","-44.82","-15.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858095","NY00858095_01",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","448521","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","J. A. Kallunki","I. Silberbauer-Gottsberger","85R","1971","03","16","South America","Brazil","São Paulo","18 km north of Botucatu, (14 km east of Sao Manuel). Along the S. Manuel-Piracicaba highway. Near ex-RR station, 13 de Maio","-48.42","-22.75","sheet","N° 1 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448521",NA,"Botucatu","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00858094","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","S. White","R. Goodland","169","1965","11","24","South America","Brazil","Minas Gerais","Melo, 3 km N of Horto. Paraopeba.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858094","NY00858094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687479","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","Y. B. Harvey","R. M. Harley","24373","1987","02","19","South America","Brazil","Bahia","Na base do Pico das Almas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687479","NY00687479_01",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","448522","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","J. A. Kallunki","W. R. Anderson","36577","1972","03","04","South America","Brazil","Bahia","Serra ca. 22 km W of Barreiras","-44.99","-12.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448522","NY00448522_01","Barreiras","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448519","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","B. L. Stannard; G. F.","R. M. Harley","25332","1988","10","23","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Fazenda Silvina. 19 km ao N-O da cidade","-41.97","-13.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448519","NY00448519_01","Rio de Contas","1420","1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","448657","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sessilifolia","Cordia sessilifolia","Cham.","J. A. Kallunki","W. R. Anderson","6997","1973","03","13","South America","Brazil","Goiás","Ca. 25 km by road SW of Monte Alegre de Goiás; northern spur of Serra Atalaia","-46.9006004333496","-13.2564001083374","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448657","NY00448657_01","Monte Alegre de Goiás","600","600","53634","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
