"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:29-03","UNESC","CRI","13663","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta","(Schott) Planch. ex Benth.","Alexandre Medeiros","2018","01","13","Alexandre Medeiros","2018","01","13","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 840 Fruto cor Castanho Habitat: Terrestre Habito: Arbóreo","CRI012270","CRI012270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","8479","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","monosperma","Sloanea monosperma","Vell.","Vanilde Citadini-Zanette","2008",NA,NA,"Kleber Hilee Emerich","2008",NA,NA,"Brasil","Santa Catarina","Turvo","Mata ciliar.","-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,"CRI002314","CRI002314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:54-03","E","E","314091","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","monosperma","Sloanea monosperma",NA,NA,NA,NA,NA,"Gardner, G.","1905","01","10","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00314091 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314091",NA,"isotype","327","E. Tropical South America","herbarium specimen of unspecif","BGBASE:353734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:54-03","E","E","314092","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","monosperma","Sloanea monosperma",NA,NA,NA,NA,NA,"Gardner, George","1905","01","10","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00314092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314092",NA,"isotype","327","E. Tropical South America","herbarium specimen of unspecif","BGBASE:353737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 03:07:00-03","NY","NYBG","1184238","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta",NA,NA,NA,NA,NA,"R. D. Ribeiro","2009","09","19","Brazil","Rio de Janeiro","Petrópolis","Fragemento florestal no bairro. Parque São Vincente.","-43.1786","-22.505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467010' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184238","NY01184238_01",NA,"1301","South America","sheet",NA,"Magnoliophyta","Oxalidales","471","471",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","572290","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta australis","T.D.Penn.","T. D. Pennington",NA,NA,NA,"R. Reitz","1958","03","07","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=281166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572290","NY00572290_01","isotype","4067","South America","sheet",NA,"Magnoliophyta","Oxalidales","750","750","australis",NA,NA,NA,NA,NA,NA
"7","2016-09-30 21:56:00-03","NY","NYBG","2422674","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta",NA,NA,NA,NA,NA,"J. R. Pirani","2009","02","04","Brazil","Minas Gerais","Congonhas do Norte","Serra Talhada (setor nordeste da Serra do Cipó), ca. 6 km SW da estrada Congonhas do Norte - Gouveia, entrada a 3.7 km NW de Congonhas do Norte, estrada pelo alto da serra em local denominado localmente Retiro dos Pereiras.","-43.7392","-18.8133",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670203' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422674","NY02422674_01",NA,"5775","South America","sheet",NA,"Magnoliophyta","Oxalidales","1260",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1281351","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta","(Schott) Planch. ex Benth.","J. M. A. Braga",NA,NA,NA,"J. M. Pires","2007","02","13","Brazil","Rio de Janeiro","Rio das Ostras","Reserva Biologica União, parcela permanente, gasoduto 4, ind. 1013.","-42.0372","-22.4583",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281351","NY01281351_01",NA,"s.n.","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02796272","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta","(Schott) Planch. ex Benth.","D. Sampaio",NA,NA,NA,"A. M. Amorim","1998","02","21","Brazil","Bahia","Jussari","Rodovia Jussari-Plamira, Entrada ca 7.5 km de Jussari, FazendaTeimoso, RPPN Serra do Teimoso.","-39.5286","-15.1581",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761102' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796272","NY02796272_01",NA,"2257","South America","sheet",NA,"Magnoliophyta","Oxalidales","500",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996305","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","monosperma","Sloanea monosperma","Vell.","J. A. Ratter",NA,NA,NA,"J. A. Ratter","1968","06","11","Brazil","Mato Grosso",NA,"4 km E of the Base Camp of the Expedition. (Base Camp c. 270 km N. of Xavantina, close to the Xavantina - São Felix road).","-51.87","-12.9",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996305","NY00996305_01",NA,"R.1731","South America","sheet",NA,"Magnoliophyta","Oxalidales",NA,NA,NA,NA,NA,NA,NA,NA,NA
