"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1989","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes","holotype","J. D. C. Arouck-Ferreira","82","1981","09","03","South America","Brazil","Bahia","Pindobaçu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001989","NY00001989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:44:31-03","UNEB","HUNEB","7401","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Mimosaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & Grimes",NA,"Queiroz, L.P.de","3973","1994","06","17",NA,"Brasil","Bahia",NA,NA,NA,"HUNEB0007401",NA,"Dicotyledoneae","Gentio do Ouro","-42.502799987793","-11.4288997650146","54643","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-07-03 10:54:10-03","EBDA","BAH","10328","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:15:45-03","UFBA","ALCB","128432","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Guedes, ML; Costa, IM de O da; Andrade, IAQ de; Silva, LS; et al.","25671","2017","06","16","Southern America","Brasil","Bahia","Chapada Diamantina, Mata do CETEP.",NA,"ramos distais inermes, glabros. Folhas e inflorescências dispostas em ramos curtos laterais. Legume espiralado, margens e valvas constrictas entre as sementes.","ALCB045364","ALCB045364",NA,"Wagner","-41.166667","-12.683333",NA,NA,"Guedes, ML","2017","07","-41.166667","-12.683333",NA,NA,NA,NA
"5","2019-10-09 11:15:45-03","UFBA","ALCB","54131","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Loureiro, DM; Alves, L. de J.; Guedes, ML; Santana, DL","206","2001","04","28","Southern America","Brasil","Bahia","Paraguaçu, Assentamento Barra Verde",NA,"Ramos com espinhos. Folíolos membranáceos, discolores. Frutos imaturos verdes, maduros marrons.; Mata Estacinal Semidecidual antropizada.","ALCB022832","ALCB022832",NA,"Boa Vista do Tupim","-40.799444","-12.777778",NA,NA,"Almeida, PGC de","2012","09","-40.799444","-12.777778","03",NA,NA,NA
"6","2021-03-12 01:35:44-03","UFPI","TEPB","17847","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & Grimes",NA,"L.P.Queiroz","3973","1994","06","17",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,"Gentio de Ouro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1823","1823",NA
"7","2020-03-02 09:10:54-03","UFRPE","PEUFR","49609","PreservedSpecimen","Plantae",NA,NA,"Leguminosae-Mim.","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W. Grimes",NA,"L.L. Santos; N.L. Alencar; M.S.A. Neto","305","2007","08","24",NA,"Brasil","Pernambuco","Comunidade de Carão",NA,"Árvore cerca de 6 m de alt.; fruto imaturos verdes","PEUFR049609",NA,NA,"Altinho","-36.092778","-8.586944",NA,NA,"E. Córdula","2007","08","36º05'34W","8º35'13S","09",NA,NA,NA
"8","2020-03-02 09:10:54-03","UFRPE","PEUFR","38716","PreservedSpecimen","Plantae",NA,NA,"Leguminosae-Mim.","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W. Grimes",NA,"L.P. de Queiroz; N.S. Nascimento","3973","1994","06","17",NA,"Brasil","Bahia",NA,NA,NA,"PEUFR038716",NA,NA,"Feira de Santana","-38.9667015075684","-12.2666997909546","46325","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:49-03","UFES","VIES","32265","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Folli, D.A.","6544","2010","04","24",NA,"Brasil","Espírito Santo","Canivete.",NA,NA,"VIES032265",NA,NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Siqueira, G.S.","2010","03",NA,NA,"15",NA,NA,NA
"10","2020-04-27 16:09:49-03","UFES","VIES","8100","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Pereira, O.J.; Gomes, J.M.L.","4997","1993","09","28",NA,"Brasil","Espírito Santo","Comboios.",NA,NA,"VIES008100","VIES008100 VIES008100_1",NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Chagas, A.P.","2014","05",NA,NA,"20",NA,NA,NA
