"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","376847","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","G. G. Hatschbach","31364","1973","02","07","South America","Brazil","Espírito Santo","Domingos Martins","Aracê","-40.6592","-20.3633","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376847","NY00376847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376848","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","G. G. Hatschbach","31364","1973","02","07","South America","Brazil","Espírito Santo","Domingos Martins","Aracê","-40.6592","-20.3633","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376848","NY00376848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02711704","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","D. P. Saraiva","67","2011","02","09","South America","Brazil","Minas Gerais","Mutum","Localidadfe de Imbiruçú. Estrada de imburiçú para BR 262. Pedra Santa. Inselberg.","-41.432222","-20.175",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2998326' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711704","NY02711704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:40-03","UFRJ","RFA","30890","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","L. Kollmann; E. bausen; W. Pizziolo","2339","1999","03","31",NA,"Brasil","Espírito Santo","Santa Teresa","Terreno do Boza. Vale do Canãa","-40.6002998352051","-19.9356002807617","800","800",NA,"Rupícola. Planta 1 m. Flores avermelhadas. Herb/Cultivo","RFA51229",NA,"T. Wendt","2000","12","05","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:56-03","ESALQ","ESA","70709","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B. Smith","Krieger, L. et al.",NA,"1989","04","01",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"ESA070709","ESA070709","Martinelli, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:26:00-03","MN","R","215812","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B. Sm.","Coser, T.S. 596; Francino, D.M.T.",NA,"2012","02","27",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,"R010006915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:26:00-03","MN","R","215826","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B. Sm.","Coser, T.S. 404; Uribbe, F.P. & Neves, B.",NA,"2011","03","28",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,"R010006914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:00-03","MN","R","225473","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B. Sm.","Couto, D.R. 2345; Manhães, V.C.",NA,"2013","08","06",NA,"Brasil","Espírito Santo","Jerônimo Monteiro","Inselberg Pedra das Três Irmãs","-41.35","-20.783333","400","400",NA,NA,"R010002131,R010002132","R010002131","Couto, D.R.","2013","08","06",NA,NA,"41°21'W","20°47'S",NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:35:37-02","IPA","IPA","45132","S","Plantae","Plantae",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B. Sm.","Andrade-Lima","77-8297","1977","02","02","Southern America","Brasil",NA,NA,"Entre Realeza(MG) e Vitória (ES).",NA,NA,NA,NA,NA,NA,"IPA0045132",NA,"Fontana, A.P.","2010","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:26-03","UFV","VIC","32745","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Pereira, T.A.R.; et al.","s.n.","2010","01","27",NA,"Brasil","Minas Gerais","Araponga","Serra das Cabeças, Pedra do descanso, Parque estadual Serra do Brigadeiro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Planta rupícola, escapo, inflorescência e folhas densamente escamosas, limbo decíduo, escapo +inflorescência aproximadamente 50cm, flores vermelhas.","VIC032745","VIC032745","Pereira, T.A.R.","2010","01","28","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:16:26-03","UFV","VIC","052709","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Smith","Caiafa, A.N.","48","2001","01","16",NA,"Brasil","Minas Gerais","Araponga","PESB Serra das cabeças, 3° cabeça.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"VIC052709","VIC052709",NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:16:26-03","UFV","VIC","32752","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Pereira, T.A.R.; et al.","s.n.","2010","01","27",NA,"Brasil","Minas Gerais","Araponga","Serra das Cabeças, Sítio do Valcir, Serra do Brigadeiro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"planta rupícola, escapo, inflorescência e folhas densamente escamosas, flores vermelhas, escapo+inflorescência aproximadamente 50cm.","VIC032752","VIC032752","Pereira, T.A.R.","2010","01","28","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:16:26-03","UFV","VIC","26406","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","de Paula, C.C.; Da Silva, R.R.","s.n.","2002","05","10",NA,"Brasil","Rio de Janeiro","Armação dos Búzios","Tauá",NA,NA,NA,NA,NA,"Folha verde com a bainha vinho; escapo verde com lanugem; brácteas escapais verdes com a base vinho; ráquis rosa; brácteas florais verde com a base vinho , sépala alaranjada; pétala vermelha.","VIC026406","VIC026406","Paula, C.C. de","2002","05","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:16:26-03","UFV","VIC","9280","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Vidal, W.N.; et al.","634","1985","02","13",NA,"Brasil","Minas Gerais","Estouro","Morro do Brigadeiro, próximo a fazenda.",NA,NA,NA,NA,NA,"Flores Vermelhas.","VIC009280","VIC009280","Paula, C.C. de","1996","11","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:16:26-03","UFV","VIC","24852","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Goldschmidt, A.; Paula, C.C. de","30","2000","05","05",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, serra das cabeças, em área de campo de Altitude.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"plantas saxícolas e heliófilas. Inúmeras populações na área.","VIC024852","VIC024852","Goldschmidt, A.; de Paula, C.C.","2000","05","05","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:16:26-03","UFV","VIC","19331","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Da Silva, A.F.","2496","2006","02","16",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Trilha da Laje.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Flores vermelhas, bractéolos vinosos, anteras amarelas.","VIC019331","VIC019331","Fontana, A.P.","2011","03","29","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-20 21:16:26-03","UFV","VIC","13839","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","de Paula, C.C.","1011","1995","02","03",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Trilha do pico do boné, laje de pedra a aprox. 1km da casa do sr. Eugênio.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Terrestre, cresce nas fendas das pedras onde há solo, flores vermelhas.","VIC013839","VIC013839","Leme E.M.C.","1995","10",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-20 21:16:26-03","UFV","VIC","32753","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Pereira, T.A.R.; et al.","s.n.","2009","08","08",NA,"Brasil","Minas Gerais","Araponga","Serra das Cabeças, Pedra do descanso, Parque estadual Serra do Brigadeiro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"planta terrestre/rupícula, pequeno porte, folhas verdes, limbos decíduos, inflorescência com aproximadamente 45 cm, Frutos secos.","VIC032753","VIC032753",NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-20 21:16:26-03","UFV","VIC","32734","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Pereira, T.A.R.; et al.","s.n.","2009","08","08",NA,"Brasil","Minas Gerais","Araponga","Serra das Cabeças, Pedra do descanso, Parque estadual Serra do Brigadeiro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"planta terrestre/rupícula, pequeno porte, folhas verdes, inflorescência aproximadamente 40cm.","VIC032734","VIC032734","Coser, T.S.","2010","01","27","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:16:26-03","UFV","VIC","32746","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","Pereira, T.A.R.; et al.","s.n.","2010","02","09",NA,"Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço, Cabeceira do rio Casca, setor sul do Parque Estadual da Serra do Brigadeiro","-42.6571998596191","-20.8400001525879",NA,NA,NA,"planta rupícola/saxícola, escapo+inflorescência aproximadamente 50 cm. Flores vermelhas.","VIC032746","VIC032746","Pereira, T.A.R.","2010","02","10","19783","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-20 21:16:26-03","UFV","VIC","13853","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","de Paula, C.C.","1026","1995","04","11",NA,"Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, Serra da Pirraça, campo rupestre.","-42.2789001464844","-20.7255992889404",NA,NA,NA,"Terrestre, flores vermelhas.","VIC013853","VIC013853","Leme E.M.C.","1995","10",NA,"20038","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-20 21:16:26-03","UFV","VIC","26390","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L. B. Smith","de Paula, C.C.; Da Silva, R.R.","s.n.","2002","04","09",NA,"Brasil","Minas Gerais","Viçosa","Vila Gianeti, UFV, Cultivada no projeto Gravatá","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Brácteas escapais inferiores com a base vinho e o ápice verde; escapo vinho; brácteas escapais superiores vinho; brácteas florais vinho; sépalas e pétalas vermelhas.","VIC026390","VIC026390","Paula, C.C. de","2002","04","09","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:32:49-03","UFJF","CESJ","60553","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","D.R.Couto; R.C. Araújo Neto","2215","2012","05","24","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Pedra Lisa, Alt.: 250m.","-41.1128005981445","-20.8488998413086",NA,NA,NA,"Formando pequenas populações em complexo rupestre de granito bem preservado. Rupícola, lâmina verde, corola vermelha.","CESJ060553",NA,"D.R.Couto","2012","05","24","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 14:32:49-03","UFJF","CESJ","23559","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","L. Krieger; et al.","CESJ23559","1989","04","01","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,NA,NA,NA,"Em touceira, sobre rocha com pouco solo. local úmido e ensolarado. Flores vermelhas, filetes brancos, anteras amarelas.","CESJ023559",NA,"G. Martinelli","1990","06","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-04-27 16:09:06-03","UFES","VIES","26376","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Coser, T.S.; Uribbe, F.B. & Neves, B.","405","2011","03","28",NA,"Brasil","Espírito Santo","Espírito Santo","Parque Nacional do Caparaó.",NA,NA,NA,NA,NA,NA,"VIES026376","VIES026376","Coser, T.S.","2011","03","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-04-27 16:09:06-03","UFES","VIES","35496","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Manhães, V.C.","498","2014","04","27",NA,"Brasil","Espírito Santo","Alegre",NA,"-41.5331001281738","-20.763599395752",NA,NA,NA,NA,"VIES035496","VIES035496","Manhães, V.C.","2014","08","15","26101","auto",NA,NA,NA,NA,NA,NA,NA,NA
