"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","individualCount","typeStatus","coordinatePrecision","geoFlag","preparationType"
"1","2020-02-08 10:18:35-03","NBC","NL-BOTANY","L.3811948","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Davidse & Zuloaga","Filgueiras TS; Lopes RD","1992","08","04","Southern America","Brazil","Brasil. Goiás: Macedo, Mun. de Niquelandia, ca 20 km da cidade.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3811948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3811948","NL-L3811948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-22 17:46:25-03","UFPI","TEPB","21953","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse e Zuloaga","B. M. T. Walter","1999","06","24",NA,"Brasil","Estrada Colinas - Serra da Mesa, 41 km de Colinas, cerca de 7 km após Vila Borba","Erva cespitosa; Cerca de 50 cm de altura. Anteras vináceas. Frequente; Solo areno-argiloso com cascalho superficial. Planta pastada pelo gado. Ambiente: Mata de Galeria não-inundável",NA,NA,"G. P. Silva; B. Walter","1999","06","24","4333","Goiás","Colinas do Sul","-48.122222","-13.897222","48°07'20W","13°53'50S","650","650",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:20:33-03","UNICAMP","UEC","185113","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Oliveira, RC; Valls, JFM; Carvalho, AM","2010","06","30",NA,"Brazil","Estrada de terra ao norte de Macedo Velho, próx. à bica do Jiquinho. Na margem do curso d'água.","Na margem do curso d'água.","UEC106750","UEC106750","Valls, JFM","2010","06",NA,"2553","Goiás","Niquelândia","-48.427778","-14.34","-48.427778","-14.34",NA,NA,"Liliopsida",NA,NA,NA,NA,NA
"4","2020-10-01 14:26:54-03","JBB","HEPH","13202","S","Plantae",NA,"Poales","Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg.","Oliveira, RC","1997","09","12","Southern America","Brasil","Aproximadamente 23km da entrada Sul do Canteiro da AHE Serra da Mesa","Em touceiras esparsas entre populacoes de P. stellatum",NA,NA,"Oliveira, RC","1997",NA,NA,"803","Goiás","Colinas do Sul","-48.1275","-13.893611","-48.1275","-13.893611","500","500","Monocotyledon",NA,NA,NA,NA,NA
"5","2019-07-19 11:04:00-03","MO","MOBOT","1491169","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alicia López & Morrone","F.C.A. Oliveira|Marina L. Fonseca|M.L.M. Azevedo|A.T. Magalhães","1996","6","27","South America","Brazil","Mpio. de Niquelândia. Macedo. KM 02 da estrada à direita da mina de níquel.",NA,NA,NA,"Gerrit Davidse (MO)",NA,NA,NA,"Oliveira 632","Goiás","Niquelândia","-48.4158333","-14.3841666",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"6","2019-07-19 11:05:00-03","MO","MOBOT","1491170","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alicia López & Morrone","F.C.A. Oliveira|Marina L. Fonseca|M.L.M. Azevedo|A.T. Magalhães","1996","6","27","South America","Brazil","Mpio. de Niquelándia. Km 02 da estrada para Macedo Velho.",NA,NA,NA,"Gerrit Davidse (MO)",NA,NA,NA,"Oliveira 628","Goiás","Niquelândia","-48.4144444","-14.3508333",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"7","2019-07-19 11:07:00-03","MO","MOBOT","2957358","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alicia López & Morrone","Tarciso S. Filgueiras","1993","5","19","South America","Brazil","Niquelândia. Cidade De Macedo, ca. 20 Km ao norte de Niquelândia.",NA,NA,NA,"Gerrit Davidse (MO)",NA,NA,NA,"Filgueiras 2466","Goiás","Niquelândia","-48.3833333","-14.3",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"8","2019-07-19 10:50:00-03","MO","MOBOT","3017242","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alicia López & Morrone","Tarciso S. Filgueiras|R.D. Lopes","1992","8","4","South America","Brazil","Macedo, município de Niguelândia, ca. 20 km da cidade.",NA,NA,NA,"Gerrit Davidse (MO)",NA,NA,NA,"Filgueiras 2438","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,"1","Isotype","74171","auto",NA
"9","2019-07-19 11:10:00-03","MO","MOBOT","2956942","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alicia López & Morrone","Tarciso S. Filgueiras|Rosalina Berazaín|A.J. Vieira Santos","1999","6","1","South America","Brazil","Município de Niquelândia. Macedo velho. Perto do local de movimentação das máquinas.",NA,NA,NA,"Gerrit Davidse (MO)",NA,NA,NA,"Filgueiras 3549","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,"1",NA,"74171","auto",NA
"10","2019-07-19 11:06:00-03","MO","MOBOT","2953128","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alicia López & Morrone","Tarciso S. Filgueiras|F.C.A. Oliveira","1993","5","19","South America","Brazil","Mun. Niquelândia, Fonte da Bica. Brejo em encosta, estrada Niquelândia/Macedo.",NA,NA,NA,"Gerrit Davidse (MO)",NA,NA,NA,"Filgueiras 2466","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,"1",NA,"74171","auto",NA
