"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","402473","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","M. Goes","1977","06","01","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Instituto de Botanica, Jardim Botanico. Area 6: planta no. 21A","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402473","NY00402473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1039382","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","M. C. Souza","2008","01","15","South America","Brazil","Espírito Santo",NA,"São Roque do Canaã. Distrito Alto Santa Julia. Misterioso, Pedra dos Três Carneiros, trecho de mata sobre o afloramento rochoso.","-40.7561","-19.7669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039382","NY01039382_01","M. C. de Souza","596","812","812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1183876","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","M. G. Bovini","1995","11","08","South America","Brazil","Rio de Janeiro","Paratí","Patrimônio, trilha para a aldeira Araponga.","-44.7131","-23.2178","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457641' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183876","NY01183876_01","M. C. D. Macedo","932","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00998005","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","B. D. Sucre",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00998005","NY00998005_01","M. C. D. Macedo","11046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402444","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","J. R. Pirani","1994","12","08","South America","Brazil","Espírito Santo","Piúma","Ca. 3 km S do Morro do Aghá, na rodovia ES-060","-40.77","-20.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402444","NY00402444_01","T. M. Macedo","3513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","402474","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","T. S. dos Santos","1971","11","29","South America","Brazil","Bahia","Barra do Choça","Km 20 da rod Conquista/Barra da Choça.","-40.57","-14.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402474","NY00402474_01",NA,"2554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1183877","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","M. G. Bovini","1995","11","08","South America","Brazil","Rio de Janeiro","Paratí","Patrimônio, trilha para a aldeira Araponga.","-44.7131","-23.2178","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457644' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183877","NY01183877_01","M. C. D. Macedo","932","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:10-03","UFRJ","RFA","26452","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","A. Quinet","2001","01","08",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.391667","-22.379444",NA,"Árvore 10 m de altura, 90 cm de DAP, folha verde, comum no local","RFA37079",NA,NA,"36/62","800","800","42º23'30''W","22º22'46''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:10-03","UFRJ","RFA","26488","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","F.B. Pereira","2001","01","13",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","Sítio Serra do Capim","-42.876111","-22.138889",NA,"Árvore 8 m de altura, 28 cm de DAP; frutos de cor ferruginosa, abundante no local","RFA37080",NA,"C.M. Vieira","37/63","820","820","42º52'34''W","22º8'20''S","2001","07","31",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:10-03","UFRJ","RFA","31247","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Eriotheca","pentaphylla","Eriotheca pentaphylla","(Vell.) A.Robyns","M.A. Louzada; J.C.Gomes et al 1","2002","00","00",NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,"Coletas da amostragem fitossociológica. Parcela P6; ind.: 06","RFA20474",NA,"C.M.Vieira","s.n.",NA,NA,NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA
