"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","eventTime","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00995001","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","J. J. Pipoly","L. Emygdio de Mello Filho","3518","1972","07","20","South America","Brazil","Minas Gerais","Catas Altas","Caraça.","-43.4881089","-20.0987894","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995001","NY00995001_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495987","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","J. J. Pipoly","R. B. Foster","9011","1982","10","07","South America","Peru","Pasco","Oxapampa","Cordillera Yanachaga. Cerro Pajonal chacos. 12 km SE of Oxapampa",NA,NA,"2700","2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00995000","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","J. J. Pipoly","C. A. W. Schwacke","12384","1896","08","11","South America","Brazil","Minas Gerais",NA,"Serra Ibitipeca.",NA,NA,"1100","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995000","NY00995000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00994999","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","J. J. Pipoly","C. A. W. Schwacke","14386","1902","07","18","South America","Brazil","Minas Gerais",NA,"Serra das Canarinhas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00994999","NY00994999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","495988","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","J. J. Pipoly","W. R. Anderson","35822","1972","02","11","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Eastern slopes of Pico do Itambé",NA,NA,"1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495988","NY00495988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","495989","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","J. J. Pipoly","A. F. M. Glaziou","19188","1884","08","06","South America","Brazil","Rio de Janeiro",NA,"Plantes des environs de Rio-de-Janeiro et d'Ouro-Preto",NA,NA,NA,NA,"sheet","recueillies en 1883 et 1884 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495989","NY00495989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:47:16-03","EAO","IAN","94169","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","congesta","Rapanea congesta","Schwacke",NA,"Glaziou, AFM","14044",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"IAN094169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:47:16-03","EAO","IAN","13771","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","congesta","Rapanea congesta","Schwacke","Barreto, B","Magalhães, MG","1980","1942","05","05","Southern America","Brasil","Minas Gerais","Serro","Campo alpino do alto do Pico Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Subarbusto.","IAN013771","IAN013771 IAN013771_e","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:47:16-03","EAO","IAN","102520","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","congesta","Rapanea congesta","Schwacke","Barreto, B","Magalhães, MG","1980","1942","05","05","Southern America","Brasil","Minas Gerais","Serro","Campo alpino do alto do Pico Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Subarbusto.","IAN102520",NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:17:49-03","ESALQ","ESA","82813","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Sw.) Pipoly","Freitas, M.F.","Krieger, L.","8643.0","1970","05","13",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA082813","ESA082813","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:43:56-03","UFJF","CESJ","8540","PreservedSpecimen","Plantae","Angiosperma",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Sw.) Pipoly","M.F. Freitas","L. Krieger; U.C. Câmara","CESJ8540","1970","05","14","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"arbusto","CESJ008540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:43:56-03","UFJF","CESJ","8643","PreservedSpecimen","Plantae","Angiosperma",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Sw.) Pipoly",NA,"L. Krieger","CESJ8643","1970","05","13","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"árvore pequena","CESJ008643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:43:56-03","UFJF","CESJ","9362","PreservedSpecimen","Plantae","Angiosperma",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Sw.) Pipoly","M.F. Freitas","U.C. Câmara","s.n.","1970","09","29","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"arbusto","CESJ009362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:38:29-03","UNICAMP","UEC","115845","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, MF","Urbano","9362","1970","09","29",NA,"Brazil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"Arbusto 1,5m; campo arenoso, folhas duras.",NA,NA,NA,NA,"2005","06","30",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:38:29-03","UNICAMP","UEC","115846","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, MF","Krieger, L; Urbano","8540","1970","05","14",NA,"Brazil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"no campo, arbusto, fr negros.",NA,NA,NA,NA,"2010","08","02",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:38:29-03","UNICAMP","UEC","115847","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, MF","Krieger, L","8643","1970","05","13",NA,"Brazil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"Árvore pequena 2-3m, rup#?#cola, terreno arenoso, fl amareladas.",NA,NA,NA,NA,"2010","08","02",NA,NA,NA,NA,NA,NA,NA
"17","2020-03-12 10:29:28-03","UFOP","OUPR","34161","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly",NA,"Pedrosa, L.G.","1637","2019","05","26",NA,"Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"Subarbusto. Flores pálidas. Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Schwacke, C.A.W.","s.n.","1896",NA,NA,NA,"Brasil","Minas Gerais","Santa Rita do Ibitipoca","Serra do Ibitipoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998","09","17",NA,NA,NA,NA,NA,NA,NA
"19","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Badini, J.","s.n.","1938","07",NA,NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas, Capoeira","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flor violácea",NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"20","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Badini, J.","s.n.","1938","08",NA,NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas, Cerrado","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flor pálida",NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Badini, J.","s.n.","1940",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Campo","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flor pálida",NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Damazio, L.B.","s.n.","1905","02",NA,NA,"Brasil","Minas Gerais","Ouro Preto","Morro São Sebastião","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"23","2020-03-12 10:29:28-03","UFOP","OUPR","34610","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Pedrosa, L.G.","Pedrosa, L.G.","2079","2019","10","19",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Serra do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto ca. 90cm. Em flores. Campo rupestre",NA,NA,"44599","auto","2019","10",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Badini, J.","s.n.","1936",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Antônio Pereira, Cerrado","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flor pálida",NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Badini, J.","s.n.","1941",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto, Cerrado","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flor pálida",NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"26","2019-11-06 09:57:17-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly","Freitas, M.F.","Badini, J.","s.n.","1939",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra do Veloso, Cerrado","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flor pálida",NA,NA,"44599","auto","1998","09","17",NA,NA,NA,NA,NA,NA,NA
"27","2014-10-14 15:56:31-03","BS","M","M-0165038","S","Plantae","Magnoliophyta","Ericales","Myrsinaceae","Rapanea","congesta","Rapanea congesta","Schwacke ex Mez",NA,"Magalhães Gomes, C.T. de",NA,"1893","09","18",NA,"Brasil",NA,NA,"Brasilia: ad Serra do Capanema (M. Geraes)",NA,NA,NA,NA,NA,NA,"M0165038",NA,NA,NA,NA,NA,NA,"Magnoliopsida","SYNTYPE","21:00",NA,NA,NA,NA
"28","2020-12-21 16:41:58-03","MBM","MBM","263724","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Sw.) Pipoly","Freitas, M.F.","Krieger, L.","8643","1970","05","13","Southern America","Brazil","Minas Gerais","Ibitipoca","Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,"MBM263724","MBM263724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:41:58-03","MBM","MBM","275264","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Sw.) Pipoly","Freitas, M.F.","Krieger, L.","s.n.","1970","05","13","Southern America","Brazil","Minas Gerais","Ibitipoca","Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,"MBM275264","MBM275264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-09-04 15:36:54-03","MNHN","RECOLNAT_MNHN_P","P04490019","PreservedSpecimen",NA,NA,NA,"Primulaceae","Myrsine","congesta","Myrsine congesta","(Schwacke ex Mez) Pipoly",NA,"Glaziou",NA,"1884","2","9",NA,"Brasil","Minas Gerais",NA,"Itacolomy.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04490019' target='other'> <mi>dwc_moreinfo</mi></a>","P04490019","P04490019_01",NA,NA,NA,NA,NA,NA,NA,NA,"15188",NA,NA,NA
