"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"12","2020-09-23 10:40:12-03","E","E","80552","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,NA,NA,NA,NA,"Palacios, Walter & van der Werff, Henk","3660","1989","01","26","EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00080552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080552",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:89315",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:40:12-03","E","E","66615","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,NA,NA,NA,NA,"Van der Werff, H., Gray, B. & Fuentes, P.","13421","1994","03","06","EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00066615 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066615",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:87384",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:40:12-03","E","E","80562","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,NA,NA,NA,NA,"Palacios, Walter & Neill, David","6783","1987","12","12","EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00080562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080562",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:89306",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:40:12-03","E","E","75271","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,NA,NA,NA,NA,"Van der Werff, H., Gray, B. & Fuentes, P.","13429","1994","03","06","EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00075271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00075271",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:86366",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","23051","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","australe","Cinnamomum australe","Vattimo",NA,NA,NA,NA,"R. Reitz","3690","1956","09","20","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023051","NY00023051_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","459782","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","australe","Cinnamomum australe","Vattimo","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1668","1966","06","21","Brazil","Paraná","Altônia","S. of Porto Byington","-53.9017","-23.8744",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=507027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459782","NY00459782_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"18","2016-09-30 01:11:00-03","NY","NYBG","01131930","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","chana","Cinnamomum chana",NA,"I. Vattimo-Gil",NA,NA,NA,"J. C. de Moraes Vasconcelos","124","1953","10","22","Brazil","Paraíba",NA,"Areia, Escola de Agronomia do Nordeste","-35.716443","-6.970951",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285018' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131930","NY01131930_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1104793","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","portosecurianum","Cinnamomum portosecurianum","Vattimo-Gil",NA,NA,NA,NA,"A. P. Duarte","8044","1963","11","22","Brazil","Bahia",NA,"Porto Seguro, Km 18 do ramal da BR 05",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104793","NY01104793_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","02694705","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.",NA,NA,NA,NA,"L. Nusbaumer","4369","2014","11","12","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.39939","-9.240012",NA,NA,"680",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952138' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694705","NY02694705_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1183862","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.",NA,NA,NA,NA,"S. de V. A. Pessôa","1105","2005","04","27","Brazil","Rio de Janeiro","Silva Jardim","Fazenda Santa Helena Remanescente. Área I. Area FSH 321.","-42.3478","-22.5308",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183862","NY01183862_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
