"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","typeStatus","fieldNumber","preparationType","class","order","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-04-08 17:42:38-03","EAO","IAN","26505","PreservedSpecimen","Plantae","Dicotiledônea","Malvaceae","Pavonia","tricalycaris","Pavonia tricalycaris","A.St.-Hil.","Saint-Hilaire","s.n.","Southern America","Brasil","IAN026505","IAN026505_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:45:25-02","IPA","IPA","18239","S","Plantae","Plantae","Malvaceae","Triplochlamys","selloi","Triplochlamys selloi","(Gürke ex Mart.) Ulbr.","Santos, T.S.","2382","Southern America","Brasil","IPA0018239",NA,"Krapovickas, A.","1978","08","1972","08","15","Bahia","Teixeira de Freitas","Vale do Rio Alcobaça. Capoeira","-39.7419013977051","-17.5349998474121","44841","Arbusto de 3m de altura; flores brancas e sépalas vermelhas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-06 15:39:42-02","MNHN","RECOLNAT_MNHN_P","P032671","PreservedSpecimen",NA,NA,"Malvaceae","Pavonia","tricalycaris","Pavonia tricalycaris","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,"Brésil","P032671","P032671_01","Esteves",NA,NA,NA,NA,NA,NA,NA,"Province d' Espirito Santo",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p032671' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"holotype","B2 323","hb",NA,NA,NA,NA,NA,NA
"4","2015-11-06 17:03:04-02","MNHN","RECOLNAT_MNHN_P","P02285945","PreservedSpecimen",NA,NA,"Malvaceae","Triplochlamys","tricalycaris","Triplochlamys tricalycaris","(A.St.-Hil.) Ulbr.","Saint-Hilaire, A. de",NA,NA,"Brésil","P02285945","P02285945_01",NA,NA,NA,"1816",NA,NA,NA,NA,"Prope urbem Villa de Victoria. Spiritu Sancto",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02285945' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isotype",NA,"hb",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","282300","PreservedSpecimen","Plantae",NA,"Malvaceae","Pavonia","selloi","Pavonia selloi","Gürke in Mart.","F. Sellow","352","South America - Neotropics","Brazil","US00098047","US00098047_01",NA,NA,NA,NA,NA,NA,NA,NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,NA,NA,"Isosyntype",NA,NA,"Dicotyledonae","Malvales","1",NA,NA,NA
"6","2019-11-13 11:24:58-03","USP","SPF","122679","PreservedSpecimen","Plantae",NA,"Malvaceae","Pavonia","tricalycaris","Pavonia tricalycaris","A.St.-Hil.","Pereira, OJ","2471",NA,"Brasil","SPF00122679",NA,"Esteves, GL","1996","11","1992","01","07","Espírito Santo",NA,"Comboios-Aracruz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-09-04 19:18:42-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Malvaceae","Pavonia","tricalycaris","Pavonia tricalycaris",NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Type [status unknown]",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"8","2020-07-23 12:12:14-03","CEPLAC","CEPEC","8911","PreservedSpecimen","Plantae",NA,"Malvaceae","Pavonia","tricalycaris","Pavonia tricalycaris",NA,"T. S. dos Santos","2382",NA,"Brasil",NA,NA,"G. L. Esteves",NA,NA,"1972","08","15","Bahia","ALCOBAÇA","Teixeira de Freitas/Vale do Rio Alcobaça.","-39.1955986022949","-17.5193996429443","50074",NA,"auto",NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/10/1996"
"9","2020-07-23 12:12:14-03","CEPLAC","CEPEC","16723","PreservedSpecimen","Plantae",NA,"Malvaceae","Pavonia","tricalycaris","Pavonia tricalycaris",NA,"L. A. Mattos-Silva","557",NA,"Brasil",NA,NA,"G. L. Esteves",NA,NA,"1979","07","03","Bahia","ALCOBAÇA","Ramal entr. Km 8 Rod. T. de Freitas/Caravelas, 3Km apos a bifurcacao p/ Alcobaca.","-39.5","-17.483333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W30'0","17S29'0","30/10/1996"
"10","2017-09-11 17:10:41-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Malvaceae","Pavonia","selloi","Pavonia selloi","Gürke","Sellow, F","352","Southern America","Brazil",NA,"P12P3N0104",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
