"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","occurrenceRemarks","continentOcean","typeStatus","minimumElevationInMeters","class","order","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","preparationType"
"1","2020-11-04 11:01:28-03","ESALQ","ESA","88072","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H. Rob.","Robinson, H.","2003","01","01","Hatschbach, G. et al.","74386.0","2003","03","09","Brasil","Mato Grosso do Sul","Guia Lopes da Laguna","-56.114200592041","-21.457799911499","44012","ESA088072","ESA088072","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:24:00-03","UNICAMP","UEC","118912","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H.Rob.","Moraes, MD",NA,NA,NA,"Moraes, M; Alvarenga, D","s.n.","2001","04","10","Brazil","Goiás",NA,NA,NA,NA,"UEC122540","UEC122540",NA,"ca. 1,5 km da saída da cidade de Nova Roma em direção a balsa.","Arbusto 1,5m, com xilopódio.; Encosta de morro, cerradão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:24:00-03","UNICAMP","UEC","143233","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H.Rob.","Moraes, MD",NA,NA,NA,"Moraes, MD; Alvarenga, D","640","2001","04","10","Brazil","Goiás",NA,NA,NA,NA,"UEC122539","UEC122539",NA,"ca. 1,5 km da saída da cidade de Nova Roma em direção a balsa.","Arbusto 1,5m, com xilopódio.; Encosta de morro, cerradão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:24:00-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H.Rob.","Monge, M","2012","10",NA,"Morais, FF; Monteiro, R","266","2009","11","19","Brazil","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436","172193","UEC155052","UEC155052","auto","Fazenda São Domingos, fronteira Brasil/Bolívia.","Arbusto 80 cm, caule piloso e folha pilosa. Brácteas amarelas.; Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:15:45-03","MBM","MBM","279598","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H. Rob.","Robinson, H.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","74386","2003","03","09","Brazil","Mato Grosso do Sul","Guia Lopes da Laguna","-56.114200592041","-21.457799911499","44012","MBM279598","MBM279598","auto","Rod. BR-267, próximo ao km 447, descida da Chapada",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2009-08-28 05:32:00-03","MO","MOBOT","1946197","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H. Rob.","Marta Dias de Moraes (UEC)",NA,NA,NA,"Robert M. King|Luther E. Bishop","King 8803","1981","2","5","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"68 km NW along road from Iaciara to Nova Roma.",NA,"South America","Isotype","426.72000000",NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3398384","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H. Rob.",NA,NA,NA,NA,"M. A. Silva, F. R. Mendonca & D. Alvarenga","4309","2000","3","1","Brazil","Goiás",NA,"-46.8789","-13.7283",NA,"US01772290","US01772290_01",NA,"Municipio de Nova Roma. Fazenda Sitio Novo. Saida da cidade em direcao a balsa do rio Parana",NA,"South America - Neotropics",NA,"565","Dicotyledonae","Asterales","1",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3448246","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H. Rob.",NA,NA,NA,NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","74386","2003","3","9","Brazil","Mato Grosso do Sul",NA,NA,NA,NA,"US01772291","US01772291_01",NA,"Rod. BR-267, proximo do km 447, descida da chapada (Mun. Guia Lopes da Laguna)",NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Asterales","1",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2922346","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H. Rob.",NA,NA,NA,NA,"R. M. King & L. E. Bishop","8803","1981","2","5","Brazil","Goiás",NA,NA,NA,NA,"US00125197","US00125197_01",NA,"Inter Porto Imperial et Lunie, ad flum Tocantins",NA,"South America - Neotropics","Isotype",NA,"Dicotyledonae","Asterales","1",NA,NA,NA,NA
"10","2020-09-02 16:21:10-03","Cenargen","CEN","36353","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","bishopii","Dimerostemma bishopii","H.Rob.","J. B. Bringel","2005","02",NA,"Maria Aparecida da Silva - IBGE","4309","2000","03","01","Brasil","GO","NOVA ROMA","-46.878888",NA,NA,"CEN00036353","CEN00036353",NA,"Fazenda Sítio Novo. Saída da cidade em direção a balsa do rio Paranã.","Capítulos amrelos, brácteas foliáceas verdes, folhas discolores verdes com parte abaxial meio áspera a adaxial pubescente. Doação - Herbário IBGE - Plantas do Brasil- Goiás.",NA,NA,"565",NA,NA,"1","-46.878888","-1372833.0","565","Exsicatas"
