"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","continentOcean","order","typeStatus","relatedCatalogItem"
"1","2020-12-20 21:18:36-03","UFV","VIC","7074","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral, M.","Shepherd, G.J.; et al.","s.n.","1980","01","30","Brasil","São Paulo","Ubatuba","Estação Experimental","-45.0699996948242","-23.4300003051758","34265","Árvore com 8 metros de altura , em estágio final de floração , com cálice e pedúnculo ferruginosos.","VIC007074","VIC007074","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:36:11-03","UNICAMP","UEC","200650","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Pereira, LS; Belinello, R; Gomes, JAMA","N868","2007","12",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.183333","-23.4",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 14 metros de altura. Frequência da espécie na parcela: n=7; Mata Atlântica","UEC157998","UEC157998",NA,"Magnoliopsida","Sobral, M","2008","-45.183333","-23.4","990","1045",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:11-03","UNICAMP","UEC","178228","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Rochelle, ALC","J1012",NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Bairro Taquaral","-45.051111","-23.216667",NA,"Floresta ombrófila densa submontana.","UEC041675","UEC041675",NA,"Magnoliopsida","Sobral, M","2008","-45.051111","-23.216667","450","450","03",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:21:02-03","UNICAMP","UEC","148796","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Aranha, BA","369","2006","10","22","Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389",NA,NA,NA,NA,NA,"Magnoliopsida","Sobral, M","2008","-45.084167","-23.366389","380","380","10",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:36:10-03","UNICAMP","UEC","160922","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Cavalin, PO","34","2009","11","12","Brazil","São Paulo","Ubatuba","Fazenda Capricórnio","-45.092778","-23.396667",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","UEC039357","UEC039357",NA,"Magnoliopsida","Cavalin, PO","2010","-45.092778","-23.396667","348","395","06",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:36:11-03","UNICAMP","UEC","161000","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Stefani, EJF; Belinello, R; Galvão, JC","88","2010","05","30","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Mata Atlântica.","-45.502778","-23.619167",NA,"Árvore com 14 m.","UEC064730","UEC064730",NA,"Magnoliopsida","Stefani, EJF","2010","-45.502778","-23.619167","50","90","12",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:36:11-03","UNICAMP","UEC","65949","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Silva, IA","339","1982","07","31","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Aceiro Milanes, km 250 lado direito.","-40.0722007751465","-19.3910999298096","48094","Árvore em floresta alta, ca. 15m de alt e fuste de ca. 10m, DAP 23cm, diametro da copa: ca. 3m. Com fruto maduros de cor vermelha e verde-claro. Fuste cilíndrico e casca ecamosa.","UEC142542",NA,"auto","Magnoliopsida","Valdemarin, KS","2017",NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:36:11-03","UNICAMP","UEC","21194","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Shepherd, GJ; Tamashiro, JY; Silva, AF","10979","1980","01","30","Brazil","São Paulo","Ubatuba","Estação Experimental do IAC","-45.0699996948242","-23.4300003051758","34265","Ávore com 8m alt.; em estágio final de floração, com cálice e pedúnculo ferrugíneos.","UEC142543",NA,"auto","Magnoliopsida","Valdemarin, KS","2017",NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA
"9","2019-12-19 16:36:57-03","UNESP-IBB","BOTUW","839","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral",NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW000839",NA,NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:31:27-03","UFRRJ","RBR","26179","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","H.C. Rodrigues","s.n.","1994","03","30","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00026179","RBR00026179","auto",NA,"M.C. Souza, B.L. Tiellet","2016",NA,NA,NA,NA,"08","02",NA,NA,NA,NA,NA
