"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","02360787","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(DC.) B.Gates","Schwake","10433","South America","Brazil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2542767' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360787","NY02360787_01 NY02360787_02","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:09-03","UFRJ","RFA","35483","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(DC.) B.Gates","C.M. Vieira; F. Fontes; A. Maciel","1894",NA,"Brasil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561","295160",NA,"Subarbusto. Folhas verdes, discolores. Flores amarelas. Comum","RFA22864",NA,"auto","C.M. Vieira","2008","10","15","Morro do Urucum. Em trecho do morro a ser explorado (área 15)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-10 17:53:35-03","UNICAMP","UEC","206075","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","Shepherd, GJ; Semir, J; Salgado, PR; Andrade, JB","7216",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"flor, Cerrado. Arbusto de 1,7 m. flores amarelas.","UEC166689","UEC166689",NA,NA,"1978","02","22","Estrada entre Araxá e Uberaba. Km 381.","1000","1000",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-10 17:53:35-03","UNICAMP","UEC","9639","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","Shepherd, GJ; Semir, J; Salgado, PR; Andrade, JB","7068",NA,"Brazil","Minas Gerais","Piumhi",NA,NA,NA,NA,"flor, Arbusto de 1,5 m. flores amarelas. Cerrado.","UEC166692","UEC166692",NA,NA,"1978","02","21","Estrada entre Piumhi e Araxá. 17 km de P","850","850",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-10 17:53:35-03","UNICAMP","UEC","143470","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","Silva, RR; Ramires, E","96",NA,"Brazil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561","295160",NA,"Subarbusto de 30 cm de altura, flores marelas, solo litólico de ferro.","UEC166688","UEC166688","auto",NA,"2003","01","07","Fazenda Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-10 17:53:35-03","UNICAMP","UEC","143472","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","Silva, RR; Ramires, E","95",NA,"Brazil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561","295160",NA,"Subarbusto de 30 cm. de altura. Flores amarelas.","UEC166695","UEC166695","auto","Silva, RR","2003","01","07","Planalto Residual do Urucum. Acesso pela Mineração Corumbaense. Campo Cerrado. Solo litolico de ferro.",NA,NA,"2004","03","25",NA,NA,NA,NA
"7","2020-02-10 17:53:35-03","UNICAMP","UEC","35343","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","M, RP","s.n.",NA,"Brazil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711","17082",NA,"flor, Flores argento (XXX).","UEC166690","UEC166690 UEC166690_1","auto",NA,"1980","09","30","Campus da UFMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-10 17:53:35-03","UNICAMP","UEC","9642","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","Shepherd, GJ; Semir, J; Salgado, PR; Andrade, JB","7265",NA,"Brazil","Minas Gerais","Uberaba","-47.9319000244141","-19.7483005523682","73879",NA,"flor, Arbusto de 1,5 m. flores amarelas. Cerrado.","UEC166691","UEC166691","auto",NA,"1978","02","22","Estrada de Uberaba a Planura (Barretos)","650","650",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-10 17:53:35-03","UNICAMP","UEC","71213","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","Durigan, G","30688",NA,"Brazil","São Paulo","Assis","-50.4099998474121","-22.6599998474121","23972",NA,"flor, Liana. Flores amarelas. Cerrado.","UEC166693","UEC166693","auto","Leitão Filho, HF","1992","05","18","Est. Exp. De Assis.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-10 17:53:35-03","UNICAMP","UEC","9641","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","salicifolia","Banisteriopsis salicifolia","(A.DC.) B.Gates","?","s.n.",NA,"Brazil","São Paulo","Mogi Guaçu","-46.9421997070312","-22.372200012207","39309",NA,"flor, Arbusto de 1m. Flores amarelo-ouro.","UEC166694","UEC166694","auto",NA,"1978","05","19","Estação Biológica de Mogi Guaçu, (faz. Campininha)",NA,NA,NA,NA,NA,NA,NA,NA,NA
