"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","coordinatePrecision","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","684412","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz","T. Bochorny","J. G. Jardim","2786","2000","02","23","South America","Brazil","Bahia","Nilo Peçanha","5.8 km na rod. para Cairú, entrada para Turrinha ca. 1 km E na rod.","-39.03527778","-13.5544444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684412","NY00684412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-07 00:49:52-03","UFBA","ALCB","125026","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","J.F.A. Baumgratz","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","24796","2016","05","20","Southern America","Brasil","Bahia","Ituberá","Ituberá para Pratigi.","-39.416667","-14.25",NA,"Folhas cartáceas, discolores. Inflorescência com flores de pétalas alvas, anteras vináceas. Fruto cápsula marrom.","ALCB027323","ALCB027323 ALCB027323_1","2016","10","-39.416667","-14.25",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:42:43-03","JBP","HPL","13600","S","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,NA,"J.G. Jardim; A. Jardim; A. Amorim; C. Davis et al","5337","2008","08","17",NA,"Brasil","BA","Cairu","Estrada para Torrinha, ca. 3 km da entrada. CEPLAC-123928.","-39.029444","-13.55",NA,NA,NA,NA,NA,NA,"39° 1' 46 W","13° 32' 60 S",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:19:38-03","UFPR","UPCB","82495","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz","Bochorny, T.","Goldenberg, R.","1725","2014","02","16",NA,"Brasil","Bahia","Itamaraju","Morro das Antenas (ao lado do Morro do Pescoço); Floresta Ombrófila Densa","-39.598","-16.989",NA,"Árvore 6m; Frutos velhos beges.","UPCB0012556","UPCB0012556","2015","10","-39.598","-16.989","13","600","600",NA,NA,NA,NA,NA
"5","2020-07-10 09:47:21-03","MBML","MBML-HERBARIO","44149",NA,"Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz",NA,"A. B. Jardim; L. C. Gomes, R. Perdiz, M. Teixeira & V. Cardoso","220","2009","02","06",NA,"Brasil","Bahia","Arataca","Serra das Lontras. Rod. Arataca/Una, entrada 9,5km. Faz. Oreon, 6km da entrada","-39.339444","-15.174167",NA,"Árvore ca 7-8m alt., pétalas alvas, estames amarelos. Frutos imaturos verde","MBML044149","MBML044149",NA,NA,"39W20'22","15S10'27",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-04 11:05:45-03","UFRB","HURB","20626","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz","M.L.Guedes","Guedes, M.L.; Alunos de Boteco - maio 2016","24796","2016","05","20",NA,"Brasil","Bahia","Ituberá","Ituberá para Pratigi;","-39.416667","-13.916667",NA,NA,"HURB000020626",NA,"2016","10","39º25'W","13º55'S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-04 11:05:45-03","UFRB","HURB","16519","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz, J.F.A.","M.L.Guedes","Guedes, M.L.; Alunos de Boteco, maio de 2016","24796","2016","05","20",NA,"Brasil","Bahia","Ituberá","Ituberá para Pratigi;","-39.416667","-13.916667",NA,NA,"HURB000016519",NA,"2016","10","39º25'W","13º55'S",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2848203","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz",NA,"T. S. Santos","2660","1973","6","11","South America - Neotropics","Brazil","Bahia",NA,"km 3 a 10 da rod Nilo Peçanha para Cairú.",NA,NA,NA,NA,"US01901083","US01901083_01 US01901083_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2951861","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz",NA,"A. M. Carvalho & G. P. Lewis","1135","1982","1","10","South America - Neotropics","Brazil","Bahia","Valença","11 km na estrada para Orobó, partindo da estrada BR 101/Valença","-39.0731010437012","-13.3703002929688",NA,NA,"US01901082","US01901082_01 US01901082_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1","43634","auto",NA
"10","2019-11-13 11:25:17-03","USP","SPF","164277","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz","Bochorny, T","Jardim, JG","2786","2000","02","23",NA,"Brasil","Bahia","Nilo Peçanha",NA,"-39.45","-13.554444",NA,NA,"SPF00164277",NA,"2015","10","-39.45","-13.554444","06",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-13 11:25:17-03","USP","SPF","215662","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz",NA,"Jardim, AB","220","2009","02","06",NA,"Brasil","Bahia","Arataca","Serra das Lontras","-39.339444","-15.174167",NA,NA,"SPF00215662",NA,NA,NA,"-39.339444","-15.174167",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-07 09:34:13-03","UEFS","HUEFS","188569","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi","Baumgratz",NA,"Jardim, A.B.","220","2009","02","06",NA,"Brasil","Bahia","Arataca","Serra das Lontras. Rod. Arataca/Una entrada 9,5 Km. Faz. Oreon. 6 Km da entrada.","-39.339444","-15.174167",NA,NA,"HUEFS0188569","HUEFS0188569",NA,NA,"39W20'22''","15S10'27''",NA,NA,NA,"Rosanae",NA,NA,NA,NA
"13","2020-07-23 12:12:47-03","CEPLAC","CEPEC","123928","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"J. G. Jardim","Jardim, J. G.","5337","2008","08","17",NA,"Brasil","Bahia","CAIRÚ","Estrada para a Torrinha, ca. 3km da entrada.","-39.029444","-13.55",NA,NA,NA,NA,NA,NA,"39w1'46","13S32'60",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-23 12:12:47-03","CEPLAC","CEPEC","127352","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"Sem Informação","Jardim, A. B.","220","2009","02","06",NA,"Brasil","Bahia","arataca","Serra das Lontras. Rod. Arataca/Una entrada 9,5Km. Faz. Oreon. 6Km da entrada.","-39.339444","-15.174167",NA,"Foto. Álcool 70%.",NA,NA,NA,NA,"39w20'22","15s10'27",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-23 12:12:47-03","CEPLAC","CEPEC","141493","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"T. Bochorny","Goldenberg, R.","1725","2014","02","16",NA,"Brasil","Bahia","ITAMARAJÚ","Morro das Antenas (ao lado do Morro do Pescoço)","-39.5975","-16.988889",NA,NA,NA,NA,NA,NA,"39W35'51","16S59'20",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-23 12:12:47-03","CEPLAC","CEPEC","150506","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,NA,"Nogueira, M.G.C.","198","2014","08","03",NA,"Brasil","Bahia","ITAMARAJÚ","Conglomerado BA_1404-1-3-5","-39.599444","-16.919722",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"39W35'58","16S55'11",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-07-23 12:12:47-03","CEPLAC","CEPEC","88489","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"A. B. Jardim","J. G. Jardim","2786","2000","02","23",NA,"Brasil","Bahia","NILO PEÇANHA","5,8Km na Rod. Cairú, entrada para Turrinha, ca. 1Km a E na Rod.","-39.1068992614746","-13.5993995666504",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39303","auto",NA
"18","2020-07-23 12:12:47-03","CEPLAC","CEPEC","9379","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"R. Perdiz","T. S. dos Santos","2660","1973","06","11",NA,"Brasil","Bahia","NILO PEÇANHA","Km 3 a 10 Rod. Nilo Peçanha/Cairú.","-39.1068992614746","-13.5993995666504",NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0",NA,NA,NA,NA,NA,"39303","auto","30/10/2007"
"19","2020-07-23 12:12:47-03","CEPLAC","CEPEC","35558","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"R. Perdiz","L. A. Mattos-Silva","1767","1984","10","24",NA,"Brasil","Bahia","NILO PEÇANHA","Ramal p/ o povoado Itiúca. Ramal c/ entr. Km Rod. N. Peçanha/Cairu, BA-250, a direita.","-39.1068992614746","-13.5993995666504",NA,"<ll>dwc_commonname:</ll> Mundururu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39303","auto","30/10/2007"
"20","2020-07-23 12:12:47-03","CEPLAC","CEPEC","44044","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"R. Perdiz","L. A. Mattos-Silva","2578","1989","09","22",NA,"Brasil","Bahia","NILO PEÇANHA","Ramal p/ os povoados de Itiúca, São Francisco, Barra do Carvalho e Boitaraca, c/ entr. Km 10 Rod. Nilo Peçanha/Cairú, à direita. Próx. a Itiúca, em direção ao Povoado de São Francisco (13Km ao S da entrada).","-39.1068992614746","-13.5993995666504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39303","auto","30/10/2007"
"21","2020-07-23 12:12:47-03","CEPLAC","CEPEC","43111","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","carvalhoi","Huberia carvalhoi",NA,"R. Perdiz","P. A. Loizeau","555","1993","12","07",NA,"Brasil","Bahia","NILO PEÇANHA","Rod. de acesso a Cairú, entre os Kms 4 e 15 depois da bifurcação ao S da Rod. Valença/Camamú.","-39.1068992614746","-13.5993995666504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39303","auto","30/10/2007"
