"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","imagecode","relatedCatalogItem","infraspecificEpithet","identifiedBy","county","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","3363009","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","R. E. Spichiger","RS5086","1991","10","18","South America","Paraguay","Canindeyú","Laurel","-54.93","-24.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3682472' target='other'> <mi>dwc_moreinfo</mi></a>","NY03363009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674529","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Pedersen TM",NA,"1969","12","12","Southern America","Paraguay",NA,"Plantae Paraguayenses. Rocky outcrops near Caapucú. Dep. Paraguarí.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674529","Magnoliopsidae","NL-L1674529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674530","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Pedersen TM",NA,"1965","12","15","Southern America","Paraguay",NA,"Plants of Paraguay. Rocks Yaguarón.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674530","Magnoliopsidae","NL-L1674530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674531","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Pedersen TM",NA,"1969","11","21","Southern America","Paraguay",NA,"Plants of Paraguay. Villa Elisa. Dep. Central.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674531 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674531","Magnoliopsidae","NL-L1674531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.1674532","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Fiebrig K",NA,"1902","10","10","Southern America","Paraguay",NA,"Plantae Paraguayenses. Cordillera de Altos.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1674532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1674532","Magnoliopsidae","NL-L1674532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:06-03","NBC","NL-BOTANY","L.3709282","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Pedersen TM",NA,"1986","11","03","Southern America","Paraguay",NA,"c. 8 km N of Piribebuy. Dep. La Cordillera.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709282 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709282","Magnoliopsidae","NL-L3709282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1052833","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Irgang BE; Vianna EC; Lima D; Ferreira A",NA,"1972","11","23","Southern America","Brazil",NA,"Estrada P. Alegre-Uruguaiana (entre Rosário-Alegrete) km 436.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052833","Magnoliopsidae","NL-U1052833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054562","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Pedersen TM",NA,"1950","12","27","Southern America","Argentina",NA,"Estancia,,Santa Teresa'. Dep. Mburucuyá. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054562","Magnoliopsidae","NL-U1054562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054563","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Tressens SG; Beccaceci M; Vanni RO",NA,"1992","12","06","Southern America","Argentina",NA,"Corrientes, Dep. San Miguel. Ea. San Juan Poriajhu, ruta 17, 18 km ruta 12. Potrero Tres Marias.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054563","Magnoliopsidae","NL-U1054563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1054564","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","hirtula","Alternanthera hirtula","(Mart.) R.E.Fr.","Vanni RO; Cáceres S; Lopez G; Radovancich A",NA,"1990","03","01","Southern America","Argentina",NA,"Corrientes, Dep. San Miguel. 12 Km NE de San Miguel. Ea. Toro-y.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054564","Magnoliopsidae","NL-U1054564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
