"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00933466","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","G. G. Hatschbach","28801","1972","01","18","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Fda. Palacio","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933466","NY00933466_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00933494","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","R. C. Barneby","W. R. Anderson","36238","1972","02","18","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933494","NY00933494_01","1125","1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00933469","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","T. B. Cavalcanti","CFSC9392","1985","11","01","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Km [blank] ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933469","NY00933469_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00933470","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","R. C. Barneby","A. P. Duarte","9144","1965","04","16","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, 118 mais ou menos","-43.548872","-19.278562","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933470","NY00933470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00933468","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","R. C. Barneby","H. S. Irwin","20008","1968","02","14","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933468","NY00933468_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00933492","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","M. Pereira Neto","1014","1991","03","21","South America","Brazil","Minas Gerais","Santana do Riacho","P. N. Serra do Cipó, na regiao do Congonhas, abaixo da Casa de Pedra e próximo ao córrego Gavião.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933492","NY00933492_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00933495","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","A. M. Giulietti","CFCR1750","1981","08","29","South America","Brazil","Minas Gerais",NA,"Gouveia. Fazenda Contagem. 13 km direita no km da rodovia Curvelo-Diamantina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933495","NY00933495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00933011","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana","Burkart","A. Savassi-Coutinho","G. G. Hatschbach","27307","1971","09","06","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço","-43.7406","-18.4544","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933011","NY00933011_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00933004","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana","Burkart","A. Savassi-Coutinho","L. V. Costa","s.n.","1992","10","26","South America","Brazil","Minas Gerais",NA,"Guanhaes, Cenibra, Projeto Quartel, alto da torre",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933004","NY00933004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01345898","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","glabrescens","Mimosa macedoana glabrescens","(Burkart) Barneby","R. C. Barneby","P. A. Sena","s.n.","1895","07",NA,"South America","Brazil","Minas Gerais",NA,"Serra do Cipó","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620566' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345898","NY01345898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00933491","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","J. R. Pirani","CFSC12005","1991","03","26","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, km 125 da Rodovia Belo Horizonte-Conceiçao do Mato Dentro. Elevaçao em frente a estátua do Velho Juca.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933491","NY00933491_01","1320","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00933490","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","J. R. Pirani","CFSC12177","1991","03","27","South America","Brazil","Minas Gerais","Santana do Riacho","Serra da Laphina, Macico NW da Serra do Cipó próxmo da localidade da Laphina, a ca. 50 km da Rodovia Belo Horizonte-Conceicao do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933490","NY00933490_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00933467","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","G. G. Hatschbach","31556","1973","02","14","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Fda. Palacio","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933467","NY00933467_01","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00933493","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","V. F. Dutra","P. M. Andrade","s.n.","1985","04","15","South America","Brazil","Minas Gerais",NA,"UCAT, Santana do Riacho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933493","NY00933493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00933471","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","macedoana","macedoana","Mimosa macedoana macedoana","Burkart","R. C. Barneby","G. Martinelli","11379","1986","01","26","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, estrada para Conceiçao do Mato Dentro, km 116, ramal para Cachoeira","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933471","NY00933471_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:19:50-03","UFRJ","RFA","18512","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana","Burkart","A. Burkart","G.G. Hatschbach","31556","1973","02","14",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Fazenda Palácio","-43.7449989318848","-19.513599395752",NA,"Arbusto de 40cm,copado,flores alvecentes","RFA15588",NA,NA,NA,"1973","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:40:07-03","EAO","IAN","69895","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","macedoana",NA,"Mimosa macedoana","Burkart","Rodrigues, WA","Black, GA; Magalhães, M","12071","1951","04","05","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"IAN069895",NA,NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:10:00-03","ESALQ","ESA","112674","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,NA,"Savassi-Coutinho, A.P.","1326.0","2009","11","28",NA,"Brasil","Minas Gerais","Santana do Pirapama",NA,NA,NA,NA,NA,"ESA112674","ESA112674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:10:00-03","ESALQ","ESA","114042","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Amaral, M.C.E.",NA,"1982","04","22",NA,"Brasil","Minas Gerais","Congonhas do Norte",NA,"-43.6814002990723","-18.8071994781494",NA,NA,"ESA114042","ESA114042",NA,NA,"2010","30386","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:10:00-03","ESALQ","ESA","114041","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Pirani, J.R.","5047.0","2002","03","06",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA114041","ESA114041",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:10:00-03","ESALQ","ESA","114045","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Pirani, J.R.","94.0","1991","03","26",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA114045","ESA114045",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:10:00-03","ESALQ","ESA","114046","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Borges, L.M.","4236.0","2006","04","21",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA114046","ESA114046",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:10:00-03","ESALQ","ESA","112675","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,NA,"Savassi-Coutinho, A.P.","1327.0","2009","11","28",NA,"Brasil","Minas Gerais","Santana do Pirapama",NA,NA,NA,NA,NA,"ESA112675","ESA112675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:10:00-03","ESALQ","ESA","112681","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,NA,"Savassi-Coutinho, A.P.","1333.0","2009","11","27",NA,"Brasil","Minas Gerais","Santana do Pirapama",NA,NA,NA,NA,NA,"ESA112681","ESA112681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:10:00-03","ESALQ","ESA","114048","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Grillo, A.A.",NA,"1995","04","07",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA114048","ESA114048",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:10:00-03","ESALQ","ESA","113978","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Savassi-Coutinho, A.P.","1215.0","2007","03","14",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA113978","ESA113978",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:10:00-03","ESALQ","ESA","114043","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Cavalcanti, T.B.",NA,"1985","11","01",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA114043","ESA114043",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:10:00-03","ESALQ","ESA","113871","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Duarte, A.P.","9144.0","1965","04","16",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA113871","ESA113871",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:10:00-03","ESALQ","ESA","114047","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","macedoana",NA,"Mimosa macedoana",NA,"Savassi-Coutinho, A.P.","Pirani, J.R.",NA,"1998","03","05",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA114047","ESA114047",NA,NA,"2010","26557","auto","09","25",NA,NA,NA,NA,NA,NA,NA
