"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","kingdom","recordNumber","year","month","day","continentOcean","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","typeStatus","individualCount","identifiedBy"
"1","2015-09-04 08:33:49-03","MNHN","RECOLNAT_MNHN_P","P02848981","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Glaziou","Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02848981' target='other'> <mi>dwc_moreinfo</mi></a>","P02848981","P02848981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-04 08:33:49-03","MNHN","RECOLNAT_MNHN_P","P02848982","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Glaziou","Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02848982' target='other'> <mi>dwc_moreinfo</mi></a>","P02848982","P02848982_01","17706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","1041667","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Gerhard K. Gottsberger|et al.","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantae","Gottsberger 11-12878","1978","8","12","South America","Resende.","-44.5","-22.5","1000.00000000",NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1041679","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Gerhard K. Gottsberger|et al.","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantae","Gottsberger 16-13878","1978","8","13","South America","Serra da Mantiqueira, Mts. Itatiaia, Parque Nac. Itatiaia.",NA,NA,NA,NA,NA,NA
"5","2011-02-22 14:43:00-03","MO","MOBOT","1041687","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Ilse S. Gottsberger|Gerhard K. Gottsberger|Wilfried Morawetz","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantae","Gottsberger 31-15878","1978","8","15","South America","Resende, 4 km NW of Itatiaia. Semideciduous forest near a creek.",NA,NA,"500.00000000","Isotype","1",NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","1044415","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Auguste F.M. Glaziou","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantae","Glaziou 17706","1861",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1045156","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Auguste F.M. Glaziou","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantae","Glaziou 12978","1861",NA,NA,"South America","Sao Joao de Rei.",NA,NA,NA,NA,NA,"A. Gentry, 1982 (MO)"
"8","2015-03-04 21:00:00-03","MO","MOBOT","1250267","PreservedSpecimen","Bignoniaceae","Jacaranda","crassifolia","Jacaranda crassifolia","Morawetz","Gerhard K. Gottsberger","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantae","Gottsberger 11-8175","1975","1","8","South America","Mun de Resende. On the way from Itatiaia to the camping of Itatiaia.",NA,NA,"1000.00000000",NA,NA,"W. Morawetz"
