"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2241","PreservedSpecimen","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","L. B. Smith","R. M. Klein; A. C. Bresolin","1971","11","18","Brasil","Santa Catarina","Governador Celso Ramos","Vargem do Marcário.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","CRI006934","CRI006934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","380375","PreservedSpecimen","Plantae","Poaceae","Caryochloa","brasiliensis","Caryochloa brasiliensis","Trin.",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00380375","NY00380375_01","Magnoliophyta","Poales","type","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=661140' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:35-03","EAO","IAN","64974","PreservedSpecimen","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Nascimento, EAP","Brade, AK","1917","04",NA,"Brasil","São Paulo",NA,"Morro das Pedras, Iguapé.",NA,NA,NA,NA,"IAN064974",NA,"Monocotiledônea",NA,NA,"7863","Southern America",NA,NA,"2015","07","08",NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:48:00-02","IPA","IPA","8666","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Tenório, E.C.","Pinto, G.C.P.","1950","08",NA,"Brasil","Bahia","Cruz das Almas","Charcos no leito de riachos e valados.","-39.1018981933594","-12.6700000762939",NA,NA,"IPA0008666",NA,"Plantae",NA,NA,"495","Southern America",NA,NA,"1971","01","14","14660","auto",NA,NA,NA,NA
"5","2019-02-15 11:48:00-02","IPA","IPA","21748","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Ataíde, M.","Luetzelburg","1933","05","04","Brasil","Paraíba","Condado","Serra da Muralha, Brejo.","-37.6007995605469","-6.90971994400024",NA,NA,"IPA0021748",NA,"Plantae",NA,NA,"23663","Southern America",NA,NA,"1975","08","19","22208","auto",NA,NA,NA,NA
"6","2019-02-15 11:48:00-02","IPA","IPA","20251","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Tenório, E.C.","Tenório, E.C.","1969","08","29","Brasil","Pernambuco","Iati","Cachoeirinha-Iati. Caatinga.","-36.8460998535156","-9.04582977294922",NA,NA,"IPA0020251",NA,"Plantae",NA,NA,"959","Southern America",NA,NA,"1971",NA,NA,"38951","auto",NA,NA,NA,NA
"7","2019-02-15 11:48:00-02","IPA","IPA","20401","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Tenório, E.C.","Tenório, E.C.","1969","09","20","Brasil","Pernambuco","Águas Belas","Á beira da capoeira. Em solos saturados de umidade.","-37.1231002807617","-9.11139011383057",NA,NA,"IPA0020401",NA,"Plantae",NA,NA,"1153","Southern America",NA,NA,"1971",NA,NA,"36545","auto",NA,NA,NA,NA
"8","2019-02-15 11:48:00-02","IPA","IPA","20341","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Tenório, E.C.","Tenório, E.C.","1969","09","13","Brasil","Pernambuco","Águas Belas","Estrada Buíque - Águas Belas. Em solos saturados de umidade.","-37.1231002807617","-9.11139011383057",NA,NA,"IPA0020341",NA,"Plantae",NA,NA,"1076","Southern America",NA,NA,"1971",NA,NA,"36545","auto",NA,NA,NA,NA
"9","2019-02-15 11:48:00-02","IPA","IPA","20346","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Tenório, E.C.","Tenório, E.C.","1969","09","18","Brasil","Pernambuco","Tacaimbó","Em local a margem da rodovia BR 234, solos saturaos de umidade.","-36.2933006286621","-8.3161096572876",NA,NA,"IPA0020346",NA,"Plantae",NA,NA,"1082","Southern America",NA,NA,"1971",NA,NA,"17779","auto",NA,NA,NA,NA
"10","2019-02-15 11:48:00-02","IPA","IPA","20178","S","Plantae","Poaceae","Luziola","brasiliensis","Luziola brasiliensis","(Trin.) Pilg.","Tenório, E.C.","Tenório, E.C.","1969","08","21","Brasil","Pernambuco","Cachoeirinhas","Solo argiloso-areoso.",NA,NA,NA,NA,"IPA0020178",NA,"Plantae",NA,NA,"870","Southern America",NA,"Planta paludosa, com forte cheiro de cumarina.","1971",NA,NA,NA,NA,NA,NA,NA,NA
