"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1654148","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","T. Rolim","F. A. Michelangeli","1572","2011","02","03","South America","Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi; rocks inmediately below peak.","-43.47453333333","-20.4283","1730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568245' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654148","NY01654148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:44:40-03","EAO","IAN","94270","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.",NA,"Glaziou, AFM","14731",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN094270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:24-03","UFV","VIC","33087","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Rolim, T.P.","Rolim, T.P.","et al","2010","02","24",NA,"Brasil","Minas Gerais",NA,"P.E. do Itacolomi",NA,NA,NA,NA,"Campo rupestre. Subarbusto ca 0,5m. Somente frutos marrons.","VIC033087","VIC033087","2010","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:18:24-03","UFV","VIC","34220","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Rolim, T.P.","Rolim, T.P.","et al","2011","02","03",NA,"Brasil","Minas Gerais",NA,"P.E. do Itacolomi",NA,NA,NA,NA,"campo rupestre. Arbusto ca 0,4m. Flores róseas; estames maiores com teca vinácea, rostro branco, conectivo e filete róseo, calcar amarelo; estames menores com teca amarela.","VIC034220","VIC034220","2011","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:51-03","UNICAMP","UEC","104845","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.",NA,"Mello-Silva, R; Kawasaki, ML; Rapini, A","1382","1997","05","26",NA,"Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça, Pico do Inficonado.","-43.451389","-20.134722","1900",NA,"Arbusto 50 cm alt.; com capa globosa e fechada. Grande florda nos penhascos. Pétalas lilases. Metade dos estames com anteras castanho-escuro e conectivo lilás com ápice amarelo; a outra mtadecom anteras amarelas e conectivo amarelo. Fi","UEC050688","UEC050688",NA,NA,"-43.451389","-20.134722","2060",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:51-03","UNICAMP","UEC","187663","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Versiane, AFA","Meyer, FS; Escobar, NAG","1487","2013","02","04",NA,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.795958","-20.724606",NA,NA,"Arbusto encontrado no cume do Itacolomi, apenas em locais mais úmidos sob os blocos de rochas. Flores com pétalas rochas.","UEC114638","UEC114638","2016","06","-43.795958","-20.724606",NA,"07",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-06 10:17:17-03","UFOP","OUPR","30706","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Pedrosa, L.G.","Pira, J.C.; Echternacht, L.; Pedrosa, L.G. & Dias, J.V.","27","2018","10","02",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Topo do Pico do Itacolomi.","-43.475181","-20.428347","1688",NA,"Arbusto, ca. 50 - 80 cm. Planta com frutos secos. Saxícola.; Afloramento quartzítico.",NA,NA,"2018","10","-43.475181","-20.428347","1688","02",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:56:29-03","UFOP","OUPR","32555","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Pedrosa, L.G.","Pedrosa, L.G.","1169","2018","12","02",NA,"Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,"Subarbusto, ca. 50cm. Flores lilases. Campo rupestre.",NA,NA,"2018","12",NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-12 10:29:23-03","UFOP","OUPR","35076","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Pira, J.C.","Pira, J.C.; Rosa, R.M.S.","32","2019","01","18",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Platos no Pico do Itacolomi.","-43.474444","-20.428611","1717",NA,"Arbusto ca. 50-80cm, com flores róseas e estames róseos e calacar amarelo. Saxícola sob afloramentos rochosos",NA,NA,"2019","01","-43.474444","-20.428611","1717","18",NA,NA,NA,NA,NA,NA,NA
"10","2020-03-12 10:29:23-03","UFOP","OUPR","35090","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","glazioviana","Microlicia glazioviana","Cogn.","Pira, J.C.","Pira, J.C.; Echternacht, L. & Rosa, R.M.S.","46","2019","03","07",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Platos no Pico do Itacolomi.","-43.474444","-20.428611","1717",NA,"Arbusto ca. 50-80cm, com flores róseas e estames róseos e calacar amarelo. Saxícola sob afloramentos rochosos",NA,NA,"2019","03","-43.474444","-20.428611","1717","07",NA,NA,NA,NA,NA,NA,NA
