"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","476181","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","arianeae","Ditassa arianeae","Fontella & E.A.Schwarz","S. C. de Sant'Ana","560","1994","09","06","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476181","NY00476181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:43-03","ESALQ","ESA","95838","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Ditassa","arianeae","Ditassa arianeae",NA,"Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","6160.0","2006","07","18",NA,"Brasil","Bahia","Canavieiras","Estrada entre Santa Luzia e Canavieiras, km 41. Nativo","-38.9472007751465","-15.6750001907349",NA,"Volúvel, flores creme","ESA095838","ESA095838","Rapini, A.","2008","-39,143,611","-15,529,167","48203","100","100","auto",NA,NA,NA,NA
"3","2020-04-27 16:08:34-03","UFES","VIES","7598","S","Plantae",NA,NA,"Apocynaceae","Ditassa","arianeae","Ditassa arianeae","Fontella","Pereira, O.J.","4606","1993","06","18",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual de Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES007598","VIES007598","Guarnier, J.C.","2019",NA,NA,"28401",NA,NA,"auto","08","01",NA,NA
"4","2019-10-07 09:13:17-03","UEFS","HUEFS","189387","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Ditassa","arianeae","Ditassa arianeae","Fontella & E.A.Schwarz","Silva, U.C.S","179","2012","09","02",NA,"Brasil","Bahia","Salvador","Dunas do Abaeté.","-38.356944","-12.944444",NA,"Vegetação de restinga.","HUEFS0189387","HUEFS0189387",NA,NA,"38W21'25''","12S56'40''",NA,"29","29",NA,NA,NA,"Asteranae",NA
"5","2019-10-07 09:13:17-03","UEFS","HUEFS","91560","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Ditassa","arianeae","Ditassa arianeae","Fontella & E.A.Schwarz","Cardoso, D.","185","2004","12","28",NA,"Brasil","Bahia","Tucano","Tucano de Fora. Buraco do Vento, ca. 6 km da cidade de Tucano.","-38.716667","-10.957778",NA,"Cerrado.","HUEFS0091560","HUEFS0091560","A.Rapini","2006","38W43'0''","10S57'28''",NA,"365","365",NA,"03",NA,"Asteranae",NA
"6","2019-10-07 09:13:17-03","UEFS","HUEFS","97683","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Ditassa","arianeae","Ditassa arianeae","Fontella & E.A.Schwarz","Stapf, M.N.S.","458","2005","06","17",NA,"Brasil","Bahia","Prado","3 Km N de Prado.","-39.225833","-17.314167",NA,"Restinga. Solo arenoso.","HUEFS0097683","HUEFS0097683","A.Rapini","2006","39W13'33''","17S18'51''",NA,"13","13",NA,"03",NA,"Asteranae",NA
"7","2020-07-23 11:58:23-03","CEPLAC","CEPEC","62334","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Ditassa","arianeae","Ditassa arianeae",NA,"S. C. de Sant'Ana","560","1953","11","08",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada Km 46 BA-001 Ilheus/Una.","-39.083333","-15.15",NA,NA,NA,NA,"A. M. Amorim",NA,"39W5'0","15S9'0",NA,NA,NA,NA,NA,NA,NA,"30/12/1994"
"8","2019-12-05 09:46:13-03","IBt","SP","394753","S","Plantae",NA,NA,"Apocynaceae","Ditassa","arianeae","Ditassa arianeae","Fontella & E.A.Schwarz","Stapf, MNS; et al.","458","2005","06","17",NA,"Brasil","Bahia","Prado",NA,"-39.225833","-17.314167",NA,NA,NA,NA,"Rapini, A","2006","-39.225833","-17.314167",NA,"13","13",NA,"03",NA,NA,NA
