"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","month","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","identifiedBy"
"1","2021-03-15 16:37:00-03","NY","NYBG","559733","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","rostulatiformis","Peperomia rostulatiformis","Yunck.","A. C. Brade","19398","South America","Brazil","Espírito Santo","Cachoeira de Itapemirim - Sto. Antonio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559733","NY00559733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","250596","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","rostulatiformis","Peperomia rostulatiformis","Yunck.","Collector unspecified","82222","South America","Brazil","Espírito Santo","Pedra Branca. Cult. no Jard. Bot.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250596","NY00250596_01","isotype","1951","08",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559734","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","rostulatiformis","Peperomia rostulatiformis","Yunck.","M. Kuhlmann","s.n.","South America","Brazil","São Paulo","Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559734","NY00559734_01",NA,"1955","12","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA
"4","2020-12-11 11:40:09-03","UFMG","BHCB","36397","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","rostulatiformis","Peperomia rostulatiformis","Yunck.","Brina, AE; Costa, LVC","s.n.","Southern America","Brasil","Minas Gerais","APA Carste de Lagoa Santa, Municípios de Lagoa Santa e Matozinhos.",NA,"MH.; Mata semidecídua.","BHCB008583","BHCB008583",NA,"1995",NA,"Matozinhos","-44.0814018249512","-19.5578002929688","2011","07","20503","auto",NA
"5","2019-11-21 10:14:15-03","IBt","SP","55653","S","Plantae",NA,NA,"Piperaceae","Peperomia","rostulatiformis","Peperomia rostulatiformis","Yunck.","Kuhlmann, M","s.n.",NA,"Brasil",NA,NA,NA,NA,"SP011017","SP011017",NA,"1955","12",NA,NA,NA,"1961",NA,NA,NA,"Yuncker, TG"
