"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","recordedBy","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","8606","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","isotype","1136","1923","10","30","South America","Brazil","Minas Gerais","Serra do Caparao.","1860","1860","sheet","This specimen's herbarium label also has the number herb. RB 1828 on it. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008606","NY00008606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:38:16-03","MBM","MBM","378613","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","ISOTYPE","1136","1923","10","30","Southern America","Brazil","Minas Gerais","Serra do Caparaó","1860","1860",NA,NA,"MBM378613","MBM378613","Campos Porto, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-01 15:28:29-03","PUC-RIO","FCAB","2031","PreservedSpecimen","Plantae",NA,"Angiospermae","Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"s.n.","1948","06",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Orquidário.","002031",NA,"P.E. Leite S.J.","F.J. Pabst","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:20-03","UFMG","BHCB","162280","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","Holotypus","1136","1923","10","30","Southern America","Brasil","Minas Gerais","Serra do Caparaó","1860","1860",NA,NA,"BHCB5533",NA,"Porto, PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","23422",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"7230","2004","11","01",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Epifita na meia sombra, pétalas e sépalas verdes amarronzadas, labelo vináceo escuro, face abaxial verde. Coluna verde amarelada.","MBML023422","MBML023422","L. Kollmann; et al","Eric C. Smidt/VIII-2007","Castelo","-41.100556","-20.519167",NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA
"6","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","24073",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"991","2004","11","01",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Epífita, umbrófila, flores com sépalas dorsal verdes, e laterais verdes arroxeadas, na parte ventral com base mais clara. Labelo vinho, ápice e nervura central vináceo.","MBML024073","MBML024073","A. P. Fontana; et al","Eric C. Smidt/VIII-2007","Castelo","-41.100556","-20.519167",NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA
"7","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","364",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"1449","1985","08","28",NA,"Brasil","Espírito Santo","Vargem Alta",NA,NA,NA,"Epífita sobre árvore caída na mata, inflorescência seca, sem flores, semi-sombra.","MBML000364","MBML000364","H. Q. Boudet Fernandes","Eric C. Smidt/VIII-2007","Santa Teresa","-40.65","-19.915556",NA,NA,"40W39'0","19S54'56",NA,NA,NA,NA
"8","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","38748",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"2375","2009","01","21",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande. Topo do Forninho. Inselbergues.","1500","1500",NA,"Erva epífita. Peseudobulbo amarelado. Lamina foliar verde. Flores com sépalas e pétalas amareladas, labelo de base amarela e ápice purpúreo, coluna branlo-amarelada.","MBML038748","MBML038748","C. N. de Fraga; R.Goldenberg & R.C.Forzza",NA,"Castelo","-41.100556","-20.520556",NA,NA,"41W6'2","20S31'14",NA,NA,NA,NA
"9","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","44591",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","ISOTIPO","1136","1923","10","30",NA,"Brasil","Minas Gerais","Serra do Caparaó, Serra da Boicana","1860","1860",NA,"Erva do brejo, flores roxa","MBML044591","MBML044591","P. Campos Porto","Eric C. Smidt/Agosto-2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","1499219","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"4041","1929","11","29","South America - Neotropics","Brazil","Espírito Santo",NA,"1540","1845",NA,NA,"US00503475","US00503475_01","Y. Mexia",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA
"11","2019-11-13 11:27:43-03","USP","SPF","150150","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","isotype","1136","1923","10","30",NA,"Brasil","Minas Gerais","Serra do Caparaó","1860","1860",NA,NA,"SPF00150150",NA,"Campos-Porto, P","Brade, AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-07 09:19:50-03","UEFS","HUEFS","184251","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"1136","1923","10","30",NA,"Brasil","Minas Gerais","Serra do Caparaó.","1860","1860",NA,NA,"HUEFS0184251","HUEFS0184251","Porto, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA
"13","2019-10-07 09:19:50-03","UEFS","HUEFS","199357","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade",NA,"790",NA,NA,NA,NA,"Brasil","Espírito Santo","Forno Grande",NA,NA,NA,NA,"HUEFS0199357","HUEFS0199357","Smidt, E.C.",NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA
"14","2019-10-07 09:19:50-03","UEFS","HUEFS","89670","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","Tipo","1828","1922","10","30",NA,"Brasil","Rio de Janeiro","Serra do Caparaó.","1860","1860",NA,NA,"HUEFS0089670",NA,"Porto, A.C.",NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA
"15","2020-07-23 12:17:08-03","CEPLAC","CEPEC","146003","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi",NA,"Isótipo","1136","1923","10","30",NA,"Brasil","Minas Gerais","Serra do Caparaó.",NA,NA,NA,NA,NA,NA,"P. C. Porto","P. C. Porto","Alto caparaó","-41.8683013916016","-20.4333000183105","21645","auto",NA,NA,NA,NA,NA,NA
"16","2019-11-21 10:12:55-03","IBt","SP","444440","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","campos-portoi","Bulbophyllum campos-portoi","Brade","Isotype","1136","1923","10","30",NA,"Brasil","Minas Gerais","Serra do Caparaó","1860","1860",NA,NA,"SP001859","SP001859","Campos Porto, P","Smidt, EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","08"
