"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","929969","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","A. Chautems","J. R. Pirani","2271","1988","02","14","South America","Brazil","Minas Gerais","Itacambira","Itacambira, 2 Km W da cidade, na Rodovia para Juramento, no alto da serra.","-43.3","-17.07","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929969","NY00929969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","929970","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","A. Chautems","H. S. Irwin","23668","1969","02","21","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, ca. 18 km west of Grão Mogol","-42.9909","-16.65775","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929970","NY00929970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:15-03","ESALQ","ESA","77736","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Sampaio, D.; Elias, S.I.; Araújo, A.O.; Romão, G.O.","28238.0","2002","02","23",NA,"Brasil","Minas Gerais","Itacambira","Estrada Itacambira - Juramento, ca. 15 km de Itacambira. Campo rupestre. 1200 m.s.m.","-432.039","-165.917","1200","1200",NA,"Subarbusto, ca. 1,5 m alt.; corola verde-clara com poucas pequenas pintas arroxeadas.","ESA077736","ESA077736","2002","09","30","-432,039","-165,917",NA,NA,NA,NA,NA
"4","2020-11-04 11:11:15-03","ESALQ","ESA","49652","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A.","Roque, N. et al.",NA,"1994","03","12",NA,"Brasil","Bahia","Caetité",NA,"-42.4749984741211","-14.0693998336792",NA,NA,NA,NA,"ESA049652",NA,NA,NA,NA,NA,NA,"53684","auto",NA,NA,NA
"5","2020-11-04 11:11:15-03","ESALQ","ESA","21584","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Sakuragui, C.M. et al.",NA,"1994","03","17",NA,"Brasil","Minas Gerais","Mato Verde",NA,"-42.8664016723633","-15.3971996307373",NA,NA,NA,NA,"ESA021584",NA,NA,NA,NA,NA,NA,"24219","auto",NA,NA,NA
"6","2020-11-04 11:11:15-03","ESALQ","ESA","77682","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Araújo, A.O.; Romão, G.O.; Elias, S.I.; Sampaio, D.","28184.0","2002","02","22",NA,"Brasil","Minas Gerais","Itacambira","Estrada Itacambira - Juramento, ca. 2 km de Itacambira. Campo rupestre. 1300 m.s.m.","-43.3088989257812","-17.0646991729736","1300","1300",NA,"Subarbusto, ca. 1,2 m alt.; botões verdes.","ESA077682","ESA077682","2002","09","30",NA,NA,"48089","auto",NA,NA,NA
"7","2020-11-04 11:11:15-03","ESALQ","ESA","77777","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Sampaio, D.; Elias, S.I.; Araújo, A.O.; Romão, G.O.","28279.0","2002","02","23",NA,"Brasil","Minas Gerais","Itacambira","Estrada Itacambira - Juramento, ca. 9 km de Itacambira. Campo rupestre. 1200 m.s.m.","-432.058","-170.245",NA,NA,NA,"Subarbusto, ca. 1,5 m alt.; corola verde-clara com pintas e linhas internamente.","ESA077777","ESA077777","2003","01","24","-432,058","-170,245",NA,NA,NA,NA,NA
"8","2020-11-04 11:11:15-03","ESALQ","ESA","20474","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Miyagi, P.H.; Souza, J.P.","8381.0","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,"-43.3067016601562","-18.465799331665","800","800",NA,NA,"ESA020474",NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA
"9","2020-11-04 11:11:15-03","ESALQ","ESA","41219","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21038.0","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA041219",NA,"2003","02","12",NA,NA,"19014","auto",NA,NA,NA
"10","2020-11-04 11:11:15-03","ESALQ","ESA","73927","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.; Elias, S.I.","25676.0","2001","07","11",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada Grão Mogol - Cristália, ca. 6 km de Grão Mogol. 16o35'47S, 42o54'05W. Campo rupestre com elementos de caatinga.","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Erva robusta, ca. 1,5 m alt.; frutos castanhos. Quase sem folhas. Entre rochas.","ESA073927","ESA073927","2002","09","30",NA,NA,"67219","auto",NA,NA,NA
"11","2020-11-04 11:11:15-03","ESALQ","ESA","77740","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Sampaio, D.; Elias, S.I.; Araújo, A.O.; Romão, G.O.","28242.0","2002","02","23",NA,"Brasil","Minas Gerais","Itacambira","Estrada Itacambira - Juramento, ca. 15 km de Itacambira. Campo rupestre. 1200 m.s.m.","-432.039","-165.917","1200","1200",NA,"Subarbusto, ca. 1,5 m alt.; corola verde-clara com tubo e lobos internamente com muitas pintas e linhas arroxeadas.","ESA077740","ESA077740",NA,NA,NA,"-432,039","-165,917",NA,NA,NA,NA,NA
"12","2020-11-04 11:11:15-03","ESALQ","ESA","81942","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Mazine, F.F. Araújo, A.O.; Duarte, A.R.; Tsuji, R.","542.0","2002","11","08",NA,"Brasil","Minas Gerais","Itacambira","Morro da antena - Beira de estrada - Cerrado. 1250 m.s.m.","-431.842","-170.448","1250","1250",NA,"Arbusto 1-2m, margem das folhas avermelhadas, frutos secos marrons. Entre rochas.","ESA081942","ESA081942",NA,NA,NA,"-431,842","-170,448",NA,NA,NA,NA,NA
"13","2020-11-04 11:11:15-03","ESALQ","ESA","71432","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Menezes, N.L. et al.",NA,"1986","02","24",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"ESA071432","ESA071432",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"14","2020-11-04 11:11:15-03","ESALQ","ESA","74022","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, A.O.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.; Elias, S.I.","25771.0","2001","07","12",NA,"Brasil","Minas Gerais","Cristália","Morro da Antena de Televisão. 16o43'28S, 42o55'42W. 1200 m.s.m. Afloramento rochoso com cerrado adjacente.","-42.8622016906738","-16.8003005981445","1200","1200",NA,"Erva robusta, ca. 1,2 m alt.; frutos castanhos. Entre rochas.","ESA074022","ESA074022_1 ESA074022_2",NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA
"15","2015-07-02 14:42:34-03","JBP","HPL","12536","S","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii",NA,"H. Lorenzi","H. Lorenzi","7117","2011","05","08",NA,"Brasil","MG","Grão Mogol","Coletado no alto da trilha do Tropeiro/Serra de Grão Mogol, em campo pedregoso; planta em cultivo no Jardim Botânico Plantarum.","-42.898778","-16.55275",NA,NA,NA,NA,NA,NA,"2011","05","08","42° 53' 55,6 W","16° 33' 09,9 S",NA,NA,NA,NA,NA
"16","2019-11-21 14:37:24-03","UFJF","CESJ","65234","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","A. Chautems","V.A.O. Dittrich; T.C. Novais","1659","2010","04","24","América do Sul","Brasil","Bahia","Jacaraci","Morro do Chapéu, Altitude aproximada","-42.4333000183105","-14.8496999740601","1250","1250",NA,"Subarbusto de aproximadamente 1,8m de altura em campo rupestre. Corola cor-de-creme com máculas e linhas violáceas na fauce. Entre as coordenadas geográficas de 14 53'27 e 14 53'40S e 42 30'51 e 42 31'11W.","CESJ065234",NA,"2010","04",NA,NA,NA,"45644","auto",NA,NA,NA
"17","2019-08-20 10:15:43-03","UNICAMP","UEC","45843","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Menezes, NL; Cavalcanti, TB; Semir, J; Mello-Silva, R","42825","1986","02","24",NA,"Brazil","Minas Gerais","Grão Mogol","Margens do Córrego à saída da cidade na estrada para o Rio Ventania.","-43.3","-16.6","900","1000",NA,"flor, Planta de até 1,5 m de altura crescendo entre grandes rochas. Flores creme, face interna do tubo com estrias e pintas roxas. Botões verdes.","UEC135220","UEC135220","1990",NA,NA,"-43.3","-16.6",NA,NA,NA,NA,NA
"18","2020-12-21 16:29:07-03","MBM","MBM","125572","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","52111",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Grão Mogol, subida para Pasto","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM125572","MBM125572",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"19","2020-12-21 16:29:07-03","MBM","MBM","125569","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","52103",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Grão Mogol, subida para Pasto","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM125569","MBM125569",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"20","2020-12-21 16:29:07-03","MBM","MBM","59720","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A.","Hatschbach, G.","41285",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM059720","MBM059720",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"21","2020-12-21 16:29:07-03","MBM","MBM","57972","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A.","Hatschbach, G.","42883",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Serra do Pipiri","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM057972","MBM057972",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"22","2020-12-21 16:29:07-03","MBM","MBM","149586","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Skog, L.E.","Hatschbach, G.; Hatschbach, M.; Guimarães, D.; Hatschbach, M.; Guimarães, D.","54263",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Trilha dos Garimpeiros","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM149586","MBM149586",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"23","2020-12-21 16:29:07-03","MBM","MBM","23522","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araujo, A.O.","Hatschbach, G.","30098",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico Itambé","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"MBM023522","MBM023522",NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA
"24","2020-12-11 11:36:42-03","UFMG","BHCB","48994","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:36:42-03","UFMG","BHCB","50861","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
