"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","typeStatus","infraspecificEpithet","individualCount","fieldNumber","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-04-05 14:34:11-03","UNESC","CRI","11033","PreservedSpecimen","Plantae","Solanaceae","Solanum","arenarium","Solanum arenarium","Sendtn.","Renato Colares","2015","06","09","Vanilde C. Zanette","2012","05","06","Brasil","Santa Catarina","Sombrio","Morro dos Macacos.","-49.616944","-29.114444","49º37'1''W","29º6'52''S","17","17","CRI007473","CRI007473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00708539","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. H. Nee",NA,NA,NA,"O. L. Haught","1944","11","25","Colombia","Magdalena",NA,"Near Riohacha",NA,NA,NA,NA,"20","20","NY00708539","NY00708539_01","Magnoliophyta","Solanales","4458","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844817' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","781398","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. de F. Agra",NA,NA,NA,"M. de F. Agra","1993","03","24","Brazil","Paraíba","Itaporanga","Serra Agua Branca.","-38.1503","-7.3044",NA,NA,NA,NA,"NY00781398","NY00781398_01","Magnoliophyta","Solanales","1721","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98486' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00708538","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. H. Nee",NA,NA,NA,"A. L. Bernardi",NA,NA,NA,"Venezuela","Mérida",NA,NA,NA,NA,NA,NA,NA,NA,"NY00708538","NY00708538_01","Magnoliophyta","Solanales","2489","South America","sheet","[Collection number is unclear: 4 in 2489 appears inverted; could be 21189. 2489 is written in pencil above label] Gentlemen: This specimen has no duplicate..[See label for additional information] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844811' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00701457","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. H. Nee",NA,NA,NA,"G. Eiten","1970","01","02","Brazil","Tocantins","Araguaína","At Acampamento do Gaucho on Belém-Brasília highway ca. 2 km SW of city of Araguaína","-48.23","-7.2",NA,NA,NA,NA,"NY00701457","NY00701457_01","Magnoliophyta","Solanales","10148","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840741' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00701458","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. H. Nee",NA,NA,NA,"H. S. Irwin","1968","03","15","Brazil","Tocantins","Araguaína","Ca. 1km S. of Araguaína, at Rio das Lontras","-48.18","-7.22",NA,NA,"300","300","NY00701458","NY00701458_01","Magnoliophyta","Solanales","21231","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840742' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00708535","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.",NA,NA,NA,NA,"M. H. Nee","1979","08","04","Venezuela","Monagas",NA,"15 km. S of Maturin, vic. Balneario Mapirito",NA,NA,NA,NA,"50","50","NY00708535","NY00708535_01","Magnoliophyta","Solanales","17164","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844799' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00701455","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. H. Nee",NA,NA,NA,"T. C. Plowman","1980","02","04","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho","-48.6008","-8.5006",NA,NA,"400","500","NY00701455","NY00701455_01","Magnoliophyta","Solanales","8394","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840739' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00708536","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","M. H. Nee",NA,NA,NA,"H. F. Pittier","1922","10","17","Venezuela","Zulia",NA,"Road from Maracaibo to Machiques",NA,NA,NA,NA,NA,NA,"NY00708536","NY00708536_01","Magnoliophyta","Solanales","10540","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844800' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01806093","PreservedSpecimen","Plantae","Solanaceae","Solanum","agrarium","Solanum agrarium","Sendtn.","L.A. Gomes",NA,NA,NA,"A. P. do N. Prata","2011","08","09","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4069","-11.4014",NA,NA,NA,NA,"NY01806093","NY01806093_01","Magnoliophyta","Solanales","2695","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129804' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
