"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","561649","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","A. F. M. Glaziou","1200S","1880","02","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561649","NY00561649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","561647","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","G. G. Hatschbach","41780","1978","12","14","South America","Brazil","Paraná","Antonina","Rio Pequeno","-48.7117","-25.4286","sheet","Xiloteca. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561647","NY00561647_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1016109","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","G. G. Hatschbach","20886","1969","01","23","South America","Brazil","Paraná","Morretes","Col. Floresta.","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016109","NY01016109_01","G. G. Hatschbach","20","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","561650","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","A. F. M. Glaziou","1200S","1880","02","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561650","NY00561650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561648","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","R. Reitz","1957","1954","07","17","South America","Brazil","Santa Catarina","Luis Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561648","NY00561648_01","C. M. D. E. Legrand","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561646","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","B. D. Sucre","8184","1972","01","04","South America","Brazil","Rio de Janeiro",NA,"Morro de Taquara da Tijuca.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561646","NY00561646_01","G. M. Barroso","680","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-05-17 10:20:00-03","NY","NYBG","02695797","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes",NA,"M. V. Peron","925","1992","02","07","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Trilha para Mariquitas.","-42.833333","-22.433333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2983374' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695797","NY02695797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:20-03","UFRJ","RFA","19913","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","G.G. Hatschbach","41780","1978","12","14",NA,"Brasil","Paraná","Antonina","Rio Pequeno","-48.7118988037109","-25.4286003112793",NA,"Árvore 8 m de altura; flores alvas, xiloteca","RFA16708",NA,"G.G. Hatschbach",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:20-03","UFRJ","RFA","9390","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","G.G. Hatschbach","17191","1967","09","13",NA,"Brasil","Paraná","Antonina","Rio do Cedro","-48.7118988037109","-25.4286003112793",NA,"Árvore 10 m de altura; fruto vermelho, margens do rio","RFA28047",NA,"D. Legrand",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:20-03","UFRJ","RFA","12342","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Calyptranthes","strigipes","Calyptranthes strigipes","O.Berg","G.G. Hatschbach; C. Koczicki","20886","1969","01","23",NA,"Brasil","Paraná","Morretes","Col. Floresta","-48.834400177002","-25.476900100708",NA,"Arvoreta 10 m de altura; tronco 18 cm diâmetro","RFA11607",NA,"G.G. Hatschbach","20","20","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
