"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","typeStatus","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801339","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","F. França","4586","2003","02","18","South America","Brazil","Minas Gerais","Conceição do Mato Dentro","Serra da Ferrugem.","-43.4067","-19.0492","1040","1075","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020311' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801339","NY01801339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907035","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","(Miq.) O.Berg","R. de Lemos Fróes","11732","1939","02",NA,"South America","Brazil","Maranhão","São Luís","Island of São Luiz.","-44.201115","-2.577323",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907035","NY00907035_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885359","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","S. A. Mori","13809","1981","04","29","South America","Brazil","Bahia","Una","Maruim, border of the Fazenda Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 30-C.","-39.1202492","-15.1148921","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885359","NY00885359_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907029","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","H. S. Irwin","28736","1971","01","19","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, middle and upper slopes, south side of Serra da Piedade, ca. 5 km N. of Caeté","-43.67613","-19.82237","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907029","NY00907029_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907037","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","R. C. de Mendonça","338","1984","03","15","South America","Brazil","Distrito Federal","Brasília","Altos do Ribeirao Papuda","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907037","NY00907037_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907026","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","E. P. Heringer","5998","1981","01","19","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907026","NY00907026_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1182715","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","J. R. Pirani","2676","1993","01","26","South America","Brazil","Alagoas","Penedo","Povoado de Marituba, Restinga a 600 m do Povoado na Estrada de Piacabuçu para Penedo.","-36.5","-10.3","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408163' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182715","NY01182715_01","M. L. Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00906968","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","H. S. Irwin","12295","1966","02","05","South America","Brazil","Distrito Federal","Brasília","Fazenda Vargem Bonita, ca. 10 km S. of Brasília","-47.9167","-15.87367","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906968","NY00906968_01","C. M. D. E. Legrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00906974","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","H. S. Irwin","20874","1968","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 21 km N. of Sêrro on road (MG 2) to Diamantina.","-43.58","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906974","NY00906974_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907008","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O.Berg","E. P. Heringer","4279","1980","04","08","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907008","NY00907008_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
