"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","locality","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-04-05 14:34:14-03","UNESC","CRI","1493","PreservedSpecimen","Plantae","Theaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","R. R. B. Negrelle","1993","06","20","R. R. B. Negrelle","1993","01","20","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI007577","CRI007577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","8320","PreservedSpecimen","Plantae","Theaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","Vanilde Citadini-Zanette","2010",NA,NA,"Rafal Martins","2009","11","09","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI007580","CRI007580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:14-03","UNESC","CRI","5025","PreservedSpecimen","Plantae","Theaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","-48.950278","-28.460556","48º57'1''W","28º27'38''S","CRI007582","CRI007582","2178","14","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:11-03","UNESC","CRI","3119","PreservedSpecimen","Plantae","Theaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","Marcos Sobral",NA,NA,NA,"Robson dos Santos; Raquel Rejane Bonatto Negrelle","1993","12","21","Brasil","Santa Catarina","Itapoá","-48.65","-26.15","48º39'W","26º9'S","CRI007578","CRI007578","55","5","5","Reserva Volta Velha (Bairro Itapema Norte).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:14-03","UNESC","CRI","10552","PreservedSpecimen","Plantae","Theaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","M. Verdi",NA,NA,NA,"M. Verdi; Luciana Mancini","2011","09","01","Brasil","Santa Catarina","Balneário Arroio do Silva","-49.413056","-28.984444","49º24'47''W","28º59'4''S","CRI007579","CRI007579","9","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:18-03","E","E","254946","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis",NA,NA,NA,NA,NA,"Harley, Raymond M.","1988","10","20","BR","Minas Gerais",NA,NA,NA,NA,NA,"E00254946",NA,"25257",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:315935","<a href=http://data.rbge.org.uk/herb/E00254946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:18-03","E","E","104964","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis",NA,NA,NA,NA,NA,"Gottsberger, I.S. & Gottsberger, G.K.","1975","12","13","BR",NA,NA,NA,NA,NA,NA,"E00104964",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114678","<a href=http://data.rbge.org.uk/herb/E00104964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01081157","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","L. B. Smith",NA,NA,NA,"R. M. Klein","1953","03","05","Brazil","Santa Catarina",NA,"-48.644872","-26.946812",NA,NA,"NY01081157",NA,"371","5","5","Praia Braba, Itajaí","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220860' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1281127","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","S. M. Silva",NA,NA,NA,"S. F. Athayde","1991","11",NA,"Brazil","Paraná","Paranaguá","-48.3","-25.5",NA,NA,"NY01281127",NA,"4",NA,NA,"Ilha do Mel","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1676945' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1183530","PreservedSpecimen","Plantae","Pentaphylacaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","Cambess.","M. A. Nadruz Coelho",NA,NA,NA,"C. Farney","1985","05","08","Brazil","Rio de Janeiro","Saquarema","-42.5103","-22.9203",NA,NA,"NY01183530",NA,"700",NA,NA,"Restinga de Itaúna.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447170' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA
