"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","preparationType","barcode","imagecode","typeStatus","class","fieldNumber"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2813","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","aff. patens","Vellozia aff. patens","L.B.Sm. & Ayensu","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1224","2013","09","09","Brasil","Minas Gerais","Catas Altas","Pico do Inficcionados, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 07' 59S","43º 27' 55W","11966","1767","1767","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2493","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","29","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas,Base do Pico Por do Sol.","-43.7144012451172","-19.1688995361328","19º 01' 33S","43º 43' 12W","26557","1323","1323","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2943","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Daniela Zappi","2011","02","15","Carlos Alberto F. Jr.;",NA,"2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés",NA,NA,"43°45.512'","18°57.272'",NA,"1272","1272","254",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2940","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Daniela Zappi","2011","02","15","Carlos Alberto F. Jr.;",NA,"2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés",NA,NA,"43°45.536'","18°57.119'",NA,"1288","1288","254",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3022","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Daniela Zappi","2011","02","15","Carlos Alberto F. Jr.;",NA,"2010","03","11","Brasil","Minas Gerais","Santana do Riacho","Área do Sr. João Carrinho e D. Maria Geralda","-43.7144012451172","-19.1688995361328","43°44.039'","19°02.658'","26557","1192","1192","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4441","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,"Carlos Alberto Ferreira Júnior","2018","07","15","Carlos Alberto Ferreira Junior; Lucas Assis e Kelen Soares","CAF1681","2018","07","15","Brasil","MG","Santana do Riacho","Serra do Cipó, próximo ao Juquinha","-43.7144012451172","-19.1688995361328","43°33'34","19°16'34","26557","1106","1106","254","auto","2",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","899005","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","L. B. Smith; E. S. Ayensu",NA,NA,NA,"H. S. Irwin","28288","1970","03","24","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada","-43.7833","-18.0833",NA,NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978772' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00899005","NY00899005_01",NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","248031","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"H. S. Irwin","20017","1968","02","14","Brazil","Minas Gerais",NA,"Sera do Espinhaço. Serra do Cipó, ca. km 120 (ca. 145 km N of Belo Horizonte).","-43.4","-18.87",NA,NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278078' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00248031","NY00248031_01","isotype",NA,NA
"9","2020-02-08 10:09:44-03","NBC","NL-BOTANY","WAG.1189186","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Hatschbach GG; Koczicki C",NA,"1974","10","27","Brazil",NA,NA,"Rio Santo Antonio (mun. Conceicao Mato Dentro) M. Gerais.",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1189186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1189186","NL-WAG1189186",NA,"Magnoliopsidae",NA
"10","2021-01-15 14:42:37-03","MN","R","105934","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Mello-Silva, R.","1986","06","20","Vidal, J.","IV - 1240","1954","12",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010058624,R010058709,R010058704","R010058624 R010058704 R010058709",NA,NA,NA
