"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","typeStatus","individualCount","class","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2469","S","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","28","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas,","-43.7144012451172","-19.1688995361328","19º 02' 58S","43º 42' 34W","26557","1297","1297","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2470","S","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","28","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas,","-43.7144012451172","-19.1688995361328","19º 02' 58S","43º 42' 34W","26557","1297","1297","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","945196","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","28783","1972","01","17","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó.","-43.539757","-19.388386",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016788' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00945196","NY00945196_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","945197","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","L. B. Smith",NA,NA,NA,"Restinga I","1205","1953",NA,NA,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó.","-43.539757","-19.388386",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016799' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00945197","NY00945197_01",NA,NA,NA,NA,NA
"5","2021-03-30 12:43:07-03","EAO","IAN","107598","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson",NA,NA,NA,NA,"Magalhães, MG","6012","1951","04","05","Brasil","Minas Gerais",NA,"Campo arenoso, serra Cipó, km 136 Conceição.",NA,NA,NA,NA,NA,NA,NA,"0,10-0,15m de altura, frequência regular.",NA,"Southern America",NA,"IAN107598",NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:44:29-02","IPA","IPA","2124","S","Plantae","Plantae",NA,"Loganiaceae","Spigelia","stenocardia","Spigelia stenocardia","(Standl.) Fern. Casas","Alcântara, H.","2012","03","08","Andrade-Lima","51-873","1951","01","16","Brasil","Minas Gerais",NA,"Serra do Cipó, Campos Alpinos.",NA,NA,NA,NA,NA,NA,NA,"Erva sobre rochas à beira da estrada. Flores róseas-escura.",NA,"Southern America",NA,"IPA0002124","IPA0002124",NA,NA,NA,NA,NA
"7","2021-03-01 16:32:58-03","UNICAMP","UEC","124765","S","Plantae","Magnoliopsida",NA,"Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","Brandão, EKS","2016","03","22","Meireles, LD; Mansanares, ME; Verola, CF; Azevedo, MT","936","2002","03","03","Brazil","Minas Gerais","Diamantina","Cadeia do Espinhaço - Estrada para Conselheiro Mata.","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,"Erva, flores magentas, no campo pedregoso.","auto",NA,NA,"UEC061684","UEC061684",NA,NA,NA,NA,NA
"8","2021-03-01 16:32:58-03","UNICAMP","UEC","9321","S","Plantae","Magnoliopsida",NA,"Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","Zappi, DC",NA,NA,NA,"Joly, AB; Semir, J; Joly, AM; Martins, F","2392","1972","05","29","Brazil","Minas Gerais","Jaboticatubas","Km 124 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"Altura 15 cm. Flor rosada-lilás.","auto",NA,NA,"UEC045949","UEC045949",NA,NA,NA,NA,NA
"9","2020-12-21 16:31:45-03","MBM","MBM","121215","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","Zappi, D.C.",NA,NA,NA,"Zappi, D.C.; et al.; et al.","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Santana do Riacho","Km 114, ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto","Southern America",NA,"MBM121215","MBM121215",NA,NA,NA,NA,NA
"10","2020-12-21 16:31:45-03","MBM","MBM","63403","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Spigelia","aceifolia","Spigelia aceifolia","Woodson","Hurley, H.H.",NA,NA,NA,"Irwin, H.S.; et al.; et al.","20123",NA,NA,NA,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,NA,"auto","Southern America",NA,"MBM063403","MBM063403",NA,NA,NA,NA,NA
