"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:39:33-03","E","E","312562","PreservedSpecimen","Plantae","Gramineae","Ctenium","brevispicatum","Ctenium brevispicatum","Pirani, J.R.; Stannard, B.; McRobb, A.","51302","1992","01","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313525","<a href=http://data.rbge.org.uk/herb/E00312562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:33-03","E","E","312559","PreservedSpecimen","Plantae","Gramineae","Ctenium","brevispicatum","Ctenium brevispicatum","Harley, R.M.; Giulietti, A.M.; Fierro, A.F.","51255","1992","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313521","<a href=http://data.rbge.org.uk/herb/E00312559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 20:56:00-03","NY","NYBG","00861951","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","A. F. M. Glaziou","16552","1886","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861951","Magnoliophyta","Poales","H. M. Longhi-Wagner","Minas Gerais","São João del Rei","Sao Joao d'El Rei","-44.2617","-21.1358","NY00861951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","652452","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","G. Jönsson","1340a","1914","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652452","Magnoliophyta","Poales","P. A. Young","Paraná","Ponta Grossa","Villa Velha","-50.1617","-25.095","NY00652452_01","J.G.Sm.","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00861949","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","H. S. Irwin","9003","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861949","Magnoliophyta","Poales","H. M. Longhi-Wagner","Distrito Federal","Brasília","3 km S. of Sobradinho","-47.8167","-15.66041","NY00861949_01","J.G.Sm.","1075","1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00861950","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","H. S. Irwin","8176","1965","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861950","Magnoliophyta","Poales","H. M. Longhi-Wagner","Distrito Federal","Brasília","Chapada da Contagem, ca. 10 km N. E. of Brasília","-47.85071","-15.7194","NY00861950_01","J.G.Sm.","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","652510","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","M. das G. L. Wanderley","1079","1988","09","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652510","Magnoliophyta","Poales","G. Davidse","Mato Grosso",NA,"Chapada Guimaraes, vicinity big waterfall (Veu das Noivas)",NA,NA,"NY00652510_01","J.G.Sm.","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 14:13:00-02","NY","NYBG","652455","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","A. F. M. Glaziou","16552",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652455","Magnoliophyta","Poales","J. L. Bruner","Minas Gerais","São João del Rei","Sao Joao [J. El Orei?]","-44.2617","-21.1358","NY00652455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00861925","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","H. S. Irwin","9328","1965","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861925","Magnoliophyta","Poales","J. L. Bruner","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km N.W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.59528","-14.04001","NY00861925_01","J.G.Sm.","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00861976","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","G. G. Hatschbach","27963","1971","11","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861976","Magnoliophyta","Poales","H. M. Longhi-Wagner","Minas Gerais","Datas","Rod Br 259","-43.6556","-18.4458","NY00861976_01","J.G.Sm.","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-11-01 14:13:00-02","NY","NYBG","652511","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","M. Dupré","s.n.","1842",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652511","Magnoliophyta","Poales","H. M. Longhi-Wagner",NA,NA,"Brésil Méridional",NA,NA,"NY00652511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","652453","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652453","Magnoliophyta","Poales","P. A. Young",NA,NA,"Brasilia",NA,NA,"NY00652453_01","J.G.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00861978","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","W. R. Anderson","36267","1972","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861978","Magnoliophyta","Poales","J. L. Bruner","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó",NA,NA,"NY00861978_01","J.G.Sm.","1125","1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","630653","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","R. M. Harley","51302","1992","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630653","Magnoliophyta","Poales","S. A. Renvoize","Bahia","Abaíra","Cachoeira das Anáguas","-41.88","-13.27","NY00630653_01","J.G.Sm.","1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00861952","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","M. A. Chase","10425","1929","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861952","Magnoliophyta","Poales","H. M. Longhi-Wagner","Minas Gerais","Diamantina","5-10 km. west of Diamantina, Serra de San Antonio","-43.6003","-18.2494","NY00861952_01","J.G.Sm.","1300","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00861977","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861977","Magnoliophyta","Poales","H. M. Longhi-Wagner",NA,NA,"Brasilia",NA,NA,"NY00861977_01","J.G.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00861953","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","A. F. M. Glaziou","22430","1896",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861953","Magnoliophyta","Poales","J. L. Bruner","Goiás",NA,"Brazil: Chiefly Province of Goyaz",NA,NA,"NY00861953_01","J.G.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00861948","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","H. S. Irwin","11994","1966","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861948","Magnoliophyta","Poales","J. L. Bruner","Goiás","Mossâmedes","Serra Dourada, lower slopes of Serra Dourada, ca. 30 km S. of Goiás Velho","-49.85311","-15.9333","NY00861948_01","J.G.Sm.","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","652454","PreservedSpecimen","Plantae","Poaceae","Ctenium","brevispicatum","Ctenium brevispicatum","R. M. Harley","H51255","1992","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652454","Magnoliophyta","Poales","S. A. Renvoize","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara","-41.92","-13.25","NY00652454_01","J.G.Sm.","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
