"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","778259","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S.Green","L. Rossi","R. Simão-Bianchini","1386","2000","09","07","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Trilha do Jequetibá","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778259","NY00778259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","38240","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Oleaceae","Linociera","subsessilis","Linociera subsessilis","Eichler",NA,"J. E. B. Warming",NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","Com. ipse 1870 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=457171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038240","NY00038240_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:37:58-03","MBM","MBM","210139","PreservedSpecimen","Plantae",NA,NA,"Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S. Green","Green, P.S.","Andrade, P.M.; et al.; et al.","419",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,"MBM210139","MBM210139",NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:37:56-03","MBM","MBM","416898","PreservedSpecimen","Plantae",NA,NA,"Olacaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S. Green","Roher, D.","Ariati, V.; Roher, D.; Dutra, M.M.; Serejo, S.; Roher, D.; Dutra, M.M.; Serejo, S.","1565","2018","08","01","Southern America","Brazil","São Paulo","São Vicente","Estrada Férrea da Serra do Mar","-46.3899993896484","-23.9599990844727",NA,"Árvore, 6 m, frutos imaturos.; Floresta Ombrófila Densa Submontana.","MBM416898","MBM416898",NA,"25482","auto","2018","08","08","200","200",NA,NA,NA,NA
"5","2015-09-04 11:39:09-03","MNHN","RECOLNAT_MNHN_P","P03384244","PreservedSpecimen",NA,NA,NA,"Oleaceae","Linociera","subsessilis","Linociera subsessilis","Eichler",NA,"Glaziou",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","Donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03384244' target='other'> <mi>dwc_moreinfo</mi></a>","P03384244","P03384244_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:39:49-03","UFMG","BHCB","175389","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S.Green",NA,"Moreira, NC; Stehmann, JR","175","2015","01","23","Southern America","Brasil","Minas Gerais","Lagoa Santa","Gruta da Lapinha, Salão dos Bigodes.","-43.958333","-19.559444",NA,"Árvore, cerca de 6 metros de altura, folhas opostas.; Floresta estacional semidecídua, vale com solo em afloramento calcáreo.","BHCB035491",NA,NA,NA,NA,"2018",NA,NA,"718","718","-43.958333","-19.559444",NA,NA
"7","2020-12-11 11:39:49-03","UFMG","BHCB","68492","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S.Green",NA,"Magalhães, GM","5760","1943","09","07","Southern America","Brasil","Minas Gerais","Governador Valadares",NA,"-41.9494018554688","-18.8511009216309",NA,"Árvore, 4m, flor verde; Mata","BHCB034564",NA,NA,"50833","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:39:49-03","UFMG","BHCB","11418","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S.Green",NA,"Andrade, IR","251","1987","11","01","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,"Arbórea, 7 metros, botões esverdeados; Mata Atlântica","BHCB044311",NA,NA,"49886","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:39:49-03","UFMG","BHCB","75336","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S.Green",NA,"Couto, FR","95","2002","10","09","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Mata do Jaó.","-42.1391983032227","-19.7896995544434",NA,"Árvore; Mata atlântica","BHCB034562",NA,NA,"49886","auto","2015","09",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:39:49-03","UFMG","BHCB","7748","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oleaceae","Chionanthus","subsessilis","Chionanthus subsessilis","(Eichler) P.S.Green",NA,"Andrade, PM de; Lopes, MA","344","1984","09","23","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Matão.","-42.1391983032227","-19.7896995544434",NA,"Árvore, flores verde-amareladas; cheirosas; c/ fruto verde&nf;; Mata atlântica","BHCB034563",NA,NA,"49886","auto","2019",NA,NA,NA,NA,NA,NA,NA,NA
