"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","year","month","day","locality","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","infraspecificEpithet","typeStatus","preparationType"
"1","2021-04-08 17:42:19-03","EAO","IAN","41523","PreservedSpecimen","Plantae","Dicotiledônea","Linaceae","Linum","erigeroides","Linum erigeroides","A.St.-Hil.","Saint-Hilaire","s.n.","Southern America","Uruguai","IAN041523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:54:34-03","NBC","NL-BOTANY","L.2017068","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A.St.-Hil.","Lorentz PG",NA,"Southern America","Uruguay","NL-L2017068","Magnoliopsidae","Malpighiales","1878","11","27","Cncepcion del Uruguay.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2017068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2017068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:54:34-03","NBC","NL-BOTANY","L.2017069","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A.St.-Hil.","Pedersen TM",NA,"Southern America","Argentina","NL-L2017069","Magnoliopsidae","Malpighiales","1961","10","23","Estancia 'Buena Esperanza', Dep. Federación, Prov. Entre Rios.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2017069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2017069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:54:34-03","NBC","NL-BOTANY","U.1365855","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A.St.-Hil.","Lindeman JC; Haas JH de",NA,"Southern America","Brazil","NL-U1365855","Magnoliopsidae","Malpighiales","1966","10","23","Brasiliae australis, Est. Parana, by road BR 2, 262 km SW of S, Paulo.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1365855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1365855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:45:23-03","UFMS","CGMS","58652","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A. St.-Hil.","V.J. Pott; E. Scremin-Dias; A. Pott","8520",NA,"Brasil","CGMS1088568",NA,NA,"2005","12","11","Fazenda São Pascoal.","Flor amarela. Fruto verde, imaturo. Habitat: Brejo de campo graminoso com capim-navalha (Cladium jamaicense). Solo argiloso com matéria orgânica. Relevo plano. Frequente. Habito: Erva ereta anfíbia, 60-70cm de altura.",NA,"A. Pott; V.J. Pott","2006","08","01","Mato Grosso do Sul","Porto Murtinho","-56.8147222","-21.0988889","-56,8147222","-21,0988889","530","530",NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:45:23-03","UFMS","CGMS","58653","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A. St.-Hil.","V.J. Pott; E. Scremin-Dias; A. Pott","8510",NA,"Brasil","CGMS1088569",NA,NA,"2005","12","10","Fazenda Princezinha, cerca de 6Km da sede, no vale do Banhado Rio Perdido, entorno do Parque Nacional da Serra da Bodoquena.","Flor amarela. Habitat: Banhado, bebedouro de gado ao longo do capim navalha. Solo argiloso de origem calcária. Relevo plano. Ocasional. Habito: Erva ereta, anfíbia 50-60cm de altura.",NA,"A. Pott; V.J. Pott","2006","07","30","Mato Grosso do Sul","Bonito","-56.8416666","-21.0486111","-56,8416666","-21,0486111","555","555",NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:45:23-03","UFMS","CGMS","58651","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A. St.-Hil.","V.J. Pott; E. Scremin-Dias; A. Pott","8154",NA,"Brasil","CGMS1088567",NA,NA,"2005","09","07","Fazenda Laudejá, divisa com Fazenda São Pascoal, cerca de 10Km N da Fazenda Harmonia.","Flor amarela. Habitat: Brejo de Cladium jamaicense (capim-navalha). Solo hidromórfico de origem calcária. Relevo plano. Ocasional. Habito: Erva aquática anfíbia, 50-70cm de altura.",NA,"V.J. Pott; A. Pott","2006","08","01","Mato Grosso do Sul","Porto Murtinho","-56.8144444","-21.0988889","-56,8144444","-21,0988889","545","545",NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:56:04-03","UFOP","OUPR","29860","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A.St.-Hil.","Silva, J.L.","s.n.",NA,"Brasil",NA,NA,NA,"1987",NA,NA,"Manso","Subarbusto, flores amareladas. Beira de estrada",NA,NA,NA,NA,NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"9","2019-01-17 11:26:18-02","PUCRS","MPUC","10441","S","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","St. Hil.",NA,NA,"South America","Brasil",NA,"Magnoliopsida","Malpighiales","2001","01","01","CPCN Pró-Mata",NA,NA,"N.I. Matzenbacher",NA,NA,NA,"RS","São Francisco de Paula","-50.1744444","-29.4808333","-50.1744444000","-29.4808333000",NA,NA,NA,NA,"1",NA,NA,NA
"10","2020-12-21 16:31:37-03","MBM","MBM","203069","PreservedSpecimen","Plantae",NA,"Linaceae","Linum","erigeroides","Linum erigeroides","A. St.-Hil.","Falkenberg, D.B.; Stehmann, J.R.; Vieira, A.O.S.; Stehmann, J.R.; Vieira, A.O.S.","6388","Southern America","Brazil","MBM203069",NA,NA,"1994","01","20","Rod. BR-153, no trevo para as Guaritas","Subarbusto, 0,3 m altura. Corola amarela, 5 estigmas.; Campo.","MBM203069","Soares-Silva, J.P.","2020","01","20","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555",NA,NA,"280","280","50525","auto",NA,NA,NA,NA
