"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","387066","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","T. C. Plowman","F. C. Hoehne","1939","07","25","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387066","NY00387066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","387068","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","T. C. Plowman","G. Martinelli","1977","09","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387068","NY00387068_01","3182","Parque Nacional da Tijuca, Serra dos Pretos Forros, Represa dos Ciganos, +/- 200/300 m.s.m.","200","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777876","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","M. Sugiyama","L. Rossi","2000","09","18","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777876","NY00777876_01","2125","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trila do Jequitibá","60","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","387067","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","T. C. Plowman","T. C. Plowman","1983","02","22","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","-42.02","-21.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387067","NY00387067_01","12900","Santa Maria Madalena. Pedra Dubois","900","1195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:29:19-03","UNESP-IBB","BOTU","28674","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","Taguchi, L.E.","Braga, J.M.A.","1993","10","15",NA,"Brasil","Rio de Janeiro","Guapimirim",NA,NA,NA,NA,"BOTU028674",NA,"757","Granja Monte Olivete, margem do rio Bananal, próximo ao Sítio São Jorge",NA,NA,"2016","01","18","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:19-03","UNESP-IBB","BOTU","31433","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","Amaral Jr., A.","Davis, P.H.","1976","08","22",NA,"Brasil","São Paulo","Ubatuba",NA,NA,NA,NA,"BOTU031433",NA,NA,"Localidade entre Ubatuba e Caraguatatuba.",NA,NA,"1999","01","27","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:19-03","UNESP-IBB","BOTU","32159","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","Taguchi, L.E.","Bovini, M.G.","1995","10","17",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,NA,NA,NA,"BOTU032159",NA,"893","Parque Nacional.","600","600","2016","02","03","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:29:19-03","UNESP-IBB","BOTU","32149","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Braga, J.M.A.","1993","10","15",NA,"Brasil","Rio de Janeiro","Guapimirim",NA,NA,NA,NA,"BOTU032149",NA,"757","Granja Monte Olivete.","250","300",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:29:19-03","UNESP-IBB","BOTU","31355","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Pereira, O.J.","1992","10","28","VIES","Brasil","Espírito Santo","Comboios",NA,NA,NA,NA,"BOTU031355",NA,"4042",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:29:19-03","UNESP-IBB","BOTU","32151","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Braga, J.M.","1993","11","17",NA,"Brasil","Rio de Janeiro","Guapimirim",NA,NA,NA,NA,"BOTU032151",NA,"898","Granja Monte Olivete.","450","500",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:30:12-03","UFRJ","RFA","39163","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"T. U. P. Konno; M. F. O. Silva; M. N. Galvão","2007","12","07",NA,"Brasil","Rio de Janeiro","Macaé","-41.729722","-22.285833",NA,"Arvoreta ca. 2,5 m de altura. Frutos imaturos verdes","RFA32683",NA,"1135","Lagomar, Petrobrás, Terminal Cabiúnas (TECAB), área de trabalho D",NA,NA,NA,NA,NA,"41º43'47''W","22º17'9''S",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:30:12-03","UFRJ","RFA","39164","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"T. U. P. Konno; M. F. O. Silva; M. N. Galvão","2007","12","07",NA,"Brasil","Rio de Janeiro","Macaé","-41.729722","-22.285833",NA,"Arvoreta ca. 2,5 m de altura. Frutos imaturos verdes","RFA32684",NA,"1134","Lagomar, Petrobrás, Terminal Cabiúnas (TECAB), área de trabalho D",NA,NA,NA,NA,NA,"41º43'47''W","22º17'9''S",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:46:38-03","NBC","NL-BOTANY","L.1162665","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Mennega AMW","1954","11","14","Southern America","Surinam",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1162665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1162665","NL-L1162665",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:46:38-03","NBC","NL-BOTANY","U 0076363","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Plowman TC; Lima HC de","1983","02","22","Southern America","Brazil","Rio de Janeiro",NA,"-42.016667","-21.966667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200076363 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0076363",NA,NA,"Pedra Dubois",NA,NA,NA,NA,NA,"-42.016667","-21.966667","Magnoliopsidae","Uw32392",NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:46:38-03","NBC","NL-BOTANY","U.1270511","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Plowman TC; Lima HC de","1983","02","22","Southern America","Brazil","Rio de Janeiro",NA,"-42.016667","-21.966667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1270511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1270511","NL-U1270511",NA,"Pedra Dubois",NA,NA,NA,NA,NA,"-42.016667","-21.966667","Magnoliopsidae","U 0105941",NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:46:38-03","NBC","NL-BOTANY","U.1270555","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.",NA,"Mennega AMW","1954","11","14","Southern America","Surinam",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1270555 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1270555","NL-U1270555",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0106033",NA,NA,NA,NA,NA,NA
"17","2020-11-04 10:55:25-03","ESALQ","ESA","141187","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","Gardon, F.R.","Silva, T.D.; Assis, L.S.; Gardon, F.R.; Lozano-Baez, S.E.; Mazzeo, R.R.; Zanini, A.N.; Souza, V.C.; Rodrigues, R.R.; Colletta, G. D.; Koch, I.","2017","04","25",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.5859","-22.8541",NA,"Árvore; 2 metros de altura","ESA141187",NA,"117.0","Campo Grande; Complexo Guandu do Sâpe; Trilha da mata saída próxima ao páiol de munição - Pista de reação; Floresta Ombrófila Densa",NA,NA,"2017","06","02","-43.5859","-22.8541",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:28:04-03","MN","R","739","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","Amaral, A. Jr. & Mendonça, J. O.","Glaziou, A.F.M.","1875","08","05",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Plantas do Brasil Central","R000000739","R000000739_001","8310",NA,NA,NA,"1997","08","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:28:04-03","MN","R","858","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","coelophlebium","Erythroxylum coelophlebium","Mart.","Amaral , A. Jr. & Mendonça, J. O.","Glaziou, A.F.M.","1875","08","25",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Plantas do Brasil Central","R000000858","R000000858_001","14552",NA,NA,NA,"2000","08","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
