"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1795748","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo","isotype","M. Kuhlmann","2009[=herb. SP 43987]","1947","11","19","South America","Brazil","São Paulo","Jardinópolis","Parque Rio Pardo, mata à beira do rio Pardo","-47.7599983215332","-21.0100002288818","24259","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795748","NY01795748_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:43:47-03","EAO","IAN","90479","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Kuhlmann, M","2965","1954","04","28","Southern America","Brasil","São Paulo","Jardinópolis","Margens do Rio Pardo.","-47.7599983215332","-21.0100002288818","24259",NA,"Arbusto do subosque.","IAN090479",NA,"auto","Kuhlmann, M",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:49-03","ESALQ","ESA","103637","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Christiana","macrodon","Christiana macrodon",NA,NA,"Gorenstein, M.R.","22202.0","2005","06","15",NA,"Brasil","São Paulo","Gália",NA,"-49.5499992370605","-22.2900009155273","23314",NA,NA,"ESA103637","ESA103637","auto","Durigan, G. & Franco, G.A.D.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:49-03","ESALQ","ESA","26758","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Christiana","macrodon","Christiana macrodon",NA,NA,"Rozza, A.F.","171.0","1995","07","10",NA,"Brasil","São Paulo","Matão",NA,"-48.3600006103516","-21.6000003814697","26922",NA,NA,"ESA026758",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:12:49-03","ESALQ","ESA","99794","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Christiana","macrodon","Christiana macrodon",NA,NA,"Henriques, K.","623.0","2003","12","11",NA,"Brasil","São Paulo","Ribeirão Preto",NA,"-47.810001373291","-21.1700000762939","24390",NA,NA,"ESA099794","ESA099794","auto","Bernacci, L.C. & Henriques",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:42:16-03","UNICAMP","UEC","150482","S","Plantae","Magnoliopsida",NA,"Tiliaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Bernacci, LC; Moreira; Martins, CF; Andrade; Camargo, FC; Belinello, R","1968","1995","09","05",NA,"Brazil","São Paulo","Adamantina","Estação experimental do IAC","-51.0699996948242","-21.6800003051758","31214",NA,"Arbusto ca. de 3m alt. Frutos castanhos.; Floresta Ripária, com transição para Cerrado.",NA,NA,"auto","Esteves, GL","1998",NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-11-24 14:11:22-02","UFLA","ESAL","1898","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Augusto Gabriel","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","Marília","Bosque Rangel Pietraróia","-49.939998626709","-22.2099990844727","38865",NA,"; ; ;; floresta",NA,NA,"auto",NA,NA,"6","6",NA,NA,NA,NA,NA,NA
"8","2021-01-26 13:55:54-03","IMA","MAC","55147","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"M.Kuhlmann","2009","1947","11","19",NA,"Brasil","São Paulo","Jardinópolis","Parque Rio Pardo, mata à beira do rio Pardo.","-47.763889","-21.018056",NA,NA,NA,"MAC0055147","MAC0055147 MAC0055147_1",NA,NA,NA,NA,NA,"-47.763889","-21.018056",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2248383","PreservedSpecimen","Plantae",NA,"Malvales","Tiliaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"M. Kuhlmann","2965",NA,NA,NA,"South America - Neotropics","Brazil","São Paulo",NA,"Sao Paulo, Jardinopolis, margem do Rio Pardo",NA,NA,NA,NA,NA,NA,NA,NA,"Kuhlmann, M., (WM)",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"10","2019-11-13 11:24:47-03","USP","SPF","95982","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Souza, VC","5650","1994","04","14",NA,"Brasil","São Paulo","Matão",NA,"-48.558056","-21.620833",NA,NA,NA,"SPF00095982",NA,NA,"Maia, B","1998","600","600","-48.558056","-21.620833",NA,NA,"07",NA
"11","2019-11-13 11:24:47-03","USP","SPF","114469","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Bernacci, LC","1968","1995","09","05",NA,"Brasil","São Paulo","Adamantina","Estação Experimental do IAC","-51.0699996948242","-21.6800003051758","31214",NA,NA,"SPF00114469",NA,"auto","Maia, B","1998",NA,NA,NA,NA,NA,NA,"01",NA
"12","2020-10-14 16:35:24-03","UFVJM","HDJF","7453","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Paixão, FA","419P3","2018","09","29","Southern America","Brasil","Minas Gerais","Mariana","Rio Gualaxo do Norte, Margem Direita","-43.376778","-20.251083",NA,NA,NA,"HDJF007453","HDJF007453_01",NA,NA,NA,"691","691","-43.376778","-20.251083",NA,NA,NA,NA
"13","2019-01-25 15:42:16-02","IAC","IAC","47730","S","Plantae",NA,NA,"Malvaceae-5.Brownlowioideae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"O. Kotchetkoff-Henriques & A. Furlan (2)","623","2001","12","11",NA,"Brasil","São Paulo","Ribeirão Preto","margem do córrego Labareda","-47.931514","-21.302316",NA,NA,"UTM W0195838, S7641535, zona 23",NA,NA,NA,"L.C. Bernacci & O. Kotchetkoff-Henriques","2001",NA,NA,"-47.931514","-21.302316",NA,NA,"12","11"
