"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","686275","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Colax","jugosus","Colax jugosus","Lindl.","F. C. Hoehne","F. C. Hoehne","1128","1917","12","19","South America","Brazil","São Paulo","Alto da Serra, Matta da Estação Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686275","NY00686275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-02 18:55:45-03","UFJF","CESJ","50882","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay","L. Menini Neto","F.S. Souza; S.A. Roman; O.J. Bastos Neto; L.A.S.Abade; F.K.Jesus; G.A.Ferreira","532","2007","10","13","América do Sul","Brasil","Minas Gerais","Serra Negra, Ninho da Égua.",NA,"Erva epífita ou terrestre sobre serrapilheira, em interior de floresta ombrófila, próximo ao curso d'água, formando grande população. Pseudobulbo folhas verde-claros, sépalas alvas, pétalas alvas externamente e alvas densamente pintalgadas de vináceo int","CESJ050882",NA,"2007","10","Rio Preto","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:40:58-03","UFJF","CESJ","47584","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay","P.L. Viana","A.L.Santiago; N.F.O. Mota; P.L. Viana; F.S. Souza; O.J. Bastos Neto","8","2006","05","21","América do Sul","Brasil","Minas Gerais","Serra Negra, trilha para o Burro de Ouro.",NA,"Pseudobulbo e folhas verdes. Sépalas verdes, pétalas verdes, maculadas de castanho. Labelo creme estriado de roxo.","CESJ047584",NA,"2006","05","Rio Preto","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:40:58-03","UFJF","CESJ","47089","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay","P.L. Viana","P.L. Viana; N.F.O. Mota","1905","2006","02","26","América do Sul","Brasil","Minas Gerais","Serra Negra, Burro de Ouro.",NA,"Planta epífita, em interior de mata nebular. Flores com sépalas brancas e pétalas brancas com máculas negras.","CESJ047089",NA,"2006",NA,"Rio Preto","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA,NA,NA
"5","2015-02-05 14:54:00-02","MO","MOBOT","100776173","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay",NA,"G.E. McClure","McClure 214/03",NA,NA,NA,"South America","Brazil",NA,"Cultivated at Missouri Botanical Garden. From material originally collected in Brazil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"6","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","22541",NA,"Plantae",NA,NA,"Orchidaceae","Zygopetalum","jugosum","Zygopetalum jugosum","(Lindl.) Schltr.","T.E.C. Meneguzzo/2017","L. Kollmann; et al","6883","2004","07","12",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,"Floração em cultivo. Saxícola na sombra, sépala brancas, pétalas brancas com pinas vináceas, labelo branco com listas lilás, coluna branca com pintas lilás.","MBML022541",NA,NA,NA,"Castelo","-41.100556","-20.519167",NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"7","2020-06-15 15:31:06-03","UNESP-RC","HRCB","70648","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay","Marcusso, G. M.","Taxonomia de campo 2017/grupo verde",NA,NA,NA,NA,NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Cunha",NA,NA,NA,NA,NA,NA,"Cunha",NA,"-23.233333",NA,NA,NA,"45º01O","23°14'S",NA,NA,NA
"8","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","jugosus","Colax jugosus","(Lindl.) Lindl.",NA,"Loddiges, CL","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","jugosus","Colax jugosus","(Lindl.) Lindl.",NA,"Binot, PM","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","ad Petropolis",NA,NA,NA,NA,NA,NA,"Petrópolis","-43.1786","-22.505","36524","auto",NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","jugosus","Colax jugosus","(Lindl.) Lindl.",NA,"Binot, PM","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in rupibus et in lignis putridis ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
