"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","scientificNameAuthorship","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2016-09-27 18:10:00-03","NY","NYBG","1039155","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","J. R. Pirani","C. N. Fraga","2481","2009","04","11","South America","Brazil","Espírito Santo","Santa Leopoldina","Reserva Biológica DUas Bocas. Boqueirão do Santilho, floresta na beira da estrada.","-40.4986","-20.2256","302","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482113' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039155","NY01039155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 13:14:00-03","NY","NYBG","569288","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","J. R. Pirani","R. Seidel","2734","1989","08","27","South America","Bolivia","La Paz","Sud Yungas","Concesión de la Cooperativa Sapecho. Yungas, Monte Alto","-67.33","-15.5","590","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569288",NA,"590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634354","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","W. W. Thomas","J. G. Jardim","1526","1998","02","17","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca 7.5 km percorrendo mais 1.7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso","-39.58","-15.17","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634354","NY00634354_01","450","G.Planch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01132151","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","J. R. Pirani","L. M. Versieux","293","2006","09","16","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Reserva Biológica do Tinguá, ao longo da estrada proncipal, próximo às linhas de transmissão.","-43.46069","-22.57672","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1290399' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132151","NY01132151_01","530","G.Planch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","12295","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","W. W. Thomas","J. A. Kallunki","709","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.","-40.3333015441895","-19.2649993896484",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00012295","NY00012295_01",NA,"G.Planch.","22148","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","12294","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","W. W. Thomas","J. A. Kallunki","709","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.","-40.3333015441895","-19.2649993896484",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00012294","NY00012294_01",NA,"G.Planch.","22148","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","569265","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora",NA,"S. F. Athayde","117","1994","10","14","South America","Brazil","Paraná","Guaraqueçaba","Morro do Quitumbê","-48.33","-25.28",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569265","NY00569265_01",NA,"G.Planch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","776892","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","J. R. Pirani","J. Mattos","14175","1966","11","09","South America","Brazil","São Paulo",NA,"Aguas da Prata na Floresta Estadual",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776892","NY00776892_01",NA,"G.Planch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02714030","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora",NA,"G. Martinelli","16854","2010","12","03","South America","Brazil","Mato Grosso do Sul","Porto Murtinho","Fazenda Alto Salobra, próximo aos limites do PARNA da Serra da Bodoquena, estrada p/ Fazenda Califórnia. Floresta Ombrófila com trechos de Floresta estacional sobre afloramentos calcários.","-56.675833","-20.920833",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005732' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714030","NY02714030_01",NA,"G.Planch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","569274","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora",NA,"P. K. H. Dusén","15553","1914","04","26","South America","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569274","NY00569274_01",NA,"G.Planch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 11:09:47-03","UNESP-IBB","BOTU","29719","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora",NA,"Bignotto, R.B.","141","2003","11","18",NA,"Brasil","São Paulo","Botucatu",NA,"-48.433333","-22.866667",NA,NA,"Árvore 7m, sépalas verdes, pétalas brancas, anteras marrons.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029719",NA,NA,"Planch.",NA,NA,"48°26'w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-08 11:09:47-03","UNESP-IBB","BOTU","29718","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora",NA,"Bignotto, R.B.","121","2003","11","11",NA,"Brasil","São Paulo","Botucatu",NA,"-48.433333","-22.866667",NA,NA,"Liana sobre árvore 5m, pétalas e sépalas brancas esverdeadas.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029718",NA,NA,"Planch.",NA,NA,"48°26'w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:31:55-03","UFRJ","RFA","15220","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","monochlamydea","Picramnia monochlamydea","Occhioni & Rizzini","P. Occhioni","6050","1974","08","28",NA,"Brasil","Rio de Janeiro","Magé","Magé - Guapimirim. Serra dos Órgãos, margem do Rio Soberbo","-43.040599822998","-22.6527996063232",NA,NA,"Arbusto de 3 a 5 m de altura. fruto muito jovem, imaturo, muito rara no local","RFA34432",NA,NA,"Occhioni & Rizzini","20531","auto",NA,NA,"1974","09","24","Paratipo",NA,NA,NA,NA
"14","2020-11-13 09:20:36-03","UFRJ","RFA","Foto 43298","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","monochlamydea","Picramnia monochlamydea","P. Occhioni & C.T. Rizzini","P. Occhioni; C.T. Rizzini","6027","1974","08","01",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, margem do Rio Soberbo","-42.9655990600586","-22.4122009277344",NA,NA,"Arbusto de 3 a 4 m de altura. Flor creme esverdeada, muito rara no local","RFA-Foto45282",NA,NA,"Occhioni & Rizzini","38539","auto",NA,NA,"1974","09","24",NA,NA,NA,NA,NA
"15","2020-06-29 11:31:55-03","UFRJ","RFA","15219","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","monochlamydea","Picramnia monochlamydea","Occhioni & Rizzini","P. Occhioni","6027","1974","08","01",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgaõs, Margem do Rio Soberbo","-42.9655990600586","-22.4122009277344","600",NA,"Arbusto de 3 a 4 m de altura. Flor creme esverdeada, muito rara no local","RFA34426",NA,"600","Occhioni & Rizzini","38539","auto",NA,NA,"1974","09","24","Holotipo",NA,NA,NA,NA
"16","2020-11-13 09:20:36-03","UFRJ","RFA","Foto 43290","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","monochlamydea","Picramnia monochlamydea","Occhioni & Rizzini","P. Occhioni","6050","1974","08","28",NA,"Brasil","Rio de Janeiro","Magé","Magé - Guapimirim. Serra dos Órgãos, margem do Rio Soberbo","-43.040599822998","-22.6527996063232",NA,NA,"Arbusto de 3 a 5 m de altura. fruto muito jovem, imaturo, muito rara no local","RFA-Foto45289",NA,NA,"Occhioni & Rizzini","20531","auto",NA,NA,"1974","09","24",NA,NA,NA,NA,NA
"17","2020-06-29 11:31:55-03","UFRJ","RFA","21595","PreservedSpecimen","Plantae",NA,NA,"Picramniaceae","Picramnia","monochlamydea","Picramnia monochlamydea","P. Occhioni","Walter Mors",NA,"1983","05",NA,NA,"Brasil","Rio de Janeiro","Petrópolis","Próximo a Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,"Fruto maduro","RFA48976",NA,NA,"Occhioni & Rizzini","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
