"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","class","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","13320","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Renato Colares & Aline Votri Guislon","2018","04","04","Alexandre Medeiros","2018","09","15","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 683. Habito: Epífita","CRI011927","CRI011927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","11004","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez",NA,NA,NA,NA,"Caio Feltrim","2014","11","01","Brasil","Santa Catarina","Orleans","caminho 3 barras.","-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,"CRI001963","CRI001963","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:05-03","UNESC","CRI","13744","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Renato Colares","2018","05","28","Renato Colares; Daniela Niero & Thuany Machado","2017","10","14","Brasil","Santa Catarina","Treviso","Pousada Santo Antônio","-49.523611","-28.489722","49º31'25''W","28º29'23''S","Habitat: Terrestre Habito: Epífita","CRI012351",NA,"615","615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:05-03","UNESC","CRI","7540","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Rafael Martins","2006","10","27","Telma Elyta V. Azeredo","2006","10","29","Brasil","Santa Catarina","Nova Veneza","Fazenda Vaje do Paraíso - Rio cedro alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","Habito: epífita","CRI001962","CRI001962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:05-03","UNESC","CRI","7541","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","Habitat: mata próxima ao rio","CRI001966","CRI001966",NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:05-03","UNESC","CRI","5397","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Z. P. Topanotti",NA,NA,NA,"V. Citadini-Zanette","1996","11","30","Brasil","Santa Catarina","Lauro Muller","Setrra do Rio do Rastro.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,"CRI001964","CRI001964",NA,NA,"2378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","7789","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","T. B. Guimarães",NA,NA,NA,"T. B. Guimarães; Daniel de Barcelos Falkenberg","2005","02","16","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","Habitat: dunas Habito: epífita","CRI001965","CRI001965","17","17","918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:05-03","UNESC","CRI","8735","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Telma Elyta V. Azeredo","2009","09","01","Emilaine Biava Dalmolim; Lislaine Cardoso de Oliveira, Peterson T. Padilha, Telma Elyta Vilhaba Azevedo","2009","09","01","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S",NA,"CRI001961","CRI001961","46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:05-03","UNESC","CRI","12216","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Guilherme Alves Elias & Peterson Teodoro Padilha","2016","12","15","Guilherme Alves Elias; Peterson Teodoro Padilha; Robson dos Santos & Lucas Oliveira","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S","Habito: Epífita","CRI010397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:22-03","UNESC","CRI","11707","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","mallemontii","Tillandsia mallemontii","Glaz. ex Mez","Peterson T. Padilha","2016","02","03","Vanilde C. Zanette; Beatriz Buogo e Renato Colares","2016","02","03","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada.","-49.285278","-28.368333","49º17'7''W","28º22'6''S","Habito: epífita","CRI008648","CRI008648","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
