"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","individualCount","maximumElevationInMeters"
"1","2020-02-08 09:19:52-03","NBC","NL-BOTANY","L.2718580","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","E.Fourn.","Vincent D","Southern America","Brazil","Minar Gérais - Río Pardo.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2718580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2718580","NL-L2718580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:29:57-03","IAP","PACA-AGP","1538","PreservedSpecimen","Plantae","Magnoliatae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","Fourn.","Rambo, B.",NA,"Brasil","ad fl. Uruguay","Habitat: In silva primaeva scandens. Fenofase: flor","PACA001538",NA,"Magnoliophyta","Emrich-Rambo","1954","05","09","1934","02","17","RS","Itapiranga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:29:57-03","IAP","PACA-AGP","53570","PreservedSpecimen","Plantae","Magnoliatae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","Fourn.","Rambo, B.",NA,"Brasil",NA,"SEM MATERIAL Habitat: in silva primaeva Fenofase: flor","PACA053570",NA,"Magnoliophyta","Emrich-Rambo","1954","05","09","1953","01","10","PR","Cascavel","-53.4552993774414","-24.9557991027832","47841","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:29:57-03","IAP","PACA-AGP","49855","PreservedSpecimen","Plantae","Magnoliatae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","Fourn.","Rambo, B.",NA,"Brasil","Ad fl. Uruguai.","Habitat: In silva primaeva altisssime scand. Fenofase: flor","PACA049855",NA,"Magnoliophyta","Emrich-Rambo","1954","05","09","1951","02","06","SC","Itapiranga","-53.7122001647949","-27.1693992614746","18767","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:12:34-03","MBM","MBM","59872","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","Fourn.","Hatschbach, G.","Southern America","Brazil","Rio Passa Dois",NA,"MBM059872","MBM059872",NA,"Fontella, J.",NA,NA,NA,"1977","12","06","Paraná","Lapa","-49.7158012390137","-25.7696990966797","49965","auto","40248",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:12:34-03","MBM","MBM","270225","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","Fourn.","Tessmann, G.","Southern America","Brazil","s",NA,"MBM270225","MBM270225",NA,"Meyer-Tucuman, F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:12:34-03","MBM","MBM","12217","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","Fourn.","Hatschbach, G.","Southern America","Brazil","Fazenda Mururê","Volúvel, lacticifera, mata pluvial da bacia do Rio Paranpa. Unicata. Estéril","MBM012217","MBM012217",NA,"Rapini","2009",NA,NA,"1969","05","15","Paraná","Terra Boa","-52.4441986083984","-23.7681007385254","26445","auto","21505",NA,NA,NA,NA,NA,NA
"8","2012-08-29 13:58:39-03","MNHN","RECOLNAT_MNHN_P","P00647675","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E.Fourn.","Warming, E.",NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647675' target='other'> <mi>dwc_moreinfo</mi></a>","P00647675","P00647675_01",NA,"Morillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isosyntype","1887","hb",NA,NA,NA
"9","2010-08-04 15:21:00-03","MO","MOBOT","1242263","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","R. Schreiter","South America","Argentina","Tartagal a Las Tablillas",NA,NA,NA,NA,"T. Meyer",NA,NA,NA,"1940","2","13","Salta","Orán",NA,NA,NA,NA,"Schreiter 10836",NA,NA,NA,"570.00000000","1",NA
"10","2011-12-02 17:09:00-02","MO","MOBOT","100432446","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Santiago Venturi","South America","Argentina","Quebrada de Lules",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1922","3","10","Tucumán","Famaillá","-65.3333333","-26.9166667",NA,NA,"Venturi 228a",NA,NA,NA,"650.00000000","1",NA
"11","2011-12-02 17:35:00-02","MO","MOBOT","100432455","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Nélida Soria","South America","Paraguay","Colonia San Pedro En el bosque",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1988","12","15","Guairá",NA,"-56.25","-25.9166667",NA,NA,"Soria Rey 2943",NA,NA,NA,NA,"1",NA
"12","2011-12-02 17:45:00-02","MO","MOBOT","100432458","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Llewelyn Williams","South America","Peru","Lower Rio Huallaga, Puerto Arturo, Yurimanguas, in chacra",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1929","11","15","Loreto",NA,"-76.0666667","-5.9",NA,NA,"Williams 5062",NA,NA,NA,"155.00000000","1","210.00000000"
"13","2011-12-02 17:55:00-02","MO","MOBOT","100432462","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Guillermo Klug","South America","Peru","Juan Jui, Alto Río Huallaga, forest.",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1936","12",NA,"San Martín",NA,"-76.75","-7.1833333",NA,NA,"Klug 4195",NA,NA,NA,"400.00000000","1","800.00000000"
"14","2011-12-05 10:15:00-02","MO","MOBOT","100433831","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","John Weir","South America","Brazil","Rio de Janeiro and São Paulo",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,"Weir s.n.",NA,NA,NA,NA,"1",NA
"15","2011-12-05 10:19:00-02","MO","MOBOT","100433835","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Richard Spruce","South America","Peru","Prope Tarapoto, Peruviae orientalis",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1855",NA,NA,"San Martín","San Martín",NA,NA,NA,NA,"Spruce 4478",NA,NA,NA,NA,"1",NA
"16","2011-12-05 10:33:00-02","MO","MOBOT","100433840","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","J.E.B. Warming","South America","Brazil","Lagoa Santa",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1866","3",NA,"Minas Gerais",NA,"-43.8666667","-19.6166667",NA,NA,"Warming 1887","Holotype",NA,NA,"950.00000000","1",NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1210139","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","José Schunke V.","South America","Peru","Distrito de Tocache Nuevo. Vicinity of Tocache. [fieldbook information lost].",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1979",NA,NA,"San Martín","Mariscal Cáceres","-76.5125","-8.18416",NA,NA,"Schunke Vigo 11057",NA,"114",NA,"400.00000000","5","700.00000000"
"18","2011-12-02 16:57:00-02","MO","MOBOT","1242258","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Santiago Venturi","South America","Argentina","Yerba Buena",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1919","2","5","Tucumán","Tafí","-65.3166667","-26.8166667",NA,NA,"Venturi 228",NA,NA,NA,"650.00000000","1",NA
"19","2011-12-05 10:06:00-02","MO","MOBOT","1242259","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Miguel Lillo","South America","Argentina","Ingenio San Pablo",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1922","3",NA,"Tucumán","Famaillá","-65.3166667","-26.8833333",NA,NA,"Lillo s.n. 1922",NA,NA,NA,"380.00000000","1",NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","1242260","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","R. Schreiter","South America","Argentina","Quebrada de Lules",NA,NA,NA,NA,"T. Meyer",NA,NA,NA,"1919","10",NA,"Tucumán",NA,NA,NA,NA,NA,"Schreiter s.n. 1919",NA,NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","1242261","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","R. Schreiter","South America","Argentina","Naranjal, Yerba Buena",NA,NA,NA,NA,"T. Meyer",NA,NA,NA,"1920","4","11","Tucumán",NA,NA,NA,NA,NA,"Schreiter 1155",NA,NA,NA,"500.00000000",NA,NA
"22","2011-12-05 10:03:00-02","MO","MOBOT","1242262","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","R. Schreiter","South America","Argentina","Naranjal [Yerba Buena on A sheet]",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1921","2","7","Tucumán",NA,"-65.3166667","-26.8166667",NA,NA,"Schreiter 1416",NA,NA,NA,"470.00000000","1",NA
"23","2011-12-05 10:07:00-02","MO","MOBOT","1242264","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","R. Schreiter","South America","Argentina","Aguaray, Lomas orientales",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1925","2","15","Salta","Orán","-63.7166667","-22.2666667",NA,NA,"Schreiter 3582",NA,NA,NA,"600.00000000","1",NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","1718778","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Bonifacio Mostacedo C.|V. Medina","South America","Bolivia","Campamento Las Trancas, Lomerio. Las Lajas. Rocas lateriticas. Especies características: Urera baccifera, Cereus tacuaralensis, Sterculia apetala, Monvillea cavendishii.",NA,NA,NA,NA,"M. Toledo",NA,NA,NA,"1998","3","8","Santa Cruz","Nuflo de Chavez","-61.84805","-16.52166",NA,NA,"Mostacedo C. 3593",NA,NA,NA,"400.00000000",NA,NA
"25","2011-12-02 16:36:00-02","MO","MOBOT","1937978","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Norma B. Deginani|Manuel J. Belgrano|R.J. Zuloaga","South America","Argentina","San Pedro, Parque Provincial Piñalito.",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"2000","3","6","Misiones",NA,"-53.8333333","-26.4333333",NA,NA,"Deginani 1745",NA,NA,NA,"1745.00000000","1",NA
"26","2011-12-02 16:44:00-02","MO","MOBOT","1938039","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","James West","South America","Argentina","Gobernader Overjoro, about 2 km northeast of La Quinta, north base of Cerra Santa Barbara",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1937","2","27","Salta",NA,NA,NA,NA,NA,"West 8458",NA,NA,NA,"550.00000000","1",NA
"27","2009-08-21 07:12:00-03","MO","MOBOT","2193185","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Santiago Venturi","South America","Argentina","Tartagal",NA,NA,NA,NA,"Meyer, -",NA,NA,NA,"1930","11","6","Salta","Grl. José de San Martín","-63.8166667","-22.5333333",NA,NA,"Venturi 10763",NA,NA,NA,"600.00000000",NA,NA
