"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1161329","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.","J. W. Grimes","M. L. Kawasaki","286","1987","11","25","South America","Brazil","Amazonas","São Gabriel da Cachoeira","Serra logo atrás da cidade. Mata de terra firme.","-67.083333","-0.116667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1374435' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161329","NY01161329_01 NY01161329_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1161087","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"N. T. da Silva","1830",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161087","NY01161087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1161090","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"J. J. D'Arcy","13",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161090","NY01161090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1161092","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"W. A. Ducke","s.n.","1918","05","17","South America","Brazil","Pará",NA,"Belem do Para","-48.4555221","-1.2849922","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371462' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161092","NY01161092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1161075","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"R. S. Cowan","38355",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161075","NY01161075_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1161091","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.","J. W. Grimes","G. T. Prance","30274","1987","11","04","South America","Brazil","Pará",NA,"Marajó, Cuanta do Anajas, rio Anajas entre Anajas e Vista Alegre.","-49.8258036","-0.9555302","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1374436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161091","NY01161091_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1161082","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"J. F. Ramos","892",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371437' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161082","NY01161082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1161083","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"P. L. B. Lisboa","1227",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161083","NY01161083_01 NY01161083_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1161077","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.",NA,"N. A. Rosa","1800",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161077","NY01161077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01161074","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Vouacapoua","americana","Vouacapoua americana","Aubl.","M. de L. Rico-Arce","Y. E. J. Mexia","5928","1931","07","17","South America","Brazil","Pará","Acará","Districto Acará. Thomé Assú; Pau Vermelho","-48.1967","-1.9608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161074","NY01161074_01","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
