"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","455805","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","C. T. Rizzini","B. D. Sucre","1066","1966","08","31","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara; Reserva Biologica de Jacarepaguá","-43.398867","-23.010762","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455805","NY00455805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","455816","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","V. Bittrich","N. Santos","5830","1965","04","24","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara; Recreio dos Bandeirantes. Lagoa das Taxas (Fimbria da mata)","-43.2075","-22.9031","sheet","Exc. 253, Col. 1 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455816","NY00455816_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","455818","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","A. G. da Silva","B. D. Sucre","5402","1969","07","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara; mata de Restinga de Jacarepaguá, do lado Sul da Pedra de Itauna","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455818","NY00455818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","455796","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.",NA,"B. Maguire","44576","1959","12","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara; Restinga de Jacarepagua, Recreio dos Bandeirantes, Km. 16","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455796","NY00455796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","455835","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","C. M. Vieira","A. M. S. da F. Vaz","831","1990","10","20","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Distrito de Terra Fria, estrada para a Fazenda do Ribeirao Vermelho, picata aberta na mata em área do Parque estadual do Desengano.","-42.0081","-21.9556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455835","NY00455835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","455821","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","A. G. da Silva","A. P. Duarte","5217","1960","04",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara; Restinga de Jacarepaguá","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455821","NY00455821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","455792","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","J. G. Kuhlmann","F. Guerra","s.n.","1943","05","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Vista Chinesa","-43.249313","-22.973268","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455792","NY00455792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1146417","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.",NA,"S. J. da Silva Neto","1521","2001","11","13","South America","Brazil","Rio de Janeiro","Miguel Pereira","Proximidades do Rio São Pedro. Estrada do Ouro.","-43.4686","-22.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146417","NY01146417_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","455802","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.","A. C. Brade","T. Peckolt","s.n.","1921","06","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455802","NY00455802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","455829","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","lanceolata","Clusia lanceolata","Cambess.",NA,"C. M. Pape","2","1978","07","14","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00455829","NY00455829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
