"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","499592","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","G. G. Hatschbach","P. I. Oliveira","796","1984","03","23","South America","Brazil","Paraná","Piraquara","Mananciais da Serra.","-49.025191","-25.507967","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499592","NY00499592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","499598","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","P. K. H. Dusén","P. K. H. Dusén","17710","1916","02","19","South America","Brazil","Paraná",NA,"Porto de Unias, locis paludosis.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499598","NY00499598_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","499593","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","L. B. Smith","L. B. Smith","12128","1957","03","14","South America","Brazil","Santa Catarina","Pôrto Uniao","Bog, east of Valoes (Irineópolis) on the road to Canoinhas.","-51.0781","-26.2383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499593","NY00499593_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","499590","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.",NA,"G. G. Hatschbach","24212","1970","04","28","South America","Brazil","Paraná","Piraquara","Nova Tirol.","-49.048057","-25.507775","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499590","NY00499590_01","930","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","499595","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","L. B. Smith","R. Reitz","12478","1962","02","25","South America","Brazil","Santa Catarina","Irineópolis","Valoes.","-50.7994","-26.2386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499595","NY00499595_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","499597","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","B. Rambo","E. Henz","36963","1946","10","26","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","S. Leopoldo","-51.143791","-29.75136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499597","NY00499597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499596","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","S. F. Smith; L. B. Smith","G. G. Hatschbach","16033","1967","02","21","South America","Brazil","Paraná","Quatro Barras","Rio Taquari.","-49.0767","-25.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499596","NY00499596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-02-14 17:08:00-02","NY","NYBG","499599","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides",NA,"L. B. Smith","A. L. Woolston","1174","1960","02","07","South America","Paraguay","San Pedro",NA,"Alto Paraguay: Primavera.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499599","NY00499599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","499594","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","G. G. Hatschbach","G. G. Hatschbach","Ha.13768","1966","02","08","South America","Brazil","Paraná","Sao Mateus do Sul","Vila Santa Ana.","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499594","NY00499594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","499591","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Melasma","rhinanthoides","Melasma rhinanthoides","(Cham. & Schltdl.) Benth.","L. B. Smith; S. F. Smith","G. G. Hatschbach","13768","1966","02","08","South America","Brazil","Paraná","Sao Mateus do Sul","Vila S'Ana.","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499591","NY00499591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
