"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:22-03","UNESC","CRI","6830","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","althaeifolia","Hyptis althaeifolia","Pohl ex Benth.","R. M. harley","R. Reitz","5250","1953","01","26","Brasil","Santa Catarina","Mafra","-49.805556","-26.111944","49º48'20''W","26º6'43''S","750","750","CRI003406","CRI003406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:22-03","UNESC","CRI","2869","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","althaeifolia","Hyptis althaeifolia","Pohl ex Benth.","R. M. harley","Reitz",NA,"1953","01","26","Brasil","Santa Catarina","Mafra","-49.805556","-26.111944","49º48'20''W","26º6'43''S","750","750","CRI003403","CRI003403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:22-03","UNESC","CRI","2861","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","althaeifolia","Hyptis althaeifolia","Pohl ex Benth.","R. M. harley","R. M. Klein",NA,"1964","02","29","Brasil","Santa Catarina","Campo Erê","-53.078333","-26.394722","53º4'42''W","26º23'41''S",NA,NA,"CRI003407","CRI003407","Fazenda Campo São Vicente.","Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:22-03","UNESC","CRI","2871","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","althaeifolia","Hyptis althaeifolia","Pohl ex Benth.","R. M. harley","R. M. Klein","4875","1964","02","28","Brasil","Santa Catarina","Abelardo Luz","-52.328611","-26.565278","52º19'43''W","26º33'55''S","900","900","CRI003408","CRI003408",NA,"Habitat: campo Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:22-03","UNESC","CRI","6665","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","althaeifolia","Hyptis althaeifolia","Pohl ex Benth.","R. M. harley","R. M. Klein",NA,"1964","02","28","Brasil","Santa Catarina","Abelardo Luz","-52.328611","-26.565278","52º19'43''W","26º33'55''S","900","900","CRI003405","CRI003405",NA,"Habitat: campo Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:22-03","UNESC","CRI","6662","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","althaeifolia","Hyptis althaeifolia","Pohl ex Benth.","R. M. harley","Reitz",NA,"1953","01","26","Brasil","Santa Catarina","Mafra","-49.805556","-26.111944","49º48'20''W","26º6'43''S","750","750","CRI003404","CRI003404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:04-03","E","E","163478","PreservedSpecimen","Plantae","Labiatae","Hyptis","althaeaefolia","Hyptis althaeaefolia",NA,NA,"Montes, J.E.;","605","1945","03","08","AR",NA,NA,NA,NA,NA,NA,NA,NA,"E00163478",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00163478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Temperate South America","herbarium specimen of unspecif","BGBASE:172507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:04-03","E","E","265484","PreservedSpecimen","Plantae","Labiatae","Hyptis","althaeaefolia","Hyptis althaeaefolia",NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00265484",NA,"Brasilia meridionalis","<a href=http://data.rbge.org.uk/herb/E00265484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:284989","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00499624","PreservedSpecimen","Plantae","Lamiaceae","Cantinoa","althaeifolia","Cantinoa althaeifolia","(Pohl ex Benth.) Harley & J.F.B.Pastore",NA,"L. T. D. Dombrowski","1616","1965","03",NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00499624","NY00499624_01","Campos do Capao da Imbuia - Curitiba","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54486' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00499626","PreservedSpecimen","Plantae","Lamiaceae","Cantinoa","althaeifolia","Cantinoa althaeifolia","(Pohl ex Benth.) Harley & J.F.B.Pastore",NA,"J. E. Leite","231","1941","04",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"NY00499626","NY00499626_01","Near the Station Capela","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54488' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
