"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:37-03","UNESC","CRI","9320","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","rhombea","Campomanesia rhombea","O.Berg","Vanilde C. Zanette","Mainara F. Cascaes; Birgit Harter Marques","2008","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","30","30","CRI005073","CRI005073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","10356","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","rhombea","Campomanesia rhombea","O.Berg","Vanilde C. Zanette",NA,NA,NA,NA,"Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI005074","CRI005074","2013","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:37-03","UNESC","CRI","10367","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","rhombea","Campomanesia rhombea","O.Berg",NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","10","17","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI005076","CRI005076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:37-03","UNESC","CRI","8928","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","A. Korte","A. Korte; A. Kniess","2009","12","01","Brasil","Santa Catarina","Alfredo Wagner","Rio das Demoras.","-49.321111","-27.631389","49º19'16''W","27º37'53''S",NA,NA,"CRI005089","CRI005089","2010","01","25","1189","Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:37-03","UNESC","CRI","14461","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Verdi, M","Verdi, M.; Grosch, B. & Klemz, G.","2008","12","11","Brasil","Santa Catarina","Capão Alto","Fazenda Pessegueirinho. Fazenda Pessegueirinho.","-50.760833","-28.17","50º45'39''W","28º10'12''S","762","762","CRI013613","CRI013613","2008","12","11","1152","Florística IFFSC 529. Coletada entorno da unidade amostral. Habitat: Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual; Habito: Fruto verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:37-03","UNESC","CRI","7494","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Rafael Martins","Cristiane Krug","2006","10","20","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S",NA,NA,"CRI005083","CRI005083","2006","12","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","4011","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter","1989","10","31","Brasil","Rio Grande do Sul","Camaquã","Pacheca, Mata de Galeria Rio Camaquã.","-51.8125","-30.851667","51º48'45''W","30º51'6''S","40","40","CRI005087","CRI005087",NA,NA,NA,"1371","Habitat: borda de mata Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","5020","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Eufinis Giacomelli","Eufinis Giacomelli","1996","10","23","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI005085","CRI005085",NA,NA,NA,NA,"Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:37-03","UNESC","CRI","511","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Maria Salete Vicente","José Krás da Silva","1990","11","04","Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI005081","CRI005081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:44-03","UNESC","CRI","8752","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","M. Verdi","M. Verdi; R.P. Hascker & G. Klemz","2008","11","18","Brasil","Santa Catarina","Lacerdópolis","Canela Funda - Santa Bárbara.","-51.556944","-27.261389","51º33'25''W","27º15'41''S","495","495","CRI005082","CRI005082","2008","11","18","945","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:44-03","UNESC","CRI","5032","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Marcos Sobral","Vanilde Citadini-Zanette","1996","11","04","Brasil","Santa Catarina","Lauro Muller",NA,"-49.390278","-28.391667","49º23'25''W","28º23'30''S",NA,NA,"CRI005075","CRI005075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:44-03","UNESC","CRI","7637","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Jaqueline","Jaqueline Bonazza Rodrigues","2007","10","18","Brasil","Santa Catarina","Siderópolis","Sitio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI005966","CRI005966","2007","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:37-03","UNESC","CRI","6308","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Zenaide P. Topanotti","J. A. Biff","1998","09","29","Brasil","Santa Catarina","Morro Grande",NA,"-49.721667","-28.801111","49º43'18''W","28º48'4''S",NA,NA,"CRI012901","CRI012901","1998","09","29",NA,"Flores brancas. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:44-03","UNESC","CRI","4429","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","V. C. Zanette","Valdemar Boff","1995","12","08","Brasil","Santa Catarina","Imbituba","Lagoa do Peri.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38","CRI005086","CRI005086","1997","06","27","317","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:37-03","UNESC","CRI","14022","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Marcos Sobral","Vanilde Citadini-Zanette","1996","10","03","Brasil","Santa Catarina","Criciúma","Morro Estevão","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI012672",NA,"1999","01","12",NA,"Indivíduo com flores e botões brancos Habitat: Terrestre Habito: Arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:37-03","UNESC","CRI","7495","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Vanilde Citadini- Zanette","Cristiane Krug","2006","09","05","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S",NA,NA,"CRI005091","CRI005091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:37-03","UNESC","CRI","5450","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Marcos Sobral","Z. P. Topanotti","1995","09","10","Brasil","Santa Catarina","Nova Veneza",NA,"-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"CRI005090","CRI005090",NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:33:44-03","UNESC","CRI","15320","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Aline Votri Guislon","Aline V. Guislon","2020","07","29","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevão. Morro da Bananeira.","-49.374444","-28.753056","49º22'28''W","28º45'11''S","95","95","CRI014737",NA,"2020","07","29",NA,"Hábito heliófito. Casca do tronco suberosa. Folha membranácea. Cálice vede com 5 sépalas e corola branca com 5 pétalas. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:33:44-03","UNESC","CRI","3889","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","J. A. Jarenkow","J. A. Jarenkow; S. Bordignon","1988","10","27","Brasil","Rio Grande do Sul","Capão do Leão","Horto botânico Irmão Teodoro Luiz.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","CRI005080","CRI005080",NA,NA,NA,"997","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:44-03","UNESC","CRI","7634","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","(Mart.) O.Berg","Vanilde Citadini- Zanette","Jaqueline Bonazza Rodrigues","2007","10","18","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI005084","CRI005084","2007","11","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-23 10:41:47-03","E","E","82207","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa",NA,NA,"Hatschbach, G.","1992","12","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00082207",NA,NA,NA,NA,"31035","<a href=http://data.rbge.org.uk/herb/E00082207 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-23 10:41:47-03","E","E","83715","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa",NA,NA,"Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","1996","09","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00083715",NA,NA,NA,NA,"33","<a href=http://data.rbge.org.uk/herb/E00083715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-09-23 10:41:47-03","E","E","305287","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa",NA,NA,"Rozindo Cardoso, C.F.; Ratter, J.A.; Fonseca Filho, J.; Dos Santos, G.B.; Pott, A.","1996","09","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00305287",NA,NA,NA,NA,"5","<a href=http://data.rbge.org.uk/herb/E00305287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:311529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-23 10:41:47-03","E","E","202916","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa",NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","1998","09","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00202916",NA,NA,NA,NA,"18","<a href=http://data.rbge.org.uk/herb/E00202916 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","579683","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa xanthocarpa","O.Berg","L. R. Landrum","G. G. Hatschbach","1972","09","13","Brazil","Paraná","Inácio Martins","Inácio Martins.","-51.0789","-25.5711",NA,NA,NA,NA,"NY00579683","NY00579683_01",NA,NA,NA,"30294","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194251' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","xanthocarpa",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","818294","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa","O.Berg","M. L. Kawasaki","E. P. Heringer","1982","09","14","Brazil","Distrito Federal","Brasília","Lago Norte, morro cascalhento, próximo às ilhas. Encontrada na parte superior do morro.","-47.9294","-15.7797",NA,NA,NA,NA,"NY00818294","NY00818294_01",NA,NA,NA,"7519","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860065' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","579681","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa xanthocarpa","O.Berg","L. R. Landrum","G. G. Hatschbach","1969","10","23","Brazil","Paraná","Medianeira","Parque Nac. Iguaçu.","-54.0939","-25.2956",NA,NA,NA,NA,"NY00579681","NY00579681_01",NA,NA,NA,"22616","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194250' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","xanthocarpa",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","579715","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa xanthocarpa","O.Berg","L. R. Landrum","J. C. Lindeman","1966","10","20","Brazil","São Paulo",NA,"Along highway S. Paulo - Londrina near Km 189.",NA,NA,NA,NA,NA,NA,"NY00579715","NY00579715_01",NA,NA,NA,"3167","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194277' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","xanthocarpa",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","579714","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa xanthocarpa","O.Berg","L. R. Landrum","G. Jönsson","1914","09","27","Brazil","Paraná",NA,"Thaperussú [somewhat illegible]",NA,NA,NA,NA,"800","800","NY00579714","NY00579714_01",NA,NA,NA,"993a","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194269' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","xanthocarpa",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","579682","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","xanthocarpa","Campomanesia xanthocarpa xanthocarpa","O.Berg","L. R. Landrum","G. G. Hatschbach","1969","11","17","Brazil","Paraná","Londrina","Serra do Arreio.","-51.1628","-23.3106",NA,NA,NA,NA,"NY00579682","NY00579682_01",NA,NA,NA,"22902","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194278' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","xanthocarpa",NA,NA,NA,NA,NA,NA,NA
