"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","sex","preparationType"
"1","2016-02-02 14:37:57-02","BGBM","B","B 10 0268309","S","Plantae","Compositae","Stomatanthes","loefgrenii","Stomatanthes loefgrenii","H.Rob.","type","Lofgren","120","Middle and South America","Brazil","<a href=http://herbarium.bgbm.org/object/B100268309 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100268309","B100268309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-19 09:28:48-03","IBt","SP","56401","S","Plantae","Asteraceae","Stomatanthes","loefgrenii","Stomatanthes loefgrenii","(B.L.Rob.) H.Rob.",NA,"Handro, O","734",NA,"Brasil",NA,NA,NA,"Esteves, RL","2007","06","1957","10","30","São Paulo","Mogi Guaçu","Fazenda Campininha, Perto de Pádua Sales","-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA
"3","2010-08-16 16:35:48-03","GH","HU-HERB","GH 00007782","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","loefgrenii","Eupatorium loefgrenii","B. L. Robinson","Type","A. Löfgren","120","South America","Brazil",NA,NA,NA,NA,NA,NA,"1908","11",NA,"São Paulo",NA,"S. José dos Campos",NA,NA,NA,NA,"120","undetermined","Sheet"
