"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","phylum","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","order"
"1","2020-06-29 11:31:17-03","UFRJ","RFA","4767","PreservedSpecimen","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link","A. Krapovickas","1975","05","03","P. Occhioni","808","1947","03","04","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","1,50 m altura, flor creme","RFA45133","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:31:35-03","MN","R","7655","PreservedSpecimen","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,NA,NA,NA,"Glaziou, A.F.M.","18138","1891","03","09","Brasil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","Plantas do Brasil Central","R000007655","auto","R000007655_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:45:17-02","IPA","IPA","9794","S","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link","Gehrt",NA,NA,NA,"Pickel, B.","4370","1939","07","10","Brasil","São Paulo",NA,NA,NA,NA,NA,"IPA0009794",NA,NA,"Plantae","Southern America","Monte Jaraguá, No campo à meia altura.",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-06 09:56:18-03","UFOP","OUPR","22967","PreservedSpecimen","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,NA,NA,NA,"Coelho, F.","s.n.","1893",NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","Fruticulum. Cor. lutea. In campis.",NA,"auto",NA,NA,NA,"Rodrigo Silva",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:56:18-03","UFOP","OUPR","22966","PreservedSpecimen","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,NA,NA,NA,"Magalhães-Gomes, F.","s.n.","1893","03",NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,NA,"auto",NA,NA,NA,"Rodrigo Silva",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-18 10:57:37-03","UFRRJ","RBR","19153","S","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,NA,NA,NA,"Herbário Schrvache","7718",NA,NA,NA,"Brasil","Minas Gerais","Minas Gerais",NA,NA,NA,NA,"RBR00019153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:30:56-03","UFRRJ","RBR","46404","S","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,NA,NA,NA,"T.C. Alves","48","2019","04","29","Brasil","Rio de Janeiro","Teresópolis","-43.014444","-22.45",NA,NA,"RBR00046404",NA,"RBR00046404",NA,NA,"Serra dos Órgãos. PARNASO","43º0'52''W","22º27'0''S","1590","1590",NA,NA,NA,NA
"8","2020-06-18 10:57:37-03","UFRRJ","RBR","37645","S","Plantae","Malvaceae","Sida","acrantha","Sida acrantha flavicana","H. Monteiro","H. Monteiro",NA,NA,NA,"H. Monteiro","2538","1945","03",NA,"Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,"RBR00037645","auto","RBR00037645",NA,NA,NA,NA,NA,NA,NA,"flavicana","Tipo",NA,NA
"9","2020-06-29 09:30:56-03","UFRRJ","RBR","19152","S","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,NA,NA,NA,"H. Monteiro","4761","1961","01","27","Brasil","São Paulo","Araraquara","-48.1699981689453","-21.7900009155273","29178",NA,"RBR00019152","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:37:54-03","UFMG","BHCB","201592","PreservedSpecimen","Plantae","Malvaceae","Sida","acrantha","Sida acrantha","Link",NA,"2015",NA,NA,"Costa, MTR; Resende, P","151","2014","05","30","Brasil","Minas Gerais","São João Del-Rei","-44.424444","-21.201667",NA,"Subarbusto de 0,4m de altura, com frutos","BHCB201592",NA,"BHCB201592","Dicotyledon","Southern America","Bairro Dom Bosco","-44.424444","-21.201667","949","949",NA,NA,NA,NA
