"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","infraspecificEpithet","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00643861","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.","G. M. Barroso; E. F. Guimarães","B. D. Sucre","6627","1970","04","16","South America","Brazil","Rio de Janeiro","Morro Dna. Manta","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00643861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00822688","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.","L. A. Mattos Silva","L. A. Mattos Silva","283a","1979","02","16","South America","Brazil","Bahia","Rod. M. Vitorino/Catingal, km 14.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822688","Manoel Vitorino","-40.2425","-14.1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:06-03","UFRJ","RFA","37001","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.","R.S. Couto","R.S. Couto","252","2009","09","26",NA,"Brasil","Rio de Janeiro","Estrada das Paineiras, logo após a bifurcação para a estrada do Sumaré, em direção ao hotel",NA,NA,NA,"Material estéril. Coletado para cultivo. Ombrófila. Folhas discolores verde-escuro lúcida na face adaxial, maiôs clara e fosca na face abaxial.","RFA23732","Rio de Janeiro","-43.2075004577637","-22.9027996063232","2009","09","26","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:32-03","UFRJ","RFA","7965","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.","R.S. Couto","P. Occhioni","2261","1966","05","20",NA,"Brasil","Rio de Janeiro","Guanabara. Matas da Urca",NA,NA,NA,"Volúvel, flor verde","RFA30463","Rio de Janeiro","-43.2075004577637","-22.9027996063232","2008","05","14","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:30:06-03","UFRJ","RFA","37110","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.","R. S. Couto","R. S. Couto","288","2009","10","23",NA,"Brasil","Rio de Janeiro","Vista Chinesa",NA,NA,NA,"Trepadeira de folhas subcoriáceas verde-escuro. Material estéril. Tubérculo pouco enterrado, crescendo horizontalmente. Em cultivo.","RFA23886","Rio de Janeiro","-43.2075004577637","-22.9027996063232","2009","10","23","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:06-03","UFRJ","RFA","37417","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","widgrenii","Dioscorea widgrenii","R.Knuth","R.S.Couto","R.S.Couto","464","2010","05","19",NA,"Brasil","Rio de Janeiro","Pedra da Elefantina. Afloramento rochoso com mata ao redor. Material de cultivo, proveniente do n° 219",NA,NA,NA,"Folhas verde-escuras pintalgadas com manchas alvas, flores verdes-claras e anteras amareladas","RFA30461","Porciúncula","-42.0407981872559","-20.9627990722656","2010","05","19","31888","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:06-03","UFBA","ALCB","043002","PreservedSpecimen","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","widgrenii","Dioscorea widgrenii","R.Knuth","Kirizawa, M","Argôlo, AS; Guedes, ML; Carvalho, G","57","1999","01","16","Southern America","Brasil","Bahia","Olivença.",NA,NA,NA,"folhas semi-crassas, discolores. Inflorescência com flores masculinas vináceas. Ocasional.","ALCB005157","Ilhéus","-39.0494003295898","-14.7889003753662","2014","10",NA,"61245","auto","ALCB005157",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:37:38-03","MN","R","50891","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.","Barroso, G.M.","Araujo, F.P.L.",NA,NA,NA,NA,NA,"Brasil","Mianas Gerais",NA,NA,NA,NA,NA,NA,"Rio Novo","-43.125301361084","-21.4575004577637","1969","11",NA,"14119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:37:38-03","MN","R","42365","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.",NA,"Mello Filho, L.E.",NA,"1958","03",NA,NA,"Brasil","Rio de Janeiro","Sta. Tereza",NA,NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:04-02","BGBM","B","B 10 0296770","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","trilinguis","Dioscorea trilinguis","Griseb.",NA,"A. F. M. Glaziou","6738",NA,NA,NA,"Middle and South America","Brazil",NA,"Rio de Janeiro.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100296770 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100296770",NA,NA,NA,NA,NA,NA,NA,NA,"B100296770","isolectotype",NA,NA,NA,NA,NA,NA,NA
