"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","686671","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.","C. M. Taylor","A. M. Amorim","2884","1999","04","21","South America","Brazil","Bahia","Jussari","Mun. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Fazenda Teimoso. RPPN Serra do Teimoso.","-39.5286111","-15.1580556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=838880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686671","NY00686671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 15:31:00-03","NY","NYBG","502420","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia",NA,"C. M. Taylor","G. A. Tipaz","893","1992","05","06","South America","Ecuador","Guayas",NA,"Guayaquil Cantón. Bosque Protector Cerro Blanco. Carretera Guayaquil-Salinas, km 15","-79.83","-2.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502420",NA,"100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2422907","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.",NA,"J. A. Oliveira","400","2013","08","08","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Burarama, Pedra da Ema","-41.3422","-20.6847","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675002' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422907","NY02422907_01","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502419","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.","J. D. Dwyer","J. C. Solomon","7784","1982","05","26","South America","Bolivia","El Beni","Vaca Díez","18.4 km E of Riberalta, then 1 km NE on old road to Cachuela Esperanza","-65.83","-11.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502419",NA,"230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502418","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.","J. D. Dwyer","B. A. Stein","3194","1986","01","13","South America","Colombia","Antioquia","Salgar","Cordillera Occidental 6 km from Salgar on road to Bolivar via Samaria","-76","5.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502418",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885478","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.","C. M. Taylor","A. M. Amorim","3710","2003","06","18","South America","Brazil","Bahia","Jussari","RPPN Serra do Teimoso, Rod. Jussari - Palmira, entre ca. 7.5 km de Jussari, Faz. Teimoso.","-39.5389","-15.1619","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885478","NY00885478_01","641","641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","298271","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.","C. M. Taylor","W. W. Thomas","9107","1992","05","03","South America","Brazil","Bahia","Aurelino Leal","11.2 km W of BR 101 & Aurelino Leal on rd to Lage do Banco. Rocky, somewhat disturbed slope forest","-39.38","-14.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298271","NY00298271_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:27:29-03","NBC","NL-BOTANY","U.1575857","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.",NA,"Solomon JC",NA,"1982","05","26","Southern America","Bolivia",NA,NA,"Province of Vaca Diez, Departamento Of Beni, 18.4 km E of Riberalta, then 1 km NE on old road to Cachuela Esperanza.","-65.833333","-11.083333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1575857 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1575857","NL-U1575857",NA,NA,"Magnoliopsidae","-65.833333","-11.083333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:27:29-03","NBC","NL-BOTANY","U.1576496","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.",NA,"Lindeman JC; Haas JH de",NA,"1967","01","02","Southern America","Brazil",NA,NA,"Brasiliae Australis, Est. Paraná, Restinga at the back of Pontal do Sul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1576496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1576496","NL-U1576496",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:18:56-03","ESALQ","ESA","35630","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","tenuifolia","Psychotria tenuifolia","Sw.","Taylor, C.M.","Azevedo-Tozzi, A.M.G. ; Sartori, A.L.B.",NA,"1994","11","10",NA,"Brasil","São Paulo","Cássia dos Coqueiros",NA,"-47.1699981689453","-21.2800006866455",NA,NA,"ESA035630","ESA035630",NA,NA,NA,NA,NA,"1997","01","01","13265","auto",NA,NA,NA,NA
