"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","378818","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas","A. M. Amorim","S. C. de Sant'Ana","689","1998","09","20","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana. Trilha paralela a área de cacau cabruca vizinha a Reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378818","NY00378818_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378816","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas","P. J. M. Maas","J. G. Jardim","1073","1997","06","06","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378816","NY00378816_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378817","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas",NA,"J. G. Jardim","2026","1999","02","23","South America","Brazil","Bahia","Una","Rod. BA-001, ca. 38 km S de Ilhéus","-39.0111","-15.1694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378817","NY00378817_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685928","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas",NA,"J. G. Jardim","3718","2001","07","05","South America","Brazil","Bahia","Ilhéus","Rod BA-001, Ilhéus/Una, ca. 20 km S","-39.00027778","-15.0538889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685928","NY00685928_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01806307","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","J. G. Jardim","570","1994","08","18","South America","Brazil","Bahia","Una","Rod. Ba-001 no Km 38 no sentido Ilhéus/Una","-39.0083","-15.1056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2157236' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806307","NY01806307_01",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:39:27-03","NBC","NL-BOTANY","U 0004902","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas","Maas PJM","Mattos Silva LA; et al.",NA,"1982","02","08","Southern America","Brazil","Bahia",NA,"Regiao Cacaueira da BahiaMunicípio de Ilhéus. Estrada que liga a Estaçao Hidromineral de Olivença ao Povoado de Vila Brasil.5 km ao Sudoeste de Olivença.",NA,NA,NA,"Regiao de Mata Higrófila Sul Baiana. Capoeirao em solo arenoso.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004902 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004902","NL-U0004902","Magnoliopsidae","isotype","69575",NA,NA,NA,NA
"7","2020-02-08 09:39:27-03","NBC","NL-BOTANY","U.1069277","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas","Maas PJM","Mattos Silva LA; Santos TS dos",NA,"1985","10","03","Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1069277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1069277","NL-U1069277","Magnoliopsidae",NA,"U 0140422",NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","3405949","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas","Amorim","Sant'Ana","Sant'Ana 689","1998","9","20","South America","Brazil","Bahia",NA,"Municipio de una, Reserva Biologica do Mico-leao (IBAMA), entrada no km 46 da Rod BA-001 ilheus/Una. Regiao da Mata Higrofila Sul Baiana.","-39.08333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-07 09:23:15-03","UEFS","HUEFS","51667","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea","Maas",NA,"Jardim, J.G.","2026","1999","02","23",NA,"Brasil","Bahia","Una","Rodovia BA-001 Ilhéus/Una, ca. 38 km S de Ilhéus.","-39.0752983093262","-15.2932996749878",NA,"Restinga arbórea com campos alagados.","HUEFS0051667","HUEFS0051667","Magnolianae",NA,NA,"36070","auto",NA,NA
"10","2020-07-23 11:56:59-03","CEPLAC","CEPEC","37630","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","magnolioidea","Duguetia magnolioidea",NA,"P. J. M. Maas","R. Voeks","45","1997","03","04",NA,"Brasil","Bahia","ILHÉUS","Km 11 Rod. Ilheus/Olivença/Una (BA-001). Faz. Barra do Manguinho.","-39.033333","-14.783333",NA,NA,NA,NA,NA,"Paratipo","30/12/1996",NA,NA,"39W2'","14S47'"
