"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","fieldNumber","maximumElevationInMeters","typeStatus"
"1","2016-09-29 15:03:00-03","NY","NYBG","630620","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Bothriochloa","laguroides","laguroides","Bothriochloa laguroides laguroides","(DC.) Herter","A. S. Vega","M. A. Chase","9990","1929","11","05","South America","Brazil","Avenida Niemeyer","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630620","NY00630620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 11:52:00-02","NY","NYBG","630622","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Bothriochloa","laguroides","laguroides","Bothriochloa laguroides laguroides","(DC.) Herter","M. M. Marchi","W. D. Clayton","4497","1965","01","31","South America","Brazil","Linha Imperial","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630622","NY00630622_01","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 15:03:00-03","NY","NYBG","641560","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Bothriochloa","laguroides","laguroides","Bothriochloa laguroides laguroides","(DC.) Herter","Vega","T. M. Pedersen","3865","1956","03","25","South America","Argentina","Estancia La Pastoril","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641560",NA,"Corrientes","Lavalle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","630621","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Bothriochloa","laguroides","laguroides","Bothriochloa laguroides laguroides","(DC.) Herter","M. M. Marchi","W. D. Clayton","4637","1965","02","11","South America","Brazil","A few km east of Angatuba on road to Itapetininga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630621","NY00630621_01","São Paulo","Angatuba","-48.4097","-23.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:15:58-03","NBC","NL-BOTANY","AMD.121930","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","saccharoides","laguroides","Andropogon saccharoides laguroides",NA,NA,"Herter",NA,"1925","12","01","Southern America","Uruguay","Cerro, Departamento de Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.121930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD121930","NL-AMD121930",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:15:58-03","NBC","NL-BOTANY","AMD.121931","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","saccharoides","laguroides","Andropogon saccharoides laguroides",NA,NA,"Herter",NA,"1925","01","01","Southern America","Uruguay","Pocitos/Malvin, Departamento de Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.121931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD121931","NL-AMD121931",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:15:58-03","NBC","NL-BOTANY","L.1211262","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","saccharoides","laguroides","Andropogon saccharoides laguroides","(DC.) Hack.",NA,"Unreadable",NA,"1836","01","01","Southern America","Uruguay","Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1211262 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1211262","NL-L1211262",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:15:58-03","NBC","NL-BOTANY","L.1211263","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","saccharoides","laguroides","Andropogon saccharoides laguroides","(DC.) Hack.",NA,"Herb Jansen - Wachter",NA,NA,NA,NA,"Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1211263 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1211263","NL-L1211263",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:15:58-03","NBC","NL-BOTANY","L.1211264","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Andropogon","saccharoides","laguroides","Andropogon saccharoides laguroides","(DC.) Hack.",NA,"Herter WGF",NA,"1925","01","01","Southern America","Uruguay","Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1211264 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1211264","NL-L1211264",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:16:27-03","NBC","NL-BOTANY","L.1221932","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Bothriochloa","laguroides",NA,"Bothriochloa laguroides","(DC.) Pilg.",NA,"Pedersen TM",NA,"1961","02","03","Southern America","Argentina","Estancia 'Santa Maria'. Dep. Mburucuyá, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1221932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1221932","NL-L1221932",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
