"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","locality","minimumElevationInMeters","preparationType","barcode","day","stateProvince","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","typeStatus","previousCatalogNumber"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3833","S","Plantae","Magnoliophyta","Asparagales","Orchidadeceae","Psygmorchis","pusilla","Psygmorchis pusilla","Carlos Alberto Ferreira Júnior","2016","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4088426","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405357' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","H. H. Rusby","2766","1886","05","South America","Bolivia","Guanai","610","sheet","NY04088426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4088394","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405325' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","S. R. King","382","1982","05","South America","Peru","Distrito Napo. Environs of Río Santa María. Secoya village of Vencedor, 4 hours by outboard engine from the mouth of the Santa María River",NA,"sheet","NY04088394","05","Loreto","Maynas","-74.73","-1.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4088440","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405371' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","J. M. Schunke-Vigo","1856","1967","04","South America","Peru","Dtto. Honoria. Bosque Nacional de Iparia: Región de bosque seco tropical (sensu Tosi, 1960) a lo largo del Río Pachitea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista a unos 20 km arriba de la confluencia con el Río Ucayali)","300","sheet","NY04088440","13","Huánuco","Pachitea",NA,NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4088438","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405369' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","B. Maguire","34831","1953","04","South America","Venezuela","Rio Casiquiare and tributaries, along lower part of río Siapa","130","sheet","NY04088438","04","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4088422","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405353' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","E. Marin","1582",NA,NA,"South America","Venezuela","5 Km al norte de la desembocadura del Río Orinoquito en el Río Orinoco. Lomerío entre 30% - 60%","400","sheet","NY04088422",NA,"Amazonas","Atabapo","-64.4","2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4088444","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405375' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","B. Maguire","23099","1944","04","South America","Guyana","Kaieteur Plateau",NA,"sheet","NY04088444","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4088447","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405378' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","J. S. de la Cruz","1712","1922","07","South America","Guyana","Upper Rupununi River, near Dadanawa",NA,"sheet","NY04088447","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4088403","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405334' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","L. C. M. Croizat","682","1951","09","South America","Venezuela","Raudal Montserrat",NA,"sheet","NY04088403","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4088428","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Erycina","pusilla","Erycina pusilla",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4405359' target='other'> <mi>dwc_moreinfo</mi></a>","(L.) N.H.Williams & M.W.Chase","G. Tessmann","5185",NA,NA,"South America","Peru","Soledad, Rio Itaya",NA,"sheet","NY04088428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
