"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","typeStatus"
"1","2021-04-05 14:25:14-03","UNESC","CRI","9100","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","longifolium","Pachystroma longifolium","(Nees) I.M.Johnst.","M. Verdi","2011","10","08","M. Verdi; J. Durigon","6016","2011","10","08","Brasil","Rio Grande do Sul","Maquiné","Caminho para a Lagoa do Palmital.","-50.151667","-29.778889","50º9'6''W","29º46'44''S","10","10","Restinga","CRI002463","CRI002463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","6018","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","longifolium","Pachystroma longifolium","(Nees) I.M.Johnst.","Rafael Martins",NA,NA,NA,"V. Citadini-Zanette",NA,"1996","12","04","Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI002461","CRI002461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","527290","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium","Müll.Arg.",NA,NA,NA,NA,"L. Riedel","777","1824",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527290","NY00527290_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","527284","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium","Müll.Arg.",NA,NA,NA,NA,"R. de Lemos Fróes","19925","1942","12","31","Brazil","Bahia",NA,"Entre Colonia Itatinga e Bom Gosto",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527284","NY00527284_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","527289","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium","Müll.Arg.",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Brasilia. Mandiocca","-43.0406","-22.6531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527289","NY00527289_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","527302","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium","Müll.Arg.","G. L. Webster",NA,NA,NA,"S. A. Mori","9571","1978","03","08","Brazil","Bahia","Itabuna","Cerca de 3 km a NW de Juçari. Folha SD - 24 (15-39c)","-39.5166","-15.1666",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527302","NY00527302_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","527287","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium heterophyllum","Mart. in Müll.Arg.","J. G. Kuhlmann",NA,NA,NA,"F. C. Hoehne","25065","1914","10","01","Brazil","Rio de Janeiro","Rio de Janeiro","Morro de S. Joao","-43.2075","-22.9031",NA,NA,NA,NA,"Ex. Herv. do coll. no. 90 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527287","NY00527287_01","Magnoliophyta","Malpighiales","South America","sheet","heterophyllum",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","527286","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium","Müll.Arg.",NA,NA,NA,NA,"P. K. H. Dusén","8211a","1911","07","01","Brazil","Paraná","Morretes","Porto de Cima","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527286","NY00527286_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","527285","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium","Müll.Arg.",NA,NA,NA,NA,"R. de Lemos Fróes","1074","1942","12","02","Brazil","Bahia",NA,"Basin of Rio Una, Bela Vista",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527285","NY00527285_01 NY00527285_02","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 12:02:00-02","NY","NYBG","527288","PreservedSpecimen","Plantae","Euphorbiaceae","Pachystroma","ilicifolium","Pachystroma ilicifolium",NA,"B. Rambo",NA,NA,NA,"B. Rambo","29311","1946","11","10","Brazil","Rio Grande do Sul","Sao Leopoldo","S. Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527288","NY00527288_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
