"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","relatedCatalogItem","infraspecificEpithet"
"1","2021-04-05 14:26:02-03","UNESC","CRI","9674","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","A. A. de Oliveira","2010","01","25","S. Dreveck; F. E. Carneiro","1227","2009","05","11","Brasil","Brasil","Próximo a Mineração Nilso e Veiga do Sul.","-48.69","-26.46","48º41'24''W","26º27'36''S","20","20","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbustiva","CRI009260","CRI009260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:02-03","UNESC","CRI","13118","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Korte, A","2010","11","30","Korte, A.","4966","2010","11","17","Brasil","Itapoá","Balneário Uirapuru. Balneário Uirapuru.","-48.598333","-26.126944","48º35'54''W","26º7'37''S","2","2","Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Densa de Terras Baixas; Estágio Avançado; interior do fragmento Habito: arbusto; flor branca","CRI011691","CRI011691","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:02-03","UNESC","CRI","13119","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Korte, A","2010","11","30","Korte, A.","4982","2010","11","18","Brasil","Itapoá","Saí Mirim. Saí Mirim.","-48.69","-26.1","48º41'24''W","26º6'0''S","18","18","Florística IFFSC 1069b (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto; flor branca","CRI011690","CRI011690","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:06-03","UNESC","CRI","9364","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","A. A. de Oliveira","2010","03","14","T.J. Cadorin; B. Grosch, R. Zimmermann & C.P. Lopes","1887","2010","04","07","Brasil","Garuva","Sol Nascente.","-48.727222","-26.055","48º43'38''W","26º3'18''S","13","13","Floresta Ombrófila Densa de Terras Baixas Habitat: interior de fragmento Habito: arbusto","CRI009259","CRI009259","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:02-03","UNESC","CRI","9090","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","A. A. de Oliveira","2011","03","22","A. Korte","5737","2011","02","22","Brasil","Brasil","Praia do Ervino / Parque Estadual do Acaraí.","-48.610556","-26.393333","48º36'38''W","26º23'36''S","2","2","Floresta Ombrófila Densa de Terras Baixas","CRI009261","CRI009261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:02-03","UNESC","CRI","9037","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","A. A. de Oliveira","2011","03","22","A. Korte","5787","2011","02","24","Brasil","Navegantes","Bairro Costa Azul.","-48.645","-26.853611","48º38'42''W","26º51'13''S","8","8","FOD terras baixas","CRI009257","CRI009257","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:02-03","UNESC","CRI","12151","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Oliveira, AA de","2010","01","25","Dreveck, S.; Carneiro, F.E.","1114","2009","10","10","Brasil","Santa Catarina","Bela Vista.","-48.694444","-26.73","48º41'40''W","26º43'48''S","17","17","Florística IFFSC 811 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; comum em ambiente úmido no interior do fragmento Habito: arbustiva; flor verde clara","CRI010329",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:11-03","E","E","285057","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,NA,NA,NA,NA,"Gardner, George","185",NA,NA,NA,"BR",NA,"Rio de Janeiro, Brazil.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285057",NA,"Rio de Janeiro","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:291685",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:11-03","E","E","285056","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,NA,NA,NA,NA,"Gardner, George","185",NA,NA,NA,"BR",NA,"Woods in the Ilha do Governador, Bay of Rio de Janeiro.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285056",NA,"Rio de Janeiro","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:291680",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","502785","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","L. B. Smith",NA,NA,NA,"R. Reitz","5802","1953","10","29","Brazil","Araquari",NA,"-48.7219","-26.3703",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502785","NY00502785_01","Santa Catarina",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
