"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","individualCount"
"1","2019-08-27 13:33:46-03","IAP","PACA-AGP","56287","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","dusenii","Eryngium dusenii","Wolff.","B. Irgang","1973","Rambo, B.","1955","01","04","Brasil","RS","São Francisco de Paula","Morrinhos","-50.5835990905762","-29.4480991363525","76715","EM PERIGO&nf;fl. Habitat: in araucarieto Fenofase: flor","PACA056287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:33:46-03","IAP","PACA-AGP","60234","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","dusenii","Eryngium dusenii","Wolff.","B. Irgang","1973","Rambo, B.","1957","01","23","Brasil","SC","Campo dos Padres",NA,NA,NA,NA,"EM PERIGO&nf;fl. Habitat: in silvula paludosa Fenofase: flor","PACA060234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:33:46-03","IAP","PACA-AGP","52122","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","dusenii","Eryngium dusenii","Wolff.","B. Irgang","1973","Rambo, B.","1952","02","07","Brasil","RS","São Francisco de Paula","Morrinhos","-50.5835990905762","-29.4480991363525","76715","EM PERIGO&nf;fl. Habitat: ad silvam in humidis umbrosis Fenofase: flor","PACA052122","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-09 14:46:32-03","FURB","FURB","66476","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","Kassner-Filho, A.","2020","Kassner-Filho, A.","2020","02","24","Brasil","Santa Catarina","Rio dos Cedros","Cachoeira Formosa.","-49.3719445","-26.5597222",NA,"flor creme Habitat: beira de rio Habito: erva terrícola","FURB66476",NA,"02","24","5622","-49.3719445","-26.5597222","750","750","FURB66476",NA,NA
"5","2019-11-08 08:48:56-03","FURB","FURB","58147","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","Funez, L.A.","2018","Funez, L.A.","2018","02","04","Brasil","Santa Catarina","Rio dos Cedros","Cachoeira Formosa.","-49.2742004394531","-26.7383003234863","35192","Flores brancas Habitat: Margem do rio Habito: Erva","FURB58147","auto","02","22","7104",NA,NA,NA,NA,"FURB58147",NA,NA
"6","2021-03-16 17:50:07-03","UCS","HUCS","43152","PreservedSpecimen","Plantae","Angiospermae",NA,"Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","Gonzatti, F.","2015","Gonzatti, F.","2015","06","28","Brasil","Rio Grande do Sul","Caxias do Sul","Criúva, Cascata da Mulada","-50.930983","-28.868692",NA,"ca. de 60 cm de altura. Inflorescências radicantes formando blbilhos.; erva ereta no interior de mata de araucária",NA,NA,"08","19","1933","-50.930983","-28.868692","640","640",NA,NA,NA
"7","2021-03-16 17:50:07-03","UCS","HUCS","45257","PreservedSpecimen","Plantae","Angiospermae",NA,"Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","Gonzatti, F.","2016","Gonzatti, F.","2016","07","21","Brasil","Rio Grande do Sul","Caxias do Sul","Palanquinhos","-50.968544","-28.882622",NA,"erva ombrófila em mata de araucária, junto a descida do Canion",NA,NA,"08",NA,"2548","-50.968544","-28.882622","807","807",NA,NA,NA
"8","2019-08-16 08:38:14-03","UTFPR","HCF","28585","S","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","F. Gonzatti","2016","F. Gonzatti","2016","07","21","Brasil","RS","Caxias do Sul","Criúva, Canion dos Palanquinhos","-50.968611","-28.8825",NA,"erva ombrófila em mata de araucária, junto a descida do Canion.",NA,NA,"08",NA,"2548","50°58'07 W","28°52'57 S","807","807",NA,NA,NA
"9","2020-12-21 16:12:11-03","MBM","MBM","407815","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff","Gonzatti, F.","2015","Gonzatti, F.","2015","06","28","Brazil","Rio Grande do Sul","Caxias do Sul","Criúva, Cascata da Mulata","-50.8975","-29.9675",NA,"Erva ereta ca. 60 cm de altura. Inflorescências radicantes formando bulbilhos.; No interior de mata de araucária.","MBM407815",NA,"08","19","1933","-50.8975","-29.9675","640","640","MBM407815","Southern America",NA
"10","2012-03-19 10:14:00-03","MO","MOBOT","3354137","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff","M.Mendoza (USZ)",NA,"Gert G. Hatschbach","1969","1","9","Brazil","Paraná","Morretes","Estr. Graciosa, Grota Funda.","-48.834400177002","-25.476900100708","30514",NA,NA,"auto",NA,NA,"Hatschbach 20700",NA,NA,"700.00000000",NA,NA,"South America","1"
"11","2021-04-07 18:07:03-03","UNESP-IBILCE","SJRP","34020","PreservedSpecimen","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","Gonzatti, F.","2015","Gonzatti, F.","2015","06","28","Brasil","Rio Grande do Sul","Caxias do Sul","Criúva, Cascata da Mulada","-50.8975","-29.9675",NA,"Erva ereta no interior de mata de araucária. Ca. De 60 cm de altura. Inflorescências radicantes formando blbilhos.",NA,NA,"08","19","1933.0","-50.89750000","-29.96750000",NA,NA,NA,"America do Sul",NA
"12","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","52094",NA,"Plantae",NA,NA,NA,"Umbelliferae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","F. Gonzatti/VIII-2016",NA,"F. Gonzatti","2016","07","21","Brasil","Rio Grande do Sul","Caxias do Sul","Palanquinhos","-50.968611","-28.8825",NA,"Erva ombrófila em mata de araucária, junto a descida do Canion","MBML052094",NA,NA,NA,"2548","50W58'7","28S52'57","807","807",NA,NA,NA
"13","2019-11-07 11:43:51-03","FUVATES","HVAT","4779","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","M. Grings","2016","G. Nicolini","2014","01","08","Brasil","Rio Grande do Sul","Muçum","Barra das Contas.","-52.407778","-29.227222",NA,"Herbáceo.; Mata ciliar do Rio Taquari.","HVAT00004779",NA,"02","24","s.n.","-52º24'28''W","-29º13'38''S",NA,NA,NA,NA,NA
"14","2020-06-25 16:06:03-03","FUVATES","HVAT","4762","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","M. Grings","2016","E. Freitas","2013","12","27","Brasil","Rio Grande do Sul","Roca Sales","Linha Fernando Abott.","-51.867778","-29.141389",NA,"Herbácea.; Mata ciliar do Rio Taquari.","HVAT00004762",NA,"02","15","972","-51º52'4''W","-29º8'29''S",NA,NA,NA,NA,NA
"15","2021-01-26 14:12:04-03","CPACT","ECT","6058","PreservedSpecimen","Plantae","Embryophyta",NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","F.Gonzatti","2015","F.Gonzatti","2015","06","28","Brasil","Rio Grande do Sul","Caxias do Sul","Criúva. Cascata da Mulada.","-50.8975","-29.9675",NA,NA,"ECT0006058",NA,"08","19","1933","50º53'51''W","29º58'3''S","640","640","ECT0006058",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2270809","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff",NA,NA,"B. Rambo","1955","1","4","Brazil","Rio Grande do Sul",NA,"Rio Grande do Sul: Morrinhos prope Sao Francisco de Paula.",NA,NA,NA,NA,"US03076108",NA,NA,NA,"56287",NA,NA,NA,NA,"US03076108_01","South America","1"
"17","2020-09-12 05:00:02-03","US","US","2342784","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff",NA,NA,"R. Reitz","1943","12","28","Brazil","Santa Catarina",NA,"Serra da Pedra - Araranguá S. Cat.",NA,NA,NA,NA,"US03076107",NA,NA,NA,"848",NA,NA,"700",NA,"US03076107_01","South America","1"
"18","2020-09-12 05:00:02-03","US","US","2321251","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff",NA,NA,"Reitz & Klein, --","1958","1","13","Brazil","Santa Catarina",NA,"Corrêa, Corupá, Jaraguá do Sul.",NA,NA,NA,NA,"US03076109",NA,NA,NA,"6209",NA,NA,"600",NA,"US03076109_01","South America","1"
"19","2020-09-12 05:00:02-03","US","US","2248503","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff",NA,NA,"B. Rambo","1955","1","4","Brazil","Rio Grande do Sul",NA,"Rio Grande do Sul: Morrinhos prope Sao Francisco de Paula.",NA,NA,NA,NA,"US03076106",NA,NA,NA,"56287",NA,NA,NA,NA,"US03076106_01","South America","1"
"20","2019-12-09 17:29:18-03","UFPR","EFC","12625","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","Lucas, D.","2016","Blum, C.T.","2013","12","27","Brasil","Rio Grande do Sul","São Francisco de Paula","Flona de São Francisco de Paula","-50.3932","-29.4212",NA,"Herbácea com 30cm, flores verdes, subosque de estágio médio.","EFC012625",NA,"06","22","1318","-50.3932","-29.4212",NA,NA,NA,NA,NA
"21","2020-08-20 14:54:31-03","UFSC","FLOR","49677","PreservedSpecimen","Plantae",NA,NA,"Apiales","Apiaceae","Eryngium","dusenii","Eryngium dusenii","H.Wolff","Fiaschi, P.","2014","Fiaschi, P.","2013","02","02","Brasil","Santa Catarina","Corupá","Rota das Cachoeiras.","-49.353333","-26.395",NA,"Planta comum, encontrada sobre troncos ou pedras no leito do rio, flor Inflorescência com porção proximal ligeiramente vinácea, eixo da inflorescência verde-claro. flores alvas com estames alvosimaturos verde-claros. Amostra em sílica","FLOR0049677",NA,"02","12","3940","49º21'12''W","26º23'42''S",NA,NA,NA,NA,NA
"22","2021-02-08 12:31:52-03","UFRGS","ICN","178654","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","Silva Filho, PJS","2014","Silva Filho, PJS","2014","03","27","Brasil","RS","Bom Jesus","Rio das Antas","-50.688611","-28.801667",NA,"Glomérulos esverdeados; Em subdossel de floresta às margens do rio",NA,NA,"07","28","2050","-50.688611","-28.801667",NA,NA,NA,"América do Sul",NA
"23","2021-02-08 12:31:52-03","UFRGS","ICN","201038","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","Diober, L","2016","Oliveira, AA de","2015","03","19","Brasil","SC","Rio do Campo","Rio da Prata.","-50.0375","-26.818611",NA,"Duplicata doada pelo RB (N° 630978)",NA,NA,"07","07","2062","-50.0375","-26.818611","572","572",NA,"América do Sul",NA
"24","2021-02-08 12:31:52-03","UFRGS","ICN","049873","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","Wolff.","Irgang, BE",NA,"Irgang, BE","1981","06","13","Brasil","RS","Bento Gonçalves",NA,"-51.5191993713379","-29.1714000701904","21248","Espécie ameaçada de extinção (Em perigo).; Interior de mato. Vale junto a cascata, muito úmido.",NA,"auto",NA,NA,"s.n.",NA,NA,NA,NA,NA,"América do Sul",NA
"25","2020-08-26 10:47:35-03","MCN-FZBRS","HAS","80709","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Apiaceae","Eryngium","dusenii","Eryngium dusenii","H. Wolff.","Diober Lucas","2016","Silveira, N.","1994",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza, na beira dos peraus, lugar úmido.","-50.1446990966797","-29.0478000640869","30776","Na beira dos peraus, lugar úmido.","HAS0080709","auto","11","05","12684",NA,NA,NA,NA,NA,NA,NA
