"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:38:06-03","E","E","146697","PreservedSpecimen","Plantae","Compositae","Senecio","adamantinus","Senecio adamantinus","Ramos, P.C.M.","312","1990","11","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170874","<a href=http://data.rbge.org.uk/herb/E00146697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798420","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","P. C. M. Ramos","312","1990","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798420","Magnoliophyta","Asterales","Bong.","C. E. B. Proença","Distrito Federal","Brasília","Parque Nacional de Brasília, Córrego Santa Maria, Centro Oeste","-47.9333","-15.8833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","908861","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","E. P. Heringer","8775","1961","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908861","Magnoliophyta","Asterales","Bong.",NA,"Distrito Federal","Brasília","Vargem Bonita.","-47.9294","-15.7797","NY00908861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039132","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","R. C. Forzza","2660","2004","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482017' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039132","Magnoliophyta","Asterales","Bong.","M. M. Saavedra","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, trilha para o Cruzeiro, após a Lombada.","-43.8836","-21.6842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","871950","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","G. G. Hatschbach","67166","1997","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871950","Magnoliophyta","Asterales","Bong.","G. G. Hatschbach","Minas Gerais","Joaquim Felício",NA,"-44.1719","-17.7575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","871954","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","R. Kral | M. das G. L. Wanderley","75829","1988","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871954","Magnoliophyta","Asterales","Bong.","H. E. Robinson","Goiás","Alto Paraíso de Goiás","22 kms N Alto Paraiso","-47.5097","-14.1325",NA,"2100","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","871943","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","H. S. Irwin","28915","1971","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871943","Magnoliophyta","Asterales","Bong.","G. M. Barroso","Minas Gerais",NA,"Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263",NA,"1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","871945","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","H. S. Irwin","19598","1968","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871945","Magnoliophyta","Asterales","Bong.","G. M. Barroso","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2",NA,"1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","871944","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","H. S. Irwin","21950","1969","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871944","Magnoliophyta","Asterales","Bong.","G. M. Barroso","Minas Gerais",NA,"ca. 27 km S.W. of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.73","-18.42",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","871947","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","H. S. Irwin","9002","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871947","Magnoliophyta","Asterales","Bong.","G. M. Barroso","Distrito Federal","Brasília","3 km S. of Sobradinho","-47.8167","-15.66041",NA,"1075","1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","871953","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","G. J. Shepherd","3912","1976","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871953","Magnoliophyta","Asterales","Bong.",NA,"Minas Gerais",NA,"Estrada Diamantina a Corinto até 20 km.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","798419","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","A. F. M. Glaziou",NA,"1875","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798419","Magnoliophyta","Asterales","Bong.",NA,"Rio de Janeiro",NA,"Rio Janeiro","-43.448386","-22.913514","NY00798419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","871952","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","B. Maguire","44707","1959","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871952","Magnoliophyta","Asterales","Bong.",NA,"Minas Gerais",NA,"Serra do Cipo between Km. 111 and 128 on road from Hotel Chapeu de Sol.",NA,NA,NA,"1219","1219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","871949","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","W. R. Anderson","35216","1972","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871949","Magnoliophyta","Asterales","Bong.","G. M. Barroso","Minas Gerais",NA,"Ca. 10km SW of Diamantina.","-43.68585","-18.2801",NA,"1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","798418","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","P. K. H. Dusén","10802","1910","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798418","Magnoliophyta","Asterales","Bong.",NA,"Paraná",NA,"Tamanduá","-49.769797","-25.530491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","871956","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","M. C. H. Mamede","CFCR6336","1984","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871956","Magnoliophyta","Asterales","Bong.",NA,"Minas Gerais","Joaquim Felício","Serra do Cabral. Bocaina.","-44.1719","-17.7575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","871946","PreservedSpecimen","Plantae","Asteraceae","Senecio","adamantinus","Senecio adamantinus","H. S. Irwin","9900","1965","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871946","Magnoliophyta","Asterales","Bong.","G. M. Barroso","Goiás","Cristalina","Serra dos Cristais, ca. 6 km S. of Cristalina","-47.6","-16.80422","NY00871946_01","1175","1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
