"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","class","order","identifiedBy","continentOcean","relatedCatalogItem","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","individualCount","fieldNumber","dayIdentified"
"1","2019-12-12 15:31:50-03","UFABC","HUFABC","001938","PreservedSpecimen","Plantae","Angiospermas","Rubiaceae","Richardia","schumannii","Richardia schumannii","W.H.Lewis & R.L.Oliv.","Keller V.C.","132","2017","12","13","Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Próximo à torre de observação do setor B","-46.701828","-23.345083","-46.701828","-23.345083","Erva, flores brancas","HUFABC001938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:27:53-03","NBC","NL-BOTANY","U.1581912","PreservedSpecimen","Plantae",NA,"Rubiaceae","Richardia","schumannii","Richardia schumannii","W.H.Lewis & R.L.Oliv.","Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","03","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1581912 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1581912","Magnoliopsidae","Gentianales","Delprete PG","Southern America","U 0106793","NL-U1581912",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:43:55-03","MBM","MBM","131624","PreservedSpecimen","Plantae",NA,"Rubiaceae","Richardia","schumannii","Richardia schumannii","Lewis & Oliver","Cordeiro, J.; Silva, J.M.; Silva, J.M.","652",NA,NA,NA,"Brazil","Paraná","Palmeira","Córrego das Antas","-50.0064010620117","-25.4293994903564",NA,NA,NA,"MBM131624",NA,NA,"Smith, S.F.","Southern America",NA,"MBM131624","35166","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:43:55-03","MBM","MBM","50707","PreservedSpecimen","Plantae",NA,"Rubiaceae","Richardia","schumannii","Richardia schumannii","Lewis & Oliver","Hatschbach, G.","8505",NA,NA,NA,"Brazil","Paraná","Quatro Barras","Quatro Barras","-49.0769004821777","-25.3656005859375",NA,NA,"Do campo limpo, flor alva","MBM050707",NA,NA,"Jardim, J.","Southern America",NA,"MBM050707","17116","auto","2009","07",NA,NA,NA,NA
"5","2010-04-15 17:18:00-03","MO","MOBOT","2540694","PreservedSpecimen","Plantae",NA,"Rubiaceae","Richardia","schumannii","Richardia schumannii","W.H. Lewis & R.L. Oliv.","Alexander C. Brade","Brade 12359","1932","12",NA,"Brazil","São Paulo",NA,"Villa Iruma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3189472","PreservedSpecimen","Plantae",NA,"Rubiaceae","Richardia","schumannii","Richardia schumannii","W.H. Lewis & R.L. Oliv.","J. Cordeiro & J. M. Silva","652","1989","10","11","Brazil","Paraná",NA,"Corrego das Antas (mun. Palmeira)",NA,NA,NA,NA,NA,"US02693071","Dicotyledonae","Rubiales",NA,"South America",NA,"US02693071_01",NA,NA,NA,NA,NA,"1",NA,NA
"7","2020-09-12 05:00:02-03","US","US","2565329","PreservedSpecimen","Plantae",NA,"Rubiaceae","Richardia","schumannii","Richardia schumannii","W.H. Lewis & R.L. Oliv.","G. Hatschbach","8505","1961","10","22","Brazil","Paraná",NA,"Mun. Campina Gde. Sul. Quatro Barras",NA,NA,NA,NA,NA,"US02693072","Dicotyledonae","Rubiales",NA,"South America",NA,"US02693072_01",NA,NA,NA,NA,NA,"1",NA,NA
"8","2019-01-22 20:17:19-02","F","FMNH-SEEDPLANTS","V0070832F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Richardia","schumannii","Richardia schumannii",NA,"A. C. Brade","12359","1932","12",NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0070832F","Dicotyledoneae",NA,NA,"South America",NA,"V0070832F_01",NA,NA,NA,NA,"Holotype",NA,NA,NA
"9","2015-04-02 15:14:14-03","F","FMNH-SEEDPLANTS","V0293230F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Richardia","schumannii","Richardia schumannii",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0293230F","Dicotyledoneae",NA,NA,"South America",NA,"V0293230F_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-11 13:50:19-03","F","FMNH-SEEDPLANTS","V0355751F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Richardia","schumannii","Richardia schumannii",NA,"F. C. Hoehne","2468","1918","10","14","Brazil","São Paulo",NA,NA,"-49","-22",NA,NA,NA,"V0355751F","Dicotyledoneae",NA,"RRC ID Flag","South America",NA,"V0355751F_01 V0355751F_02",NA,NA,NA,NA,NA,NA,"2468",NA
